Capsella rubella, 17885805, phenylalanine ammonia-lyase 2  [EC], ['EC:4.3.1.24'], KO:K10775
Capsella rubella, 17892444, phenylalanine ammonia-lyase 4  [EC], ['EC:4.3.1.24'], KO:K10775
Capsella rubella, 17889220, phenylalanine ammonia-lyase 1  [EC], ['EC:4.3.1.24'], KO:K10775
Capsella rubella, 17888026, trans-cinnamate 4-monooxygenase  [EC], ['EC:1.14.14.91'], KO:K00487
Capsella rubella, 17884387, 4-coumarate--CoA ligase-like 7  [EC], ['EC:6.2.1.12'], KO:K01904
Capsella rubella, 17899233, 4-coumarate--CoA ligase 1  [EC], ['EC:6.2.1.12'], KO:K01904
Capsella rubella, 17890764, 4-coumarate--CoA ligase 2  [EC], ['EC:6.2.1.12'], KO:K01904
Capsella rubella, 17895477, 4-coumarate--CoA ligase 3  [EC], ['EC:6.2.1.12'], KO:K01904
Capsella rubella, 17895671, 4-coumarate--CoA ligase-like 1  [EC], ['EC:6.2.1.12'], KO:K01904
Capsella rubella, 17880832, 4-coumarate--CoA ligase-like 6  [EC], ['EC:6.2.1.12'], KO:K01904
Capsella rubella, 17893854, 4-coumarate--CoA ligase 4  [EC], ['EC:6.2.1.12'], KO:K01904
Capsella rubella, 17875950, 4-coumarate--CoA ligase-like 9  [EC], ['EC:6.2.1.12'], KO:K01904
Capsella rubella, 17899594, shikimate O-hydroxycinnamoyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Capsella rubella, 17891849, spermidine hydroxycinnamoyl transferase  [EC], ['EC:2.3.1.133'], KO:K13065
Capsella rubella, 17896925, shikimate O-hydroxycinnamoyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Capsella rubella, 17897083, shikimate O-hydroxycinnamoyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Capsella rubella, 17874809, shikimate O-hydroxycinnamoyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Capsella rubella, 17887658, cytochrome P450 98A3  [EC], ['EC:1.14.14.96'], KO:K09754
Capsella rubella, 17899249, caffeoylshikimate esterase  [EC], ['EC:3.1.1.-'], KO:K18368
Capsella rubella, 17887781, caffeoylshikimate esterase  [EC], ['EC:3.1.1.-'], KO:K18368
Capsella rubella, 17889339, caffeoylshikimate esterase  [EC], ['EC:3.1.1.-'], KO:K18368
Capsella rubella, 17899879, caffeoylshikimate esterase  [EC], ['EC:3.1.1.-'], KO:K18368
Capsella rubella, 17885159, caffeoylshikimate esterase  [EC], ['EC:3.1.1.-'], KO:K18368
Capsella rubella, 17874341, caffeoylshikimate esterase isoform X1  [EC], ['EC:3.1.1.-'], KO:K18368
Capsella rubella, 17881999, caffeoylshikimate esterase isoform X2  [EC], ['EC:3.1.1.-'], KO:K18368
Capsella rubella, 17896245, caffeoylshikimate esterase  [EC], ['EC:3.1.1.-'], KO:K18368
Capsella rubella, 17885798, caffeoylshikimate esterase  [EC], ['EC:3.1.1.-'], KO:K18368
Capsella rubella, 17877842, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Capsella rubella, 17900298, putative caffeoyl-CoA O-methyltransferase At1g67980  [EC], ['EC:2.1.1.104'], KO:K00588
Capsella rubella, 17897946, putative caffeoyl-CoA O-methyltransferase At1g67980  [EC], ['EC:2.1.1.104'], KO:K00588
Capsella rubella, 17877590, caffeoyl-CoA O-methyltransferase 1  [EC], ['EC:2.1.1.104'], KO:K00588
Capsella rubella, 17894285, LOW QUALITY PROTEIN: tapetum-specific methyltransferase 1  [EC], ['EC:2.1.1.104'], KO:K00588
Capsella rubella, 17894897, cinnamoyl-CoA reductase 2  [EC], ['EC:1.2.1.44'], KO:K09753
Capsella rubella, 17897690, cinnamoyl-CoA reductase 1 isoform X1  [EC], ['EC:1.2.1.44'], KO:K09753
Capsella rubella, 17892119, aldehyde dehydrogenase family 2 member C4  [EC], ['EC:1.2.1.68'], KO:K12355
Capsella rubella, 17880992, cytochrome P450 84A1  [EC], ['EC:1.14.-.-'], KO:K09755
Capsella rubella, 17878895, cytochrome P450 84A1  [EC], ['EC:1.14.-.-'], KO:K09755
Capsella rubella, 17876808, flavone 3'-O-methyltransferase 1  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Capsella rubella, 17896611, flavone 3'-O-methyltransferase 1  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Capsella rubella, 17877561, cinnamyl alcohol dehydrogenase 7  [EC], ['EC:1.1.1.195'], KO:K00083
Capsella rubella, 17879311, cinnamyl alcohol dehydrogenase 8  [EC], ['EC:1.1.1.195'], KO:K00083
Capsella rubella, 17878306, cinnamyl alcohol dehydrogenase 5  [EC], ['EC:1.1.1.195'], KO:K00083
Capsella rubella, 17894605, probable cinnamyl alcohol dehydrogenase 1  [EC], ['EC:1.1.1.195'], KO:K00083
Capsella rubella, 17888335, cinnamyl alcohol dehydrogenase 2  [EC], ['EC:1.1.1.195'], KO:K00083
Capsella rubella, 17891448, cinnamyl alcohol dehydrogenase 4  [EC], ['EC:1.1.1.195'], KO:K00083
Capsella rubella, 17879974, probable cinnamyl alcohol dehydrogenase 9  [EC], ['EC:1.1.1.195'], KO:K00083
Capsella rubella, 17878934, probable cinnamyl alcohol dehydrogenase 6  [EC], ['EC:1.1.1.195'], KO:K00083
