Olea europaea v. sylvestris, 111399604, phenylalanine ammonia-lyase  [EC], ['EC:4.3.1.24'], KO:K10775
Olea europaea v. sylvestris, 111403111, phenylalanine ammonia-lyase-like isoform X1  [EC], ['EC:4.3.1.24'], KO:K10775
Olea europaea v. sylvestris, 111402181, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Olea europaea v. sylvestris, 111377181, trans-cinnamate 4-monooxygenase-like  [EC], ['EC:1.14.14.91'], KO:K00487
Olea europaea v. sylvestris, 111372687, cytochrome P450 CYP73A100-like  [EC], ['EC:1.14.14.91'], KO:K00487
Olea europaea v. sylvestris, 111393218, trans-cinnamate 4-monooxygenase  [EC], ['EC:1.14.14.91'], KO:K00487
Olea europaea v. sylvestris, 111412792, 4-coumarate--CoA ligase 2 isoform X4  [EC], ['EC:6.2.1.12'], KO:K01904
Olea europaea v. sylvestris, 111382421, 4-coumarate--CoA ligase-like 7  [EC], ['EC:6.2.1.12'], KO:K01904
Olea europaea v. sylvestris, 111400911, 4-coumarate--CoA ligase-like 1 isoform X1  [EC], ['EC:6.2.1.12'], KO:K01904
Olea europaea v. sylvestris, 111387309, 4-coumarate--CoA ligase 2-like  [EC], ['EC:6.2.1.12'], KO:K01904
Olea europaea v. sylvestris, 111385307, 4-coumarate--CoA ligase 1-like  [EC], ['EC:6.2.1.12'], KO:K01904
Olea europaea v. sylvestris, 111367176, 4-coumarate--CoA ligase-like 1  [EC], ['EC:6.2.1.12'], KO:K01904
Olea europaea v. sylvestris, 111410584, 4-coumarate--CoA ligase 2-like  [EC], ['EC:6.2.1.12'], KO:K01904
Olea europaea v. sylvestris, 111399142, 4-coumarate--CoA ligase 2-like  [EC], ['EC:6.2.1.12'], KO:K01904
Olea europaea v. sylvestris, 111374427, 4-coumarate--CoA ligase-like 6  [EC], ['EC:6.2.1.12'], KO:K01904
Olea europaea v. sylvestris, 111405191, 4-coumarate--CoA ligase 1-like  [EC], ['EC:6.2.1.12'], KO:K01904
Olea europaea v. sylvestris, 111367091, 4-coumarate--CoA ligase-like 9 isoform X1  [EC], ['EC:6.2.1.12'], KO:K01904
Olea europaea v. sylvestris, 111382475, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Olea europaea v. sylvestris, 111397170, agmatine coumaroyltransferase-2-like isoform X1  [EC], ['EC:2.3.1.133'], KO:K13065
Olea europaea v. sylvestris, 111403060, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Olea europaea v. sylvestris, 111380387, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Olea europaea v. sylvestris, 111396239, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Olea europaea v. sylvestris, 111377116, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Olea europaea v. sylvestris, 111377122, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Olea europaea v. sylvestris, 111390675, spermidine hydroxycinnamoyl transferase  [EC], ['EC:2.3.1.133'], KO:K13065
Olea europaea v. sylvestris, 111391849, agmatine coumaroyltransferase-2-like  [EC], ['EC:2.3.1.133'], KO:K13065
Olea europaea v. sylvestris, 111403373, vinorine synthase  [EC], ['EC:2.3.1.133'], KO:K13065
Olea europaea v. sylvestris, 111406772, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Olea europaea v. sylvestris, 111404589, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Olea europaea v. sylvestris, 111404591, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Olea europaea v. sylvestris, 111397779, pelargonidin 3-O-(6-caffeoylglucoside) 5-O-(6-O-malonylglucoside) 4'''-malonyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Olea europaea v. sylvestris, 111379817, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Olea europaea v. sylvestris, 111368470, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Olea europaea v. sylvestris, 111375382, shikimate O-hydroxycinnamoyltransferase isoform X1  [EC], ['EC:2.3.1.133'], KO:K13065
Olea europaea v. sylvestris, 111403793, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Olea europaea v. sylvestris, 111381127, putrescine hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Olea europaea v. sylvestris, 111391169, cytochrome P450 98A3-like  [EC], ['EC:1.14.14.96'], KO:K09754
