Prunus mume, 103342143, phenylalanine ammonia-lyase 1  [EC], ['EC:4.3.1.24'], KO:K10775
Prunus mume, 103332355, phenylalanine ammonia-lyase 1  [EC], ['EC:4.3.1.24'], KO:K10775
Prunus mume, 103323718, cytochrome P450 CYP73A100-like  [EC], ['EC:1.14.14.91'], KO:K00487
Prunus mume, 103339178, trans-cinnamate 4-monooxygenase  [EC], ['EC:1.14.14.91'], KO:K00487
Prunus mume, 103323519, 4-coumarate--CoA ligase 2-like  [EC], ['EC:6.2.1.12'], KO:K01904
Prunus mume, 103322128, 4-coumarate--CoA ligase-like 1  [EC], ['EC:6.2.1.12'], KO:K01904
Prunus mume, 103328252, 4-coumarate--CoA ligase 1-like  [EC], ['EC:6.2.1.12'], KO:K01904
Prunus mume, 103325926, 4-coumarate--CoA ligase-like 7  [EC], ['EC:6.2.1.12'], KO:K01904
Prunus mume, 103339665, LOW QUALITY PROTEIN: 4-coumarate--CoA ligase-like 6  [EC], ['EC:6.2.1.12'], KO:K01904
Prunus mume, 103334989, 4-coumarate--CoA ligase-like 6  [EC], ['EC:6.2.1.12'], KO:K01904
Prunus mume, 103333496, 4-coumarate--CoA ligase 2  [EC], ['EC:6.2.1.12'], KO:K01904
Prunus mume, 103339831, 4-coumarate--CoA ligase-like 7  [EC], ['EC:6.2.1.12'], KO:K01904
Prunus mume, 103337976, 4-coumarate--CoA ligase-like 9  [EC], ['EC:6.2.1.12'], KO:K01904
Prunus mume, 103328213, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Prunus mume, 103330667, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Prunus mume, 103335795, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Prunus mume, 103325763, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Prunus mume, 103339039, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Prunus mume, 103328216, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Prunus mume, 103318826, omega-hydroxypalmitate O-feruloyl transferase  [EC], ['EC:2.3.1.133'], KO:K13065
