Asparagus officinalis, 109836321, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Asparagus officinalis, 109836322, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Asparagus officinalis, 109836343, phenylalanine ammonia-lyase  [EC], ['EC:4.3.1.24'], KO:K10775
Asparagus officinalis, 109848011, phenylalanine ammonia-lyase-like isoform X1  [EC], ['EC:4.3.1.24'], KO:K10775
Asparagus officinalis, 109826061, LOW QUALITY PROTEIN: phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Asparagus officinalis, 109846559, LOW QUALITY PROTEIN: trans-cinnamate 4-monooxygenase-like  [EC], ['EC:1.14.14.91'], KO:K00487
Asparagus officinalis, 109822869, 4-coumarate--CoA ligase-like 1  [EC], ['EC:6.2.1.12'], KO:K01904
Asparagus officinalis, 109837185, 4-coumarate--CoA ligase-like 1  [EC], ['EC:6.2.1.12'], KO:K01904
Asparagus officinalis, 109837016, 4-coumarate--CoA ligase-like 6  [EC], ['EC:6.2.1.12'], KO:K01904
Asparagus officinalis, 109838513, 4-coumarate--CoA ligase-like 1  [EC], ['EC:6.2.1.12'], KO:K01904
Asparagus officinalis, 109842049, putrescine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Asparagus officinalis, 109842050, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Asparagus officinalis, 109835988, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Asparagus officinalis, 109838224, LOW QUALITY PROTEIN: BAHD acyltransferase At5g47980-like  [EC], ['EC:2.3.1.133'], KO:K13065
Asparagus officinalis, 109844024, putrescine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Asparagus officinalis, 109844025, putrescine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Asparagus officinalis, 109847566, tryptamine hydroxycinnamoyltransferase 2-like  [EC], ['EC:2.3.1.133'], KO:K13065
Asparagus officinalis, 109819911, cytochrome P450 98A2  [EC], ['EC:1.14.14.96'], KO:K09754
Asparagus officinalis, 109848275, caffeoylshikimate esterase-like  [EC], ['EC:3.1.1.-'], KO:K18368
Asparagus officinalis, 109829351, caffeoylshikimate esterase-like  [EC], ['EC:3.1.1.-'], KO:K18368
Asparagus officinalis, 109845889, LOW QUALITY PROTEIN: caffeoylshikimate esterase  [EC], ['EC:3.1.1.-'], KO:K18368
Asparagus officinalis, 109841688, caffeoylshikimate esterase-like  [EC], ['EC:3.1.1.-'], KO:K18368
Asparagus officinalis, 109829168, caffeoylshikimate esterase-like isoform X1  [EC], ['EC:3.1.1.-'], KO:K18368
Asparagus officinalis, 109840855, caffeoylshikimate esterase isoform X1  [EC], ['EC:3.1.1.-'], KO:K18368
Asparagus officinalis, 109830783, flavonoid 3',5'-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Asparagus officinalis, 109830123, caffeoyl-CoA O-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Asparagus officinalis, 109830124, caffeoyl-CoA O-methyltransferase-like isoform X1  [EC], ['EC:2.1.1.104'], KO:K00588
