Phaseolus vulgaris, PHAVU_006G015400g, hypothetical protein  [EC], ['EC:1.14.14.81'], KO:K13083
Phaseolus vulgaris, PHAVU_006G018800g, hypothetical protein  [EC], ['EC:1.14.14.81'], KO:K13083
Phaseolus vulgaris, PHAVU_003G1855001, hypothetical protein  [EC], ['EC:1.14.14.82'], KO:K05280
Phaseolus vulgaris, PHAVU_009G192400g, hypothetical protein  [EC], ['EC:1.14.14.82'], KO:K05280
Phaseolus vulgaris, PHAVU_011G128700g, hypothetical protein  [EC], ['EC:2.4.1.239', 'EC:2.4.1.-'], KO:K22794
Phaseolus vulgaris, PHAVU_011G138500g, hypothetical protein  [EC], ['EC:2.4.1.239', 'EC:2.4.1.-'], KO:K22794
Phaseolus vulgaris, PHAVU_011G138600g, hypothetical protein  [EC], ['EC:2.4.1.239', 'EC:2.4.1.-'], KO:K22794
Phaseolus vulgaris, PHAVU_011G136400g, hypothetical protein  [EC], ['EC:2.4.1.239', 'EC:2.4.1.-'], KO:K22794
Phaseolus vulgaris, PHAVU_011G136700g, hypothetical protein  [EC], ['EC:2.4.1.239', 'EC:2.4.1.-'], KO:K22794
Phaseolus vulgaris, PHAVU_005G093300g, hypothetical protein  [EC], ['EC:2.4.1.239', 'EC:2.4.1.-'], KO:K22794
Phaseolus vulgaris, PHAVU_006G050000g, hypothetical protein  [EC], ['EC:2.4.1.239', 'EC:2.4.1.-'], KO:K22794
Phaseolus vulgaris, PHAVU_011G115700g, hypothetical protein  [EC], ['EC:2.4.1.239', 'EC:2.4.1.-'], KO:K22794
Phaseolus vulgaris, PHAVU_005G093600g, hypothetical protein  [EC], ['EC:2.4.1.239', 'EC:2.4.1.-'], KO:K22794
Phaseolus vulgaris, PHAVU_005G0935000, hypothetical protein  [EC], ['EC:2.4.1.239', 'EC:2.4.1.-'], KO:K22794
Phaseolus vulgaris, PHAVU_007G135800g, hypothetical protein  [EC], ['EC:2.4.1.159'], KO:K22772
