Vigna radiata, 106754681, chalcone synthase 17-like  [EC], ['EC:2.3.1.74'], KO:K00660
Vigna radiata, 106753918, chalcone synthase  [EC], ['EC:2.3.1.74'], KO:K00660
Vigna radiata, 106778834, chalcone synthase  [EC], ['EC:2.3.1.74'], KO:K00660
Vigna radiata, 106779704, chalcone synthase 17-like  [EC], ['EC:2.3.1.74'], KO:K00660
Vigna radiata, 106777513, chalcone synthase 17 isoform X2  [EC], ['EC:2.3.1.74'], KO:K00660
Vigna radiata, 106777514, chalcone synthase 17-like  [EC], ['EC:2.3.1.74'], KO:K00660
Vigna radiata, 106766157, chalcone synthase-like  [EC], ['EC:2.3.1.74'], KO:K00660
Vigna radiata, 106766188, chalcone synthase-like  [EC], ['EC:2.3.1.74'], KO:K00660
Vigna radiata, 106775701, chalcone synthase  [EC], ['EC:2.3.1.74'], KO:K00660
Vigna radiata, 106770816, chalcone--flavonone isomerase  [EC], ['EC:5.5.1.6'], KO:K01859
Vigna radiata, 106771799, uncharacterized protein LOC106771799  [EC], ['EC:5.5.1.6'], KO:K01859
Vigna radiata, 106771802, chalcone--flavonone isomerase-like  [EC], ['EC:5.5.1.6'], KO:K01859
Vigna radiata, 106761096, probable chalcone--flavonone isomerase 3  [EC], ['EC:5.5.1.6'], KO:K01859
Vigna radiata, 106769061, naringenin,2-oxoglutarate 3-dioxygenase  [EC], ['EC:1.14.11.9'], KO:K00475
Vigna radiata, 106769199, flavonol synthase/flavanone 3-hydroxylase-like  [EC], ['EC:1.14.20.6'], KO:K05278
Vigna radiata, 106763888, flavonol synthase/flavanone 3-hydroxylase  [EC], ['EC:1.14.20.6'], KO:K05278
Vigna radiata, 106764845, trans-cinnamate 4-monooxygenase  [EC], ['EC:1.14.14.91'], KO:K00487
Vigna radiata, 106775017, trans-cinnamate 4-monooxygenase isoform X1  [EC], ['EC:1.14.14.91'], KO:K00487
Vigna radiata, 106771868, cytochrome P450 CYP73A100  [EC], ['EC:1.14.14.91'], KO:K00487
Vigna radiata, 106760085, NAD(P)H-dependent 6'-deoxychalcone synthase-like , [], KO:K08243
Vigna radiata, 106758586, NAD(P)H-dependent 6'-deoxychalcone synthase , [], KO:K08243
Vigna radiata, 106760082, NAD(P)H-dependent 6'-deoxychalcone synthase-like , [], KO:K08243
Vigna radiata, 106762915, NAD(P)H-dependent 6'-deoxychalcone synthase , [], KO:K08243
Vigna radiata, 106763880, NAD(P)H-dependent 6'-deoxychalcone synthase , [], KO:K08243
Vigna radiata, 106758608, NAD(P)H-dependent 6'-deoxychalcone synthase-like , [], KO:K08243
Vigna radiata, 106770760, NAD(P)H-dependent 6'-deoxychalcone synthase , [], KO:K08243
Vigna radiata, 106760086, NAD(P)H-dependent 6'-deoxychalcone synthase-like , [], KO:K08243
Vigna radiata, 106756729, flavonoid 3'-monooxygenase  [EC], ['EC:1.14.14.82'], KO:K05280
Vigna radiata, 106766418, flavonoid 3'-monooxygenase  [EC], ['EC:1.14.14.82'], KO:K05280
Vigna radiata, 106764122, dihydroflavonol 4-reductase-like  [EC], ['EC:1.1.1.219', 'EC:1.1.1.234'], KO:K13082
Vigna radiata, 106770756, dihydroflavonol 4-reductase-like  [EC], ['EC:1.1.1.219', 'EC:1.1.1.234'], KO:K13082
Vigna radiata, 106770772, dihydroflavonol 4-reductase  [EC], ['EC:1.1.1.219', 'EC:1.1.1.234'], KO:K13082
Vigna radiata, 106771250, dihydroflavonol 4-reductase  [EC], ['EC:1.1.1.219', 'EC:1.1.1.234'], KO:K13082
Vigna radiata, 106763833, dihydroflavonol 4-reductase  [EC], ['EC:1.1.1.219', 'EC:1.1.1.234'], KO:K13082
