Solanum lycopersicum, 778294, CHS1; chalcone synthase 1  [EC], ['EC:2.3.1.74'], KO:K00660
Solanum lycopersicum, 101245061, chalcone synthase B  [EC], ['EC:2.3.1.74'], KO:K00660
Solanum lycopersicum, 101266107, chalcone synthase J-like  [EC], ['EC:2.3.1.74'], KO:K00660
Solanum lycopersicum, 778295, CHS2; chalcone synthase 2  [EC], ['EC:2.3.1.74'], KO:K00660
Solanum lycopersicum, 101263032, LOW QUALITY PROTEIN: chalcone synthase J  [EC], ['EC:2.3.1.74'], KO:K00660
Solanum lycopersicum, 101249265, CHI1; chalcone--flavonone isomerase  [EC], ['EC:5.5.1.6'], KO:K01859
Solanum lycopersicum, 101250693, chalcone--flavonone isomerase  [EC], ['EC:5.5.1.6'], KO:K01859
Solanum lycopersicum, 101266223, probable chalcone--flavonone isomerase 3  [EC], ['EC:5.5.1.6'], KO:K01859
Solanum lycopersicum, 100736482, F3H; flavanone 3-dioxygenase  [EC], ['EC:1.14.11.9'], KO:K00475
Solanum lycopersicum, 101249699, flavonol synthase/flavanone 3-hydroxylase  [EC], ['EC:1.14.20.6'], KO:K05278
Solanum lycopersicum, 101244196, trans-cinnamate 4-monooxygenase isoform X2  [EC], ['EC:1.14.14.91'], KO:K00487
Solanum lycopersicum, 101244496, trans-cinnamate 4-monooxygenase  [EC], ['EC:1.14.14.91'], KO:K00487
Solanum lycopersicum, 101262919, cytochrome P450 CYP73A100  [EC], ['EC:1.14.14.91'], KO:K00487
Solanum lycopersicum, 101266618, flavonoid 3'-monooxygenase  [EC], ['EC:1.14.14.82'], KO:K05280
Solanum lycopersicum, 544150, dihydroflavonol 4-reductase  [EC], ['EC:1.1.1.219', 'EC:1.1.1.234'], KO:K13082
Solanum lycopersicum, 100736504, putative flavonoid 3'5' hydroxylase  [EC], ['EC:1.14.14.81'], KO:K13083
Solanum lycopersicum, 101251607, leucoanthocyanidin dioxygenase isoform X1  [EC], ['EC:1.14.20.4'], KO:K05277
Solanum lycopersicum, 101263493, anthocyanidin reductase ((2S)-flavan-3-ol-forming)  [EC], ['EC:1.3.1.77'], KO:K08695
Solanum lycopersicum, 104645412, BAHD acyltransferase At5g47980-like isoform X1  [EC], ['EC:2.3.1.133'], KO:K13065
Solanum lycopersicum, 544249, hqt; hydroxycinnamoyl CoA quinate transferase  [EC], ['EC:2.3.1.133'], KO:K13065
Solanum lycopersicum, 100191129, anthocyanin acyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Solanum lycopersicum, 101055588, AT1; AT1 protein  [EC], ['EC:2.3.1.133'], KO:K13065
Solanum lycopersicum, 101055589, AT3; AT3 protein  [EC], ['EC:2.3.1.133'], KO:K13065
Solanum lycopersicum, 101256271, shikimate O-hydroxycinnamoyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Solanum lycopersicum, 101244961, agmatine coumaroyltransferase-2  [EC], ['EC:2.3.1.133'], KO:K13065
Solanum lycopersicum, 101249389, acylsugar acyltransferase 3-like  [EC], ['EC:2.3.1.133'], KO:K13065
Solanum lycopersicum, 101253286, vinorine synthase  [EC], ['EC:2.3.1.133'], KO:K13065
Solanum lycopersicum, 101266953, vinorine synthase  [EC], ['EC:2.3.1.133'], KO:K13065
Solanum lycopersicum, 101253503, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Solanum lycopersicum, 101245674, acylsugar acyltransferase 3-like  [EC], ['EC:2.3.1.133'], KO:K13065
Solanum lycopersicum, 101248691, spermidine hydroxycinnamoyl transferase  [EC], ['EC:2.3.1.133'], KO:K13065
Solanum lycopersicum, 101253556, agmatine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Solanum lycopersicum, 101253859, agmatine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Solanum lycopersicum, 101267379, agmatine coumaroyltransferase-2-like  [EC], ['EC:2.3.1.133'], KO:K13065
Solanum lycopersicum, 101260610, acetyl-CoA-benzylalcohol acetyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Solanum lycopersicum, 101254278, pelargonidin 3-O-(6-caffeoylglucoside) 5-O-(6-O-malonylglucoside) 4'''-malonyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Solanum lycopersicum, 101249696, fatty alcohol:caffeoyl-CoA acyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Solanum lycopersicum, 101267215, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Solanum lycopersicum, 104648251, salutaridinol 7-O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Solanum lycopersicum, 104648161, salutaridinol 7-O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Solanum lycopersicum, 112941247, deacetylvindoline O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Solanum lycopersicum, 101246092, cytochrome P450 98A2  [EC], ['EC:1.14.14.96'], KO:K09754
Solanum lycopersicum, 101261765, cytochrome P450 98A3  [EC], ['EC:1.14.14.96'], KO:K09754
Solanum lycopersicum, 101247849, cytochrome P450 98A2-like  [EC], ['EC:1.14.14.96'], KO:K09754
Solanum lycopersicum, 101262063, cytochrome P450 98A2-like  [EC], ['EC:1.14.14.96'], KO:K09754
Solanum lycopersicum, 101262367, cytochrome P450 98A2-like  [EC], ['EC:1.14.14.96'], KO:K09754
Solanum lycopersicum, 101252173, probable caffeoyl-CoA O-methyltransferase At4g26220 isoform X1  [EC], ['EC:2.1.1.104'], KO:K00588
Solanum lycopersicum, 101265690, caffeoyl-CoA O-methyltransferase  [EC], ['EC:2.1.1.104'], KO:K00588
Solanum lycopersicum, 101253032, caffeoyl-CoA O-methyltransferase 5  [EC], ['EC:2.1.1.104'], KO:K00588
Solanum lycopersicum, 101255734, AnthOMT; flavonoid 3',5'-methyltransferase  [EC], ['EC:2.1.1.104'], KO:K00588
