Solanum lycopersicum, 101243656, phenylalanine ammonia-lyase  [EC], ['EC:4.3.1.24'], KO:K10775
Solanum lycopersicum, 101243631, phenylalanine ammonia-lyase-like isoform X1  [EC], ['EC:4.3.1.24'], KO:K10775
Solanum lycopersicum, 101243922, PAL3; phenylalanine ammonia-lyase 3  [EC], ['EC:4.3.1.24'], KO:K10775
Solanum lycopersicum, 101244220, PAL5; phenylalanine ammonia-lyase  [EC], ['EC:4.3.1.24'], KO:K10775
Solanum lycopersicum, 101249824, PAL2; phenylalanine ammonia-lyase 2  [EC], ['EC:4.3.1.24'], KO:K10775
Solanum lycopersicum, 101261892, phenylalanine ammonia-lyase  [EC], ['EC:4.3.1.24'], KO:K10775
Solanum lycopersicum, 101253989, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Solanum lycopersicum, 101246969, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Solanum lycopersicum, 101247265, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Solanum lycopersicum, 112941051, LOW QUALITY PROTEIN: phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Solanum lycopersicum, 101244196, trans-cinnamate 4-monooxygenase isoform X2  [EC], ['EC:1.14.14.91'], KO:K00487
Solanum lycopersicum, 101244496, trans-cinnamate 4-monooxygenase  [EC], ['EC:1.14.14.91'], KO:K00487
Solanum lycopersicum, 101262919, cytochrome P450 CYP73A100  [EC], ['EC:1.14.14.91'], KO:K00487
Solanum lycopersicum, 101251197, 4-coumarate--CoA ligase 2  [EC], ['EC:6.2.1.12'], KO:K01904
Solanum lycopersicum, 101249624, 4CL; 4-coumarate--CoA ligase  [EC], ['EC:6.2.1.12'], KO:K01904
Solanum lycopersicum, 101249706, 4-coumarate--CoA ligase-like 7  [EC], ['EC:6.2.1.12'], KO:K01904
Solanum lycopersicum, 101251363, 4-coumarate--CoA ligase  [EC], ['EC:6.2.1.12'], KO:K01904
