Selaginella moellendorffii, SELMODRAFT_270496, hypothetical protein  [EC], ['EC:2.3.1.74'], KO:K00660
Selaginella moellendorffii, SELMODRAFT_271225, hypothetical protein  [EC], ['EC:2.3.1.74'], KO:K00660
Selaginella moellendorffii, SELMODRAFT_403771, hypothetical protein  [EC], ['EC:2.3.1.74'], KO:K00660
Selaginella moellendorffii, SELMODRAFT_230473, hypothetical protein  [EC], ['EC:2.3.1.74'], KO:K00660
Selaginella moellendorffii, SELMODRAFT_230794, hypothetical protein  [EC], ['EC:2.3.1.74'], KO:K00660
Selaginella moellendorffii, SELMODRAFT_233950, hypothetical protein  [EC], ['EC:2.3.1.74'], KO:K00660
Selaginella moellendorffii, SELMODRAFT_444624, hypothetical protein  [EC], ['EC:5.5.1.6'], KO:K01859
Selaginella moellendorffii, SELMODRAFT_151616, hypothetical protein  [EC], ['EC:5.5.1.6'], KO:K01859
Selaginella moellendorffii, SELMODRAFT_227414, hypothetical protein  [EC], ['EC:5.5.1.6'], KO:K01859
Selaginella moellendorffii, SELMODRAFT_447240, hypothetical protein  [EC], ['EC:5.5.1.6'], KO:K01859
Selaginella moellendorffii, SELMODRAFT_450569, C4H1-1; trans-cinnamate 4-hydroxylase  [EC], ['EC:1.14.14.91'], KO:K00487
Selaginella moellendorffii, SELMODRAFT_450570, C4H1-2; trans-cinnamate 4-hydroxylase  [EC], ['EC:1.14.14.91'], KO:K00487
Selaginella moellendorffii, SELMODRAFT_130110, hypothetical protein , [], KO:K08243
Selaginella moellendorffii, SELMODRAFT_142608, hypothetical protein , [], KO:K08243
Selaginella moellendorffii, SELMODRAFT_450171, BAHDe7-1; probable hydroxycinnamoyl transferase  [EC], ['EC:2.3.1.133'], KO:K13065
Selaginella moellendorffii, SELMODRAFT_450172, BAHDe7-2; probable hydroxycinnamoyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Selaginella moellendorffii, SELMODRAFT_402379, hypothetical protein  [EC], ['EC:2.3.1.133'], KO:K13065
Selaginella moellendorffii, SELMODRAFT_402594, hypothetical protein  [EC], ['EC:2.3.1.133'], KO:K13065
Selaginella moellendorffii, SELMODRAFT_450132, BAHDa2-2; BAHD family acyltransferase, clade I  [EC], ['EC:2.3.1.133'], KO:K13065
Selaginella moellendorffii, SELMODRAFT_450573, BAHDa6-2; BAHD family acyltransferase, clade I  [EC], ['EC:2.3.1.133'], KO:K13065
Selaginella moellendorffii, SELMODRAFT_450617, BAHDd2-2; BAHD family acyltransferase, clade IV  [EC], ['EC:2.3.1.133'], KO:K13065
Selaginella moellendorffii, SELMODRAFT_450131, BAHDa2a-1; BAHD acyltransferase, clade I  [EC], ['EC:2.3.1.133'], KO:K13065
Selaginella moellendorffii, SELMODRAFT_450571, BAHDa6a-1; BAHD acyltransferase, clade I  [EC], ['EC:2.3.1.133'], KO:K13065
Selaginella moellendorffii, SELMODRAFT_450722, BAHDb5b-1; BAHD family acyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Selaginella moellendorffii, SELMODRAFT_450721, BAHDb5a-1; BAHD family acyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Selaginella moellendorffii, SELMODRAFT_450439, BAHDa5-2; BAHD family acyltransferase, clade I  [EC], ['EC:2.3.1.133'], KO:K13065
Selaginella moellendorffii, SELMODRAFT_450725, BAHDb5c; BAHD family acyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Selaginella moellendorffii, SELMODRAFT_450614, BAHDd1-2; BAHD family acyltransferase, clade IV  [EC], ['EC:2.3.1.133'], KO:K13065
Selaginella moellendorffii, SELMODRAFT_450687, BAHDb2; BAHD family acyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Selaginella moellendorffii, SELMODRAFT_450975, BAHDb9a; BAHD family acyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Selaginella moellendorffii, SELMODRAFT_406582, hypothetical protein  [EC], ['EC:2.3.1.133'], KO:K13065
Selaginella moellendorffii, SELMODRAFT_450686, BAHDb1-1; BAHD family acyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Selaginella moellendorffii, SELMODRAFT_450756, BAHDb8a; BAHD family acyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Selaginella moellendorffii, SELMODRAFT_450754, BAHDb6a-1; BAHD family acyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Selaginella moellendorffii, SELMODRAFT_450753, hypothetical protein  [EC], ['EC:2.3.1.133'], KO:K13065
Selaginella moellendorffii, SELMODRAFT_405848, hypothetical protein  [EC], ['EC:2.3.1.133'], KO:K13065
Selaginella moellendorffii, SELMODRAFT_450441, BAHDa5-1; BAHD family acyltransferase, clade I  [EC], ['EC:2.3.1.133'], KO:K13065
Selaginella moellendorffii, SELMODRAFT_408274, hypothetical protein  [EC], ['EC:2.3.1.133'], KO:K13065
Selaginella moellendorffii, SELMODRAFT_450438, BAHDa1-2; BAHD family acyltransferase, clade I  [EC], ['EC:2.3.1.133'], KO:K13065
Selaginella moellendorffii, SELMODRAFT_450692, BAHDb1-2; BAHD family acyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Selaginella moellendorffii, SELMODRAFT_450696, BAHDb4; BAHD family acyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Selaginella moellendorffii, SELMODRAFT_89789, hypothetical protein  [EC], ['EC:2.3.1.133'], KO:K13065
Selaginella moellendorffii, SELMODRAFT_409608, hypothetical protein  [EC], ['EC:2.3.1.133'], KO:K13065
Selaginella moellendorffii, SELMODRAFT_450616, BAHDd2-1; BAHD family acyltransferase, clade IV  [EC], ['EC:2.3.1.133'], KO:K13065
Selaginella moellendorffii, SELMODRAFT_450145, BAHDa4-1; BAHD family acyltransferase, clade I  [EC], ['EC:2.3.1.133'], KO:K13065
Selaginella moellendorffii, SELMODRAFT_450572, BAHDa6b-1; BAHD acyltransferase, clade I  [EC], ['EC:2.3.1.133'], KO:K13065
Selaginella moellendorffii, SELMODRAFT_450574, BAHDa2b-1; BAHD family acyltransferase, clade I  [EC], ['EC:2.3.1.133'], KO:K13065
Selaginella moellendorffii, SELMODRAFT_450269, BAHDa4-2; BAHD family acyltransferase, clade I  [EC], ['EC:2.3.1.133'], KO:K13065
Selaginella moellendorffii, SELMODRAFT_411178, hypothetical protein  [EC], ['EC:2.3.1.133'], KO:K13065
Selaginella moellendorffii, SELMODRAFT_450611, BAHDc2-1; BAHD family acyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Selaginella moellendorffii, SELMODRAFT_414046, hypothetical protein  [EC], ['EC:2.3.1.133'], KO:K13065
Selaginella moellendorffii, SELMODRAFT_450135, BAHDa3-2; BAHD family acyltransferase, clade I  [EC], ['EC:2.3.1.133'], KO:K13065
Selaginella moellendorffii, SELMODRAFT_450612, BAHDc2-2; BAHD acyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Selaginella moellendorffii, SELMODRAFT_104404, hypothetical protein  [EC], ['EC:2.3.1.133'], KO:K13065
Selaginella moellendorffii, SELMODRAFT_104600, hypothetical protein  [EC], ['EC:2.3.1.133'], KO:K13065
Selaginella moellendorffii, SELMODRAFT_450745, BAHDb7d; BAHD family acyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Selaginella moellendorffii, SELMODRAFT_450693, BAHDb2delta; hypothetical protein  [EC], ['EC:2.3.1.133'], KO:K13065
Selaginella moellendorffii, SELMODRAFT_450437, BAHDa1-1; BAHD family acyltransferase, clade I  [EC], ['EC:2.3.1.133'], KO:K13065
Selaginella moellendorffii, SELMODRAFT_450608, BAHDc1-1; BAHD family acyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Selaginella moellendorffii, SELMODRAFT_450740, BAHDb7a-2; BAHD family acyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Selaginella moellendorffii, SELMODRAFT_450742, BAHDb7b-2; BAHD family acyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Selaginella moellendorffii, SELMODRAFT_450694, BAHDb3-1; BAHD family acyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Selaginella moellendorffii, SELMODRAFT_450613, BAHDd1-1; BAHD family acyltransferase, clade IV  [EC], ['EC:2.3.1.133'], KO:K13065
Selaginella moellendorffii, SELMODRAFT_419914, hypothetical protein  [EC], ['EC:2.3.1.133'], KO:K13065
Selaginella moellendorffii, SELMODRAFT_418346, hypothetical protein  [EC], ['EC:2.3.1.133'], KO:K13065
Selaginella moellendorffii, SELMODRAFT_450609, BAHDc1-2; BAHD family acyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Selaginella moellendorffii, SELMODRAFT_423705, hypothetical protein  [EC], ['EC:2.3.1.133'], KO:K13065
Selaginella moellendorffii, SELMODRAFT_450739, BAHDb7a-1; BAHD family acyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Selaginella moellendorffii, SELMODRAFT_450741, BAHDb7b-1; BAHD family acyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Selaginella moellendorffii, SELMODRAFT_450746, BAHDb7c; BAHD family acyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Selaginella moellendorffii, SELMODRAFT_450695, BAHDb3-2; BAHD family acyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Selaginella moellendorffii, SELMODRAFT_450134, BAHDa3-1; BAHD family acyltransferase, clade I  [EC], ['EC:2.3.1.133'], KO:K13065
Selaginella moellendorffii, SELMODRAFT_446674, hypothetical protein  [EC], ['EC:2.3.1.133'], KO:K13065
