Glycine soja, 114412891, chalcone synthase 5-like  [EC], ['EC:2.3.1.74'], KO:K00660
Glycine soja, 114414190, chalcone synthase 6  [EC], ['EC:2.3.1.74'], KO:K00660
Glycine soja, 114421657, chalcone synthase 5-like  [EC], ['EC:2.3.1.74'], KO:K00660
Glycine soja, 114421658, chalcone synthase 1 isoform X1  [EC], ['EC:2.3.1.74'], KO:K00660
Glycine soja, 114421659, chalcone synthase 1  [EC], ['EC:2.3.1.74'], KO:K00660
Glycine soja, 114421661, chalcone synthase 5  [EC], ['EC:2.3.1.74'], KO:K00660
Glycine soja, 114421662, chalcone synthase 5  [EC], ['EC:2.3.1.74'], KO:K00660
Glycine soja, 114421663, chalcone synthase 1-like  [EC], ['EC:2.3.1.74'], KO:K00660
Glycine soja, 114421664, chalcone synthase 3  [EC], ['EC:2.3.1.74'], KO:K00660
Glycine soja, 114421665, chalcone synthase 3  [EC], ['EC:2.3.1.74'], KO:K00660
Glycine soja, 114425794, chalcone synthase 7  [EC], ['EC:2.3.1.74'], KO:K00660
Glycine soja, 114415463, chalcone synthase-like  [EC], ['EC:2.3.1.74'], KO:K00660
Glycine soja, 114400554, chalcone synthase J-like  [EC], ['EC:2.3.1.74'], KO:K00660
Glycine soja, 114375749, chalcone synthase  [EC], ['EC:2.3.1.74'], KO:K00660
Glycine soja, 114388436, chalcone synthase 6-like  [EC], ['EC:2.3.1.74'], KO:K00660
Glycine soja, 114410172, probable chalcone--flavonone isomerase 3  [EC], ['EC:5.5.1.6'], KO:K01859
Glycine soja, 114403003, chalcone--flavonone isomerase 2-A  [EC], ['EC:5.5.1.6'], KO:K01859
Glycine soja, 114403004, chalcone--flavonone isomerase 1B-1  [EC], ['EC:5.5.1.6'], KO:K01859
Glycine soja, 114403739, chalcone--flavonone isomerase 1A  [EC], ['EC:5.5.1.6'], KO:K01859
Glycine soja, 114415689, probable chalcone--flavonone isomerase 3  [EC], ['EC:5.5.1.6'], KO:K01859
Glycine soja, 114369763, chalcone--flavonone isomerase 1B-2  [EC], ['EC:5.5.1.6'], KO:K01859
Glycine soja, 114405690, naringenin,2-oxoglutarate 3-dioxygenase-like  [EC], ['EC:1.14.11.9'], KO:K00475
Glycine soja, 114381549, naringenin,2-oxoglutarate 3-dioxygenase-like  [EC], ['EC:1.14.11.9'], KO:K00475
Glycine soja, 114390422, naringenin,2-oxoglutarate 3-dioxygenase-like  [EC], ['EC:1.14.11.9'], KO:K00475
Glycine soja, 114390424, naringenin,2-oxoglutarate 3-dioxygenase-like  [EC], ['EC:1.14.11.9'], KO:K00475
Glycine soja, 114390425, naringenin,2-oxoglutarate 3-dioxygenase-like  [EC], ['EC:1.14.11.9'], KO:K00475
Glycine soja, 114414096, flavonol synthase/flavanone 3-hydroxylase-like  [EC], ['EC:1.14.20.6'], KO:K05278
Glycine soja, 114412340, flavonol synthase/flavanone 3-hydroxylase-like  [EC], ['EC:1.14.20.6'], KO:K05278
Glycine soja, 114380973, flavonol synthase/flavanone 3-hydroxylase-like  [EC], ['EC:1.14.20.6'], KO:K05278
Glycine soja, 114397278, trans-cinnamate 4-monooxygenase  [EC], ['EC:1.14.14.91'], KO:K00487
Glycine soja, 114385043, trans-cinnamate 4-monooxygenase-like  [EC], ['EC:1.14.14.91'], KO:K00487
Glycine soja, 114401755, cytochrome P450 CYP73A100-like  [EC], ['EC:1.14.14.91'], KO:K00487
Glycine soja, 114403694, NAD(P)H-dependent 6'-deoxychalcone synthase-like , [], KO:K08243
Glycine soja, 114385144, NAD(P)H-dependent 6'-deoxychalcone synthase , [], KO:K08243
Glycine soja, 114397614, NAD(P)H-dependent 6'-deoxychalcone synthase-like , [], KO:K08243
Glycine soja, 114386452, NAD(P)H-dependent 6'-deoxychalcone synthase-like , [], KO:K08243
Glycine soja, 114379343, licodione synthase-like  [EC], ['EC:1.14.19.76'], KO:K23179
Glycine soja, 114411811, flavonoid 3'-monooxygenase-like  [EC], ['EC:1.14.14.82'], KO:K05280
Glycine soja, 114411812, flavonoid 3'-monooxygenase-like  [EC], ['EC:1.14.14.82'], KO:K05280
Glycine soja, 114411813, flavonoid 3'-monooxygenase-like  [EC], ['EC:1.14.14.82'], KO:K05280
Glycine soja, 114416612, flavonoid 3'-monooxygenase-like  [EC], ['EC:1.14.14.82'], KO:K05280
