Citrus clementina, CICLE_v10001413mg, hypothetical protein  [EC], ['EC:2.3.1.74'], KO:K00660
Citrus clementina, CICLE_v10028604mg, hypothetical protein  [EC], ['EC:2.3.1.74'], KO:K00660
Citrus clementina, CICLE_v10030093mg, hypothetical protein  [EC], ['EC:2.3.1.74'], KO:K00660
Citrus clementina, CICLE_v10001395mg, hypothetical protein  [EC], ['EC:2.3.1.74'], KO:K00660
Citrus clementina, CICLE_v10030398mg, hypothetical protein  [EC], ['EC:2.3.1.74'], KO:K00660
Citrus clementina, CICLE_v10028605mg, hypothetical protein  [EC], ['EC:2.3.1.74'], KO:K00660
Citrus clementina, CICLE_v10003127mg, hypothetical protein  [EC], ['EC:2.3.1.74'], KO:K00660
Citrus clementina, CICLE_v10005133mg, hypothetical protein  [EC], ['EC:2.3.1.74'], KO:K00660
Citrus clementina, CICLE_v10001405mg, hypothetical protein  [EC], ['EC:2.3.1.74'], KO:K00660
Citrus clementina, CICLE_v10015535mg, hypothetical protein  [EC], ['EC:2.3.1.74'], KO:K00660
Citrus clementina, CICLE_v10001905mg, hypothetical protein  [EC], ['EC:2.3.1.74'], KO:K00660
Citrus clementina, CICLE_v10032697mg, hypothetical protein  [EC], ['EC:5.5.1.6'], KO:K01859
Citrus clementina, CICLE_v10032749mg, hypothetical protein  [EC], ['EC:5.5.1.6'], KO:K01859
Citrus clementina, CICLE_v10025931mg, hypothetical protein  [EC], ['EC:1.14.11.9'], KO:K00475
Citrus clementina, CICLE_v10023305mg, hypothetical protein  [EC], ['EC:1.14.11.9'], KO:K00475
Citrus clementina, CICLE_v10015856mg, hypothetical protein  [EC], ['EC:1.14.20.6'], KO:K05278
Citrus clementina, CICLE_v10026028mg, hypothetical protein  [EC], ['EC:1.14.20.6'], KO:K05278
Citrus clementina, CICLE_v10003741mg, hypothetical protein  [EC], ['EC:1.14.20.6'], KO:K05278
Citrus clementina, CICLE_v10000921mg, hypothetical protein  [EC], ['EC:1.14.14.91'], KO:K00487
Citrus clementina, CICLE_v10008125mg, hypothetical protein  [EC], ['EC:1.14.14.91'], KO:K00487
Citrus clementina, CICLE_v10019811mg, hypothetical protein  [EC], ['EC:1.14.19.76'], KO:K23179
Citrus clementina, CICLE_v10019810mg, hypothetical protein  [EC], ['EC:1.14.19.76'], KO:K23179
Citrus clementina, CICLE_v10019637mg, hypothetical protein  [EC], ['EC:1.14.14.82'], KO:K05280
Citrus clementina, CICLE_v10001757mg, hypothetical protein  [EC], ['EC:1.1.1.219', 'EC:1.1.1.234'], KO:K13082
Citrus clementina, CICLE_v10018289mg, hypothetical protein  [EC], ['EC:1.14.14.81'], KO:K13083
Citrus clementina, CICLE_v10020815mg, hypothetical protein  [EC], ['EC:1.14.20.4'], KO:K05277
Citrus clementina, CICLE_v10017667mg, hypothetical protein  [EC], ['EC:1.3.1.77'], KO:K08695
Citrus clementina, CICLE_v10033821mg, hypothetical protein  [EC], ['EC:1.17.1.3'], KO:K13081
Citrus clementina, CICLE_v10030271mg, hypothetical protein  [EC], ['EC:2.4.1.236'], KO:K13080
Citrus clementina, CICLE_v10030045mg, hypothetical protein  [EC], ['EC:2.4.1.236'], KO:K13080
Citrus clementina, CICLE_v10025535mg, hypothetical protein  [EC], ['EC:2.4.1.357'], KO:K22845
Citrus clementina, CICLE_v10028515mg, hypothetical protein  [EC], ['EC:2.3.1.133'], KO:K13065
Citrus clementina, CICLE_v10023627mg, hypothetical protein  [EC], ['EC:2.3.1.133'], KO:K13065
Citrus clementina, CICLE_v10024067mg, hypothetical protein  [EC], ['EC:2.3.1.133'], KO:K13065
Citrus clementina, CICLE_v10010833mg, hypothetical protein  [EC], ['EC:2.3.1.133'], KO:K13065
Citrus clementina, CICLE_v10008265mg, hypothetical protein  [EC], ['EC:2.3.1.133'], KO:K13065
Citrus clementina, CICLE_v10002415mg, hypothetical protein  [EC], ['EC:2.3.1.133'], KO:K13065
Citrus clementina, CICLE_v10006986mg, hypothetical protein  [EC], ['EC:2.3.1.133'], KO:K13065
Citrus clementina, CICLE_v10028504mg, hypothetical protein  [EC], ['EC:2.3.1.133'], KO:K13065
Citrus clementina, CICLE_v10010861mg, hypothetical protein  [EC], ['EC:2.3.1.133'], KO:K13065
