Solanum pennellii, 107006636, chalcone synthase J-like  [EC], ['EC:2.3.1.74'], KO:K00660
Solanum pennellii, 107020692, chalcone synthase 2  [EC], ['EC:2.3.1.74'], KO:K00660
Solanum pennellii, 107031578, chalcone synthase 1B  [EC], ['EC:2.3.1.74'], KO:K00660
Solanum pennellii, 107020878, chalcone synthase B  [EC], ['EC:2.3.1.74'], KO:K00660
Solanum pennellii, 107019217, chalcone--flavonone isomerase-like  [EC], ['EC:5.5.1.6'], KO:K01859
Solanum pennellii, 107020630, chalcone--flavonone isomerase-like  [EC], ['EC:5.5.1.6'], KO:K01859
Solanum pennellii, 107018616, probable chalcone--flavonone isomerase 3  [EC], ['EC:5.5.1.6'], KO:K01859
Solanum pennellii, 107011910, naringenin,2-oxoglutarate 3-dioxygenase  [EC], ['EC:1.14.11.9'], KO:K00475
Solanum pennellii, 107004995, flavonol synthase/flavanone 3-hydroxylase  [EC], ['EC:1.14.20.6'], KO:K05278
Solanum pennellii, 107020510, cytochrome P450 CYP73A100-like  [EC], ['EC:1.14.14.91'], KO:K00487
Solanum pennellii, 114073827, trans-cinnamate 4-monooxygenase  [EC], ['EC:1.14.14.91'], KO:K00487
Solanum pennellii, 107022866, trans-cinnamate 4-monooxygenase  [EC], ['EC:1.14.14.91'], KO:K00487
Solanum pennellii, 107015315, flavonoid 3'-monooxygenase  [EC], ['EC:1.14.14.82'], KO:K05280
Solanum pennellii, 107010988, dihydroflavonol 4-reductase  [EC], ['EC:1.1.1.219', 'EC:1.1.1.234'], KO:K13082
Solanum pennellii, 107005054, flavonoid 3',5'-hydroxylase  [EC], ['EC:1.14.14.81'], KO:K13083
Solanum pennellii, 107027946, leucoanthocyanidin dioxygenase  [EC], ['EC:1.14.20.4'], KO:K05277
Solanum pennellii, 107012467, anthocyanidin reductase ((2S)-flavan-3-ol-forming)  [EC], ['EC:1.3.1.77'], KO:K08695
Solanum pennellii, 114077302, leucoanthocyanidin reductase-like  [EC], ['EC:1.17.1.3'], KO:K13081
Solanum pennellii, 107016413, acylsugar acyltransferase 3-like  [EC], ['EC:2.3.1.133'], KO:K13065
Solanum pennellii, 107024739, acetyl-CoA-benzylalcohol acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Solanum pennellii, 107024740, acetyl-CoA-benzylalcohol acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Solanum pennellii, 107025914, acetyl-CoA-benzylalcohol acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Solanum pennellii, 107006388, agmatine coumaroyltransferase-2-like  [EC], ['EC:2.3.1.133'], KO:K13065
Solanum pennellii, 107019786, LOW QUALITY PROTEIN: BAHD acyltransferase BIA1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Solanum pennellii, 107026059, shikimate O-hydroxycinnamoyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Solanum pennellii, 107006773, acetyl-CoA-benzylalcohol acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Solanum pennellii, 107006805, pelargonidin 3-O-(6-caffeoylglucoside) 5-O-(6-O-malonylglucoside) 4'''-malonyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Solanum pennellii, 107028136, acylsugar acyltransferase 3-like  [EC], ['EC:2.3.1.133'], KO:K13065
Solanum pennellii, 107006883, acetyl-CoA-benzylalcohol acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Solanum pennellii, 107025455, acylsugar acyltransferase 3-like  [EC], ['EC:2.3.1.133'], KO:K13065
Solanum pennellii, 107006919, acetyl-CoA-benzylalcohol acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Solanum pennellii, 107006924, acetyl-CoA-benzylalcohol acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Solanum pennellii, 107006971, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Solanum pennellii, 107019270, vinorine synthase  [EC], ['EC:2.3.1.133'], KO:K13065
Solanum pennellii, 107014577, shikimate O-hydroxycinnamoyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Solanum pennellii, 107029716, acetyl-CoA-benzylalcohol acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Solanum pennellii, 107005264, acetyl-CoA-benzylalcohol acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Solanum pennellii, 107004172, agmatine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Solanum pennellii, 107004234, agmatine coumaroyltransferase-2-like  [EC], ['EC:2.3.1.133'], KO:K13065
Solanum pennellii, 107004785, LOW QUALITY PROTEIN: BAHD acyltransferase At5g47980-like  [EC], ['EC:2.3.1.133'], KO:K13065
Solanum pennellii, 107004898, fatty alcohol:caffeoyl-CoA acyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Solanum pennellii, 107022615, agmatine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Solanum pennellii, 107024411, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Solanum pennellii, 107025597, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Solanum pennellii, 107025607, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Solanum pennellii, 107025644, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Solanum pennellii, 107002593, cytochrome P450 98A2-like  [EC], ['EC:1.14.14.96'], KO:K09754
Solanum pennellii, 107001769, cytochrome P450 98A3-like  [EC], ['EC:1.14.14.96'], KO:K09754
Solanum pennellii, 107001863, cytochrome P450 98A3-like  [EC], ['EC:1.14.14.96'], KO:K09754
Solanum pennellii, 107008188, cytochrome P450 98A2-like  [EC], ['EC:1.14.14.96'], KO:K09754
Solanum pennellii, 107028331, cytochrome P450 98A2-like  [EC], ['EC:1.14.14.96'], KO:K09754
Solanum pennellii, 107013906, LOW QUALITY PROTEIN: probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Solanum pennellii, 107008953, caffeoyl-CoA O-methyltransferase  [EC], ['EC:2.1.1.104'], KO:K00588
Solanum pennellii, 107009496, caffeoyl-CoA O-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Solanum pennellii, 107010763, caffeoyl-CoA O-methyltransferase 6  [EC], ['EC:2.1.1.104'], KO:K00588
Solanum pennellii, 107032120, caffeoyl-CoA O-methyltransferase 5-like  [EC], ['EC:2.1.1.104'], KO:K00588
Solanum pennellii, 107015723, probable caffeoyl-CoA O-methyltransferase At4g26220 isoform X1  [EC], ['EC:2.1.1.104'], KO:K00588
Solanum pennellii, 107020048, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Solanum pennellii, 107020068, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Solanum pennellii, 107020085, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Solanum pennellii, 107031250, flavonoid 3',5'-methyltransferase-like isoform X1  [EC], ['EC:2.1.1.104'], KO:K00588
