Vitis vinifera, 100233012, PAL7; phenylalanine ammonia-lyase G1  [EC], ['EC:4.3.1.24'], KO:K10775
Vitis vinifera, 100241377, PAL2; phenylalanine ammonia-lyase  [EC], ['EC:4.3.1.24'], KO:K10775
Vitis vinifera, 100241575, PAL1; phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Vitis vinifera, 100245997, PAL; phenylalanine ammonia-lyase  [EC], ['EC:4.3.1.24'], KO:K10775
Vitis vinifera, 100251137, phenylalanine ammonia-lyase  [EC], ['EC:4.3.1.24'], KO:K10775
Vitis vinifera, 100252889, phenylalanine ammonia-lyase  [EC], ['EC:4.3.1.24'], KO:K10775
Vitis vinifera, 100255939, PAL4; phenylalanine ammonia-lyase  [EC], ['EC:4.3.1.24'], KO:K10775
Vitis vinifera, 100266593, phenylalanine ammonia-lyase  [EC], ['EC:4.3.1.24'], KO:K10775
Vitis vinifera, 100263160, PAL; phenylalanine ammonia-lyase  [EC], ['EC:4.3.1.24'], KO:K10775
Vitis vinifera, 100240904, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Vitis vinifera, 100256293, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Vitis vinifera, 100854997, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Vitis vinifera, 100853659, PAL; phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Vitis vinifera, 100266224, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Vitis vinifera, 100253493, trans-cinnamate 4-monooxygenase-like  [EC], ['EC:1.14.14.91'], KO:K00487
Vitis vinifera, 100251539, cytochrome P450 CYP73A100  [EC], ['EC:1.14.14.91'], KO:K00487
Vitis vinifera, 100267215, cytochrome P450 CYP73A100  [EC], ['EC:1.14.14.91'], KO:K00487
Vitis vinifera, 100245991, 4CL; 4-coumarate:CoA ligase  [EC], ['EC:6.2.1.12'], KO:K01904
Vitis vinifera, 100254698, 4-coumarate--CoA ligase 2  [EC], ['EC:6.2.1.12'], KO:K01904
Vitis vinifera, 100267198, 4-coumarate--CoA ligase-like 7  [EC], ['EC:6.2.1.12'], KO:K01904
Vitis vinifera, 100264367, 4-coumarate--CoA ligase-like 1  [EC], ['EC:6.2.1.12'], KO:K01904
Vitis vinifera, 100265063, 4-coumarate--CoA ligase 2  [EC], ['EC:6.2.1.12'], KO:K01904
Vitis vinifera, 100261471, 4-coumarate--CoA ligase-like 6  [EC], ['EC:6.2.1.12'], KO:K01904
Vitis vinifera, 100267423, 4-coumarate--CoA ligase-like 7  [EC], ['EC:6.2.1.12'], KO:K01904
Vitis vinifera, 100268159, 4-coumarate--CoA ligase-like 9  [EC], ['EC:6.2.1.12'], KO:K01904
Vitis vinifera, 100265530, shikimate O-hydroxycinnamoyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Vitis vinifera, 100255964, brassinosteroid-related acyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Vitis vinifera, 100254574, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Vitis vinifera, 100246835, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Vitis vinifera, 100253912, spermidine hydroxycinnamoyl transferase  [EC], ['EC:2.3.1.133'], KO:K13065
Vitis vinifera, 100251863, spermidine hydroxycinnamoyl transferase  [EC], ['EC:2.3.1.133'], KO:K13065
Vitis vinifera, 100250237, shikimate O-hydroxycinnamoyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Vitis vinifera, 100258760, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Vitis vinifera, 104878534, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Vitis vinifera, 100249378, omega-hydroxypalmitate O-feruloyl transferase  [EC], ['EC:2.3.1.133'], KO:K13065
Vitis vinifera, 100263633, cytochrome P450 98A2  [EC], ['EC:1.14.14.96'], KO:K09754
Vitis vinifera, 100248095, caffeoylshikimate esterase  [EC], ['EC:3.1.1.-'], KO:K18368
Vitis vinifera, 100246971, caffeoylshikimate esterase  [EC], ['EC:3.1.1.-'], KO:K18368
Vitis vinifera, 100260284, caffeoylshikimate esterase  [EC], ['EC:3.1.1.-'], KO:K18368
Vitis vinifera, 100255956, caffeoylshikimate esterase  [EC], ['EC:3.1.1.-'], KO:K18368
Vitis vinifera, 100261782, caffeoylshikimate esterase  [EC], ['EC:3.1.1.-'], KO:K18368
Vitis vinifera, 100243978, caffeoyl-CoA O-methyltransferase  [EC], ['EC:2.1.1.104'], KO:K00588
Vitis vinifera, 100233087, CCOAMT; caffeoyl-CoA O-methyltransferase  [EC], ['EC:2.1.1.104'], KO:K00588
Vitis vinifera, 100262946, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Vitis vinifera, 100266060, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Vitis vinifera, 100268094, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Vitis vinifera, 100251623, cinnamoyl-CoA reductase 1  [EC], ['EC:1.2.1.44'], KO:K09753
Vitis vinifera, 100267863, cytochrome P450 84A1  [EC], ['EC:1.14.-.-'], KO:K09755
Vitis vinifera, 100250277, cytochrome P450 84A1  [EC], ['EC:1.14.-.-'], KO:K09755
Vitis vinifera, 100253771, cytochrome P450 84A1  [EC], ['EC:1.14.-.-'], KO:K09755
Vitis vinifera, 100242108, caffeic acid 3-O-methyltransferase  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Vitis vinifera, 100260786, quercetin 3-O-methyltransferase 1-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Vitis vinifera, 100232862, caffeic acid O-methyltransferase  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Vitis vinifera, 100854172, caffeic acid 3-O-methyltransferase  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Vitis vinifera, 100260649, caffeic acid 3-O-methyltransferase  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Vitis vinifera, 100265990, caffeic acid 3-O-methyltransferase  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Vitis vinifera, 100260763, caffeic acid 3-O-methyltransferase  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Vitis vinifera, 100255690, caffeic acid 3-O-methyltransferase  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Vitis vinifera, 100265976, caffeic acid 3-O-methyltransferase  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Vitis vinifera, 100232921, COMT; caffeic acid 3-O-methyltransferase  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Vitis vinifera, 100253843, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Vitis vinifera, 100257308, probable cinnamyl alcohol dehydrogenase 1  [EC], ['EC:1.1.1.195'], KO:K00083
Vitis vinifera, 100244482, probable cinnamyl alcohol dehydrogenase 1  [EC], ['EC:1.1.1.195'], KO:K00083
Vitis vinifera, 100250644, probable cinnamyl alcohol dehydrogenase 9  [EC], ['EC:1.1.1.195'], KO:K00083
Vitis vinifera, 100262607, probable cinnamyl alcohol dehydrogenase 6  [EC], ['EC:1.1.1.195'], KO:K00083
Vitis vinifera, 100262421, probable cinnamyl alcohol dehydrogenase 1  [EC], ['EC:1.1.1.195'], KO:K00083
Vitis vinifera, 100247381, cinnamyl alcohol dehydrogenase 1  [EC], ['EC:1.1.1.195'], KO:K00083
Vitis vinifera, 100245522, probable mannitol dehydrogenase  [EC], ['EC:1.1.1.195'], KO:K00083
Vitis vinifera, 100244946, probable cinnamyl alcohol dehydrogenase 1  [EC], ['EC:1.1.1.195'], KO:K00083
Vitis vinifera, 100250740, berberine bridge enzyme-like 15  [EC], ['EC:1.1.1.195'], KO:K22395
Vitis vinifera, 100259564, 1-Cys peroxiredoxin  [EC], ['EC:1.11.1.7', 'EC:1.11.1.27', 'EC:3.1.1.-'], KO:K11188
Vitis vinifera, 100244727, 1-Cys peroxiredoxin 03  [EC], ['EC:1.11.1.7', 'EC:1.11.1.27', 'EC:3.1.1.-'], KO:K11188
Vitis vinifera, 100249751, peroxidase 55  [EC], ['EC:1.11.1.7'], KO:K00430
