Cucurbita moschata, 111460065, chalcone synthase J-like  [EC], ['EC:2.3.1.74'], KO:K00660
Cucurbita moschata, 111441531, chalcone synthase 2 isoform X1  [EC], ['EC:2.3.1.74'], KO:K00660
Cucurbita moschata, 111441532, chalcone synthase-like  [EC], ['EC:2.3.1.74'], KO:K00660
Cucurbita moschata, 111444733, chalcone--flavonone isomerase-like  [EC], ['EC:5.5.1.6'], KO:K01859
Cucurbita moschata, 111447946, probable chalcone--flavonone isomerase 3  [EC], ['EC:5.5.1.6'], KO:K01859
Cucurbita moschata, 111430948, naringenin,2-oxoglutarate 3-dioxygenase-like  [EC], ['EC:1.14.11.9'], KO:K00475
Cucurbita moschata, 111445185, naringenin,2-oxoglutarate 3-dioxygenase  [EC], ['EC:1.14.11.9'], KO:K00475
Cucurbita moschata, 111444648, flavonol synthase/flavanone 3-hydroxylase-like  [EC], ['EC:1.14.20.6'], KO:K05278
Cucurbita moschata, 111464499, flavonol synthase/flavanone 3-hydroxylase-like  [EC], ['EC:1.14.20.6'], KO:K05278
Cucurbita moschata, 111451474, trans-cinnamate 4-monooxygenase  [EC], ['EC:1.14.14.91'], KO:K00487
Cucurbita moschata, 111452469, trans-cinnamate 4-monooxygenase-like  [EC], ['EC:1.14.14.91'], KO:K00487
Cucurbita moschata, 111436256, cytochrome P450 CYP73A100-like  [EC], ['EC:1.14.14.91'], KO:K00487
Cucurbita moschata, 111448702, trans-cinnamate 4-monooxygenase-like  [EC], ['EC:1.14.14.91'], KO:K00487
Cucurbita moschata, 111440987, flavonoid 3'-monooxygenase  [EC], ['EC:1.14.14.82'], KO:K05280
Cucurbita moschata, 111454395, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Cucurbita moschata, 111461177, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Cucurbita moschata, 111453622, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Cucurbita moschata, 111432520, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Cucurbita moschata, 111432535, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Cucurbita moschata, 111432536, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Cucurbita moschata, 111432537, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Cucurbita moschata, 111456001, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Cucurbita moschata, 111458272, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Cucurbita moschata, 111434048, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Cucurbita moschata, 111453028, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Cucurbita moschata, 111441713, cytochrome P450 98A2  [EC], ['EC:1.14.14.96'], KO:K09754
Cucurbita moschata, 111449785, flavonoid 3',5'-methyltransferase-like isoform X1  [EC], ['EC:2.1.1.104'], KO:K00588
Cucurbita moschata, 111449787, flavonoid 3',5'-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Cucurbita moschata, 111434476, caffeoyl-CoA O-methyltransferase  [EC], ['EC:2.1.1.104'], KO:K00588
Cucurbita moschata, 111449784, caffeoyl-CoA O-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Cucurbita moschata, 111455613, caffeoyl-CoA O-methyltransferase 5  [EC], ['EC:2.1.1.104'], KO:K00588
