Prunus persica, 18772065, phenylalanine ammonia-lyase 1  [EC], ['EC:4.3.1.24'], KO:K10775
Prunus persica, 18784865, phenylalanine ammonia-lyase 1  [EC], ['EC:4.3.1.24'], KO:K10775
Prunus persica, 18791756, cytochrome P450 CYP73A100  [EC], ['EC:1.14.14.91'], KO:K00487
Prunus persica, 18772818, trans-cinnamate 4-monooxygenase  [EC], ['EC:1.14.14.91'], KO:K00487
Prunus persica, 18767376, LOW QUALITY PROTEIN: 4-coumarate--CoA ligase-like 6  [EC], ['EC:6.2.1.12'], KO:K01904
Prunus persica, 18781615, 4-coumarate--CoA ligase 1  [EC], ['EC:6.2.1.12'], KO:K01904
Prunus persica, 18792923, 4-coumarate--CoA ligase 2  [EC], ['EC:6.2.1.12'], KO:K01904
Prunus persica, 18772555, 4-coumarate--CoA ligase-like 7  [EC], ['EC:6.2.1.12'], KO:K01904
Prunus persica, 18770881, 4-coumarate--CoA ligase-like 7  [EC], ['EC:6.2.1.12'], KO:K01904
Prunus persica, 18769172, 4-coumarate--CoA ligase-like 6  [EC], ['EC:6.2.1.12'], KO:K01904
Prunus persica, 18792004, 4-coumarate--CoA ligase-like 1  [EC], ['EC:6.2.1.12'], KO:K01904
Prunus persica, 18786755, LOW QUALITY PROTEIN: 4-coumarate--CoA ligase 2  [EC], ['EC:6.2.1.12'], KO:K01904
Prunus persica, 18775963, 4-coumarate--CoA ligase-like 9  [EC], ['EC:6.2.1.12'], KO:K01904
Prunus persica, 18783095, shikimate O-hydroxycinnamoyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Prunus persica, 18781919, shikimate O-hydroxycinnamoyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Prunus persica, 18779361, spermidine hydroxycinnamoyl transferase  [EC], ['EC:2.3.1.133'], KO:K13065
Prunus persica, 18781918, shikimate O-hydroxycinnamoyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Prunus persica, 18783187, shikimate O-hydroxycinnamoyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Prunus persica, 18782712, shikimate O-hydroxycinnamoyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Prunus persica, 18782933, shikimate O-hydroxycinnamoyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Prunus persica, 18784459, shikimate O-hydroxycinnamoyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Prunus persica, 18772575, omega-hydroxypalmitate O-feruloyl transferase  [EC], ['EC:2.3.1.133'], KO:K13065
