Brassica napus, 106371449, uncharacterized protein LOC106371449  [EC], ['EC:4.3.1.24'], KO:K10775
Brassica napus, 106388514, uncharacterized protein LOC106388514  [EC], ['EC:4.3.1.24'], KO:K10775
Brassica napus, 106391500, phenylalanine ammonia-lyase 1  [EC], ['EC:4.3.1.24'], KO:K10775
Brassica napus, 106352757, phenylalanine ammonia-lyase 2-like  [EC], ['EC:4.3.1.24'], KO:K10775
Brassica napus, 106382579, phenylalanine ammonia-lyase 2  [EC], ['EC:4.3.1.24'], KO:K10775
Brassica napus, 106371447, phenylalanine ammonia-lyase 2-like  [EC], ['EC:4.3.1.24'], KO:K10775
Brassica napus, 106371451, phenylalanine ammonia-lyase 2-like  [EC], ['EC:4.3.1.24'], KO:K10775
Brassica napus, 106377171, phenylalanine ammonia-lyase 4  [EC], ['EC:4.3.1.24'], KO:K10775
Brassica napus, 106398793, phenylalanine ammonia-lyase 1-like  [EC], ['EC:4.3.1.24'], KO:K10775
Brassica napus, 106388513, phenylalanine ammonia-lyase 1-like  [EC], ['EC:4.3.1.24'], KO:K10775
Brassica napus, 106388515, phenylalanine ammonia-lyase 1  [EC], ['EC:4.3.1.24'], KO:K10775
Brassica napus, 106389127, phenylalanine ammonia-lyase 2-like  [EC], ['EC:4.3.1.24'], KO:K10775
Brassica napus, 106452673, phenylalanine ammonia-lyase 4  [EC], ['EC:4.3.1.24'], KO:K10775
Brassica napus, 111197696, phenylalanine ammonia-lyase 2  [EC], ['EC:4.3.1.24'], KO:K10775
Brassica napus, 111211703, phenylalanine ammonia-lyase 2-like  [EC], ['EC:4.3.1.24'], KO:K10775
Brassica napus, 111207414, phenylalanine ammonia-lyase 4-like  [EC], ['EC:4.3.1.24'], KO:K10775
Brassica napus, 106355487, phenylalanine ammonia-lyase 2-like isoform X1  [EC], ['EC:4.3.1.24'], KO:K10775
Brassica napus, 106452446, phenylalanine ammonia-lyase 2-like  [EC], ['EC:4.3.1.24'], KO:K10775
Brassica napus, 106437591, trans-cinnamate 4-monooxygenase-like  [EC], ['EC:1.14.14.91'], KO:K00487
Brassica napus, 106437590, trans-cinnamate 4-monooxygenase  [EC], ['EC:1.14.14.91'], KO:K00487
Brassica napus, 106451418, trans-cinnamate 4-monooxygenase  [EC], ['EC:1.14.14.91'], KO:K00487
Brassica napus, 111205796, trans-cinnamate 4-monooxygenase-like  [EC], ['EC:1.14.14.91'], KO:K00487
Brassica napus, 106446415, trans-cinnamate 4-monooxygenase-like  [EC], ['EC:1.14.14.91'], KO:K00487
Brassica napus, 106348399, trans-cinnamate 4-monooxygenase-like  [EC], ['EC:1.14.14.91'], KO:K00487
Brassica napus, 106348398, trans-cinnamate 4-monooxygenase-like  [EC], ['EC:1.14.14.91'], KO:K00487
Brassica napus, 106387868, trans-cinnamate 4-monooxygenase  [EC], ['EC:1.14.14.91'], KO:K00487
Brassica napus, 106387869, trans-cinnamate 4-monooxygenase-like  [EC], ['EC:1.14.14.91'], KO:K00487
Brassica napus, 106386026, 4-coumarate--CoA ligase 4-like  [EC], ['EC:6.2.1.12'], KO:K01904
Brassica napus, 106389369, 4-coumarate--CoA ligase 4-like  [EC], ['EC:6.2.1.12'], KO:K01904
Brassica napus, 106397425, 4-coumarate--CoA ligase 4  [EC], ['EC:6.2.1.12'], KO:K01904
