Ipomoea triloba, 116016651, chalcone synthase DIV isoform X1  [EC], ['EC:2.3.1.74'], KO:K00660
Ipomoea triloba, 116018898, chalcone synthase E  [EC], ['EC:2.3.1.74'], KO:K00660
Ipomoea triloba, 116019218, chalcone synthase B  [EC], ['EC:2.3.1.74'], KO:K00660
Ipomoea triloba, 116020611, chalcone synthase A  [EC], ['EC:2.3.1.74'], KO:K00660
Ipomoea triloba, 116015093, chalcone synthase B-like  [EC], ['EC:2.3.1.74'], KO:K00660
Ipomoea triloba, 116019023, chalcone--flavonone isomerase  [EC], ['EC:5.5.1.6'], KO:K01859
Ipomoea triloba, 115999875, probable chalcone--flavonone isomerase 3  [EC], ['EC:5.5.1.6'], KO:K01859
Ipomoea triloba, 116011765, naringenin,2-oxoglutarate 3-dioxygenase-like  [EC], ['EC:1.14.11.9'], KO:K00475
Ipomoea triloba, 115998797, naringenin,2-oxoglutarate 3-dioxygenase-like  [EC], ['EC:1.14.11.9'], KO:K00475
Ipomoea triloba, 116002506, flavonol synthase/flavanone 3-hydroxylase-like  [EC], ['EC:1.14.20.6'], KO:K05278
Ipomoea triloba, 116011928, cytochrome P450 CYP73A100-like  [EC], ['EC:1.14.14.91'], KO:K00487
Ipomoea triloba, 116025306, trans-cinnamate 4-monooxygenase-like  [EC], ['EC:1.14.14.91'], KO:K00487
Ipomoea triloba, 116025383, trans-cinnamate 4-monooxygenase-like  [EC], ['EC:1.14.14.91'], KO:K00487
Ipomoea triloba, 116016607, trans-cinnamate 4-monooxygenase  [EC], ['EC:1.14.14.91'], KO:K00487
Ipomoea triloba, 116028975, flavonoid 3'-monooxygenase-like  [EC], ['EC:1.14.14.82'], KO:K05280
Ipomoea triloba, 116028976, flavonoid 3'-monooxygenase-like  [EC], ['EC:1.14.14.82'], KO:K05280
Ipomoea triloba, 115997971, dihydroflavonol 4-reductase-like  [EC], ['EC:1.1.1.219', 'EC:1.1.1.234'], KO:K13082
Ipomoea triloba, 115999112, dihydroflavonol 4-reductase-like  [EC], ['EC:1.1.1.219', 'EC:1.1.1.234'], KO:K13082
Ipomoea triloba, 115999903, dihydroflavonol 4-reductase-like  [EC], ['EC:1.1.1.219', 'EC:1.1.1.234'], KO:K13082
Ipomoea triloba, 116000893, leucoanthocyanidin dioxygenase  [EC], ['EC:1.14.20.4'], KO:K05277
Ipomoea triloba, 116001822, stemmadenine O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Ipomoea triloba, 116017083, (13S,14R)-1,13-dihydroxy-N-methylcanadine 13-O-acetyltransferase AT1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Ipomoea triloba, 116002627, stemmadenine O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Ipomoea triloba, 116017245, stemmadenine O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Ipomoea triloba, 116003571, agmatine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Ipomoea triloba, 116004209, agmatine coumaroyltransferase-2-like  [EC], ['EC:2.3.1.133'], KO:K13065
Ipomoea triloba, 116004977, omega-hydroxypalmitate O-feruloyl transferase-like isoform X1  [EC], ['EC:2.3.1.133'], KO:K13065
Ipomoea triloba, 116005234, agmatine coumaroyltransferase-2-like  [EC], ['EC:2.3.1.133'], KO:K13065
Ipomoea triloba, 116005303, agmatine coumaroyltransferase-2-like  [EC], ['EC:2.3.1.133'], KO:K13065
Ipomoea triloba, 116005334, agmatine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Ipomoea triloba, 116022581, stemmadenine O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Ipomoea triloba, 116010075, stemmadenine O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Ipomoea triloba, 116010446, shikimate O-hydroxycinnamoyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Ipomoea triloba, 115996094, (13S,14R)-1,13-dihydroxy-N-methylcanadine 13-O-acetyltransferase AT1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Ipomoea triloba, 115996098, stemmadenine O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Ipomoea triloba, 115996102, stemmadenine O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Ipomoea triloba, 115996103, stemmadenine O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Ipomoea triloba, 115996401, stemmadenine O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Ipomoea triloba, 115996402, stemmadenine O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Ipomoea triloba, 116011177, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Ipomoea triloba, 116024645, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Ipomoea triloba, 115997127, stemmadenine O-acetyltransferase-like isoform X1  [EC], ['EC:2.3.1.133'], KO:K13065
