Vitis riparia, 117933447, anthocyanidin 3-O-glucosyltransferase UFGT  [EC], ['EC:2.4.1.115'], KO:K12930
Vitis riparia, 117924467, anthocyanidin 3-O-glucosyltransferase 7-like  [EC], ['EC:2.4.1.115'], KO:K12930
Vitis riparia, 117924658, anthocyanidin 3-O-glucosyltransferase 7-like  [EC], ['EC:2.4.1.115'], KO:K12930
Vitis riparia, 117925321, anthocyanidin 3-O-glucosyltransferase 7-like  [EC], ['EC:2.4.1.115'], KO:K12930
Vitis riparia, 117925327, anthocyanidin 3-O-glucosyltransferase 7-like  [EC], ['EC:2.4.1.115'], KO:K12930
Vitis riparia, 117925990, anthocyanidin 3-O-glucosyltransferase 7-like  [EC], ['EC:2.4.1.115'], KO:K12930
Vitis riparia, 117916640, flavonol 3-O-glucosyltransferase F3GT2-like  [EC], ['EC:2.4.1.115'], KO:K12930
Vitis riparia, 117916949, anthocyanidin 3-O-glucosyltransferase 7-like  [EC], ['EC:2.4.1.115'], KO:K12930
Vitis riparia, 117909449, UDP-glycosyltransferase 79B6-like  [EC], ['EC:2.4.2.51'], KO:K17193
Vitis riparia, 117909677, UDP-glycosyltransferase 79B9-like  [EC], ['EC:2.4.2.51'], KO:K17193
Vitis riparia, 117909679, UDP-glycosyltransferase 79B9-like  [EC], ['EC:2.4.2.51'], KO:K17193
Vitis riparia, 117908577, UDP-glycosyltransferase 79B9-like  [EC], ['EC:2.4.2.51'], KO:K17193
Vitis riparia, 117908669, UDP-glycosyltransferase 79B9-like  [EC], ['EC:2.4.2.51'], KO:K17193
Vitis riparia, 117908674, UDP-glycosyltransferase 79B9-like  [EC], ['EC:2.4.2.51'], KO:K17193
