Nelumbo nucifera, 104591893, chalcone synthase  [EC], ['EC:2.3.1.74'], KO:K00660
Nelumbo nucifera, 104602223, chalcone synthase 1-like  [EC], ['EC:2.3.1.74'], KO:K00660
Nelumbo nucifera, 104602224, chalcone synthase G-like  [EC], ['EC:2.3.1.74'], KO:K00660
Nelumbo nucifera, 104602226, chalcone synthase-like  [EC], ['EC:2.3.1.74'], KO:K00660
Nelumbo nucifera, 104602160, CHS3; chalcone synthase 1  [EC], ['EC:2.3.1.74'], KO:K00660
Nelumbo nucifera, 104593770, probable chalcone--flavonone isomerase 3  [EC], ['EC:5.5.1.6'], KO:K01859
Nelumbo nucifera, 104599237, chalcone--flavonone isomerase 2-like  [EC], ['EC:5.5.1.6'], KO:K01859
Nelumbo nucifera, 104594676, chalcone--flavonone isomerase-like  [EC], ['EC:5.5.1.6'], KO:K01859
Nelumbo nucifera, 104594492, probable chalcone--flavonone isomerase 3  [EC], ['EC:5.5.1.6'], KO:K01859
Nelumbo nucifera, 104605233, naringenin,2-oxoglutarate 3-dioxygenase-like  [EC], ['EC:1.14.11.9'], KO:K00475
Nelumbo nucifera, 104605566, naringenin,2-oxoglutarate 3-dioxygenase-like  [EC], ['EC:1.14.11.9'], KO:K00475
Nelumbo nucifera, 104587834, flavanone 3-dioxygenase-like  [EC], ['EC:1.14.11.9'], KO:K00475
Nelumbo nucifera, 104588723, naringenin,2-oxoglutarate 3-dioxygenase-like  [EC], ['EC:1.14.11.9'], KO:K00475
Nelumbo nucifera, 104596714, flavonol synthase/flavanone 3-hydroxylase-like  [EC], ['EC:1.14.20.6'], KO:K05278
Nelumbo nucifera, 104608517, flavonol synthase/flavanone 3-hydroxylase  [EC], ['EC:1.14.20.6'], KO:K05278
Nelumbo nucifera, 104609672, flavonol synthase/flavanone 3-hydroxylase-like  [EC], ['EC:1.14.20.6'], KO:K05278
Nelumbo nucifera, 104609673, flavonol synthase/flavanone 3-hydroxylase-like  [EC], ['EC:1.14.20.6'], KO:K05278
Nelumbo nucifera, 104594470, trans-cinnamate 4-monooxygenase  [EC], ['EC:1.14.14.91'], KO:K00487
Nelumbo nucifera, 104601639, cytochrome P450 CYP73A100-like  [EC], ['EC:1.14.14.91'], KO:K00487
Nelumbo nucifera, 104593756, trans-cinnamate 4-monooxygenase  [EC], ['EC:1.14.14.91'], KO:K00487
Nelumbo nucifera, 104598992, flavonoid 3'-monooxygenase  [EC], ['EC:1.14.14.82'], KO:K05280
Nelumbo nucifera, 104597960, flavonoid 3'-monooxygenase-like  [EC], ['EC:1.14.14.82'], KO:K05280
Nelumbo nucifera, 104601829, dihydroflavonol 4-reductase-like  [EC], ['EC:1.1.1.219', 'EC:1.1.1.234'], KO:K13082
Nelumbo nucifera, 104590621, bifunctional dihydroflavonol 4-reductase/flavanone 4-reductase-like  [EC], ['EC:1.1.1.219', 'EC:1.1.1.234'], KO:K13082
