Capsella rubella, 17883168, probable chalcone--flavonone isomerase 3  [EC], ['EC:5.5.1.6'], KO:K01859
Capsella rubella, 17885140, chalcone--flavonone isomerase 1  [EC], ['EC:5.5.1.6'], KO:K01859
Capsella rubella, 17885266, naringenin,2-oxoglutarate 3-dioxygenase  [EC], ['EC:1.14.11.9'], KO:K00475
Capsella rubella, 17884061, flavonol synthase/flavanone 3-hydroxylase  [EC], ['EC:1.14.20.6'], KO:K05278
Capsella rubella, 17876394, probable flavonol synthase 6  [EC], ['EC:1.14.20.6'], KO:K05278
Capsella rubella, 17875365, flavonol synthase 3  [EC], ['EC:1.14.20.6'], KO:K05278
Capsella rubella, 17875649, probable flavonol synthase 6  [EC], ['EC:1.14.20.6'], KO:K05278
Capsella rubella, 17874951, probable flavonol synthase 5  [EC], ['EC:1.14.20.6'], KO:K05278
Capsella rubella, 17875062, probable flavonol synthase 5  [EC], ['EC:1.14.20.6'], KO:K05278
Capsella rubella, 17874978, probable flavonol synthase 5  [EC], ['EC:1.14.20.6'], KO:K05278
Capsella rubella, 17876899, putative inactive flavonol synthase 2  [EC], ['EC:1.14.20.6'], KO:K05278
Capsella rubella, 17876240, flavonol synthase 3  [EC], ['EC:1.14.20.6'], KO:K05278
Capsella rubella, 17887601, flavonol synthase/flavanone 3-hydroxylase  [EC], ['EC:1.14.20.6'], KO:K05278
Capsella rubella, 17876064, probable flavonol synthase 6  [EC], ['EC:1.14.20.6'], KO:K05278
Capsella rubella, 17888026, trans-cinnamate 4-monooxygenase  [EC], ['EC:1.14.14.91'], KO:K00487
Capsella rubella, 17881114, flavonoid 3'-monooxygenase  [EC], ['EC:1.14.14.82'], KO:K05280
Capsella rubella, 17877190, dihydroflavonol 4-reductase  [EC], ['EC:1.1.1.219', 'EC:1.1.1.234'], KO:K13082
Capsella rubella, 17880425, leucoanthocyanidin dioxygenase  [EC], ['EC:1.14.20.4'], KO:K05277
Capsella rubella, 17894009, anthocyanidin reductase  [EC], ['EC:1.3.1.77'], KO:K08695
Capsella rubella, 17899594, shikimate O-hydroxycinnamoyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Capsella rubella, 17891849, spermidine hydroxycinnamoyl transferase  [EC], ['EC:2.3.1.133'], KO:K13065
Capsella rubella, 17896925, shikimate O-hydroxycinnamoyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Capsella rubella, 17897083, shikimate O-hydroxycinnamoyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Capsella rubella, 17874809, shikimate O-hydroxycinnamoyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Capsella rubella, 17887658, cytochrome P450 98A3  [EC], ['EC:1.14.14.96'], KO:K09754
Capsella rubella, 17877842, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Capsella rubella, 17900298, putative caffeoyl-CoA O-methyltransferase At1g67980  [EC], ['EC:2.1.1.104'], KO:K00588
Capsella rubella, 17897946, putative caffeoyl-CoA O-methyltransferase At1g67980  [EC], ['EC:2.1.1.104'], KO:K00588
Capsella rubella, 17877590, caffeoyl-CoA O-methyltransferase 1  [EC], ['EC:2.1.1.104'], KO:K00588
Capsella rubella, 17894285, LOW QUALITY PROTEIN: tapetum-specific methyltransferase 1  [EC], ['EC:2.1.1.104'], KO:K00588
