Macadamia integrifolia, 122075718, chalcone synthase-like  [EC], ['EC:2.3.1.74'], KO:K00660
Macadamia integrifolia, 122076004, chalcone synthase 2-like  [EC], ['EC:2.3.1.74'], KO:K00660
Macadamia integrifolia, 122088324, chalcone synthase 2-like  [EC], ['EC:2.3.1.74'], KO:K00660
Macadamia integrifolia, 122061185, chalcone synthase-like  [EC], ['EC:2.3.1.74'], KO:K00660
Macadamia integrifolia, 122061186, chalcone synthase-like  [EC], ['EC:2.3.1.74'], KO:K00660
Macadamia integrifolia, 122090001, chalcone synthase-like  [EC], ['EC:2.3.1.74'], KO:K00660
Macadamia integrifolia, 122077908, chalcone synthase 2-like  [EC], ['EC:2.3.1.74'], KO:K00660
Macadamia integrifolia, 122090911, chalcone synthase-like  [EC], ['EC:2.3.1.74'], KO:K00660
Macadamia integrifolia, 122090912, chalcone synthase 1-like  [EC], ['EC:2.3.1.74'], KO:K00660
Macadamia integrifolia, 122090913, chalcone synthase-like  [EC], ['EC:2.3.1.74'], KO:K00660
Macadamia integrifolia, 122090914, chalcone synthase  [EC], ['EC:2.3.1.74'], KO:K00660
Macadamia integrifolia, 122078755, chalcone synthase 2-like  [EC], ['EC:2.3.1.74'], KO:K00660
Macadamia integrifolia, 122078756, chalcone synthase 2-like  [EC], ['EC:2.3.1.74'], KO:K00660
Macadamia integrifolia, 122091369, chalcone synthase-like  [EC], ['EC:2.3.1.74'], KO:K00660
Macadamia integrifolia, 122091370, chalcone synthase 2-like  [EC], ['EC:2.3.1.74'], KO:K00660
Macadamia integrifolia, 122091808, chalcone synthase 2-like  [EC], ['EC:2.3.1.74'], KO:K00660
Macadamia integrifolia, 122091809, chalcone synthase 2-like  [EC], ['EC:2.3.1.74'], KO:K00660
Macadamia integrifolia, 122091810, chalcone synthase-like  [EC], ['EC:2.3.1.74'], KO:K00660
Macadamia integrifolia, 122091811, chalcone synthase-like  [EC], ['EC:2.3.1.74'], KO:K00660
Macadamia integrifolia, 122091812, chalcone synthase-like  [EC], ['EC:2.3.1.74'], KO:K00660
Macadamia integrifolia, 122091935, chalcone synthase-like  [EC], ['EC:2.3.1.74'], KO:K00660
Macadamia integrifolia, 122065145, chalcone synthase 2-like  [EC], ['EC:2.3.1.74'], KO:K00660
Macadamia integrifolia, 122065149, chalcone synthase 2-like  [EC], ['EC:2.3.1.74'], KO:K00660
Macadamia integrifolia, 122065150, chalcone synthase 2-like  [EC], ['EC:2.3.1.74'], KO:K00660
Macadamia integrifolia, 122065151, chalcone synthase 2-like  [EC], ['EC:2.3.1.74'], KO:K00660
Macadamia integrifolia, 122092207, chalcone synthase 2-like  [EC], ['EC:2.3.1.74'], KO:K00660
Macadamia integrifolia, 122066318, chalcone synthase-like  [EC], ['EC:2.3.1.74'], KO:K00660
Macadamia integrifolia, 122066378, chalcone synthase 2-like  [EC], ['EC:2.3.1.74'], KO:K00660
Macadamia integrifolia, 122066379, chalcone synthase 2-like  [EC], ['EC:2.3.1.74'], KO:K00660
Macadamia integrifolia, 122066380, chalcone synthase-like  [EC], ['EC:2.3.1.74'], KO:K00660
Macadamia integrifolia, 122068017, chalcone synthase 2-like  [EC], ['EC:2.3.1.74'], KO:K00660
Macadamia integrifolia, 122068042, chalcone synthase 2-like  [EC], ['EC:2.3.1.74'], KO:K00660
Macadamia integrifolia, 122070444, chalcone synthase-like  [EC], ['EC:2.3.1.74'], KO:K00660
Macadamia integrifolia, 122070445, chalcone synthase 2-like  [EC], ['EC:2.3.1.74'], KO:K00660
Macadamia integrifolia, 122071007, chalcone synthase 2-like  [EC], ['EC:2.3.1.74'], KO:K00660
Macadamia integrifolia, 122084243, chalcone synthase-like  [EC], ['EC:2.3.1.74'], KO:K00660
Macadamia integrifolia, 122072606, chalcone synthase-like  [EC], ['EC:2.3.1.74'], KO:K00660
Macadamia integrifolia, 122080712, chalcone isomerase-like protein 2  [EC], ['EC:5.5.1.6'], KO:K01859
Macadamia integrifolia, 122057215, chalcone--flavanone isomerase-like isoform X1  [EC], ['EC:5.5.1.6'], KO:K01859
Macadamia integrifolia, 122084606, naringenin,2-oxoglutarate 3-dioxygenase  [EC], ['EC:1.14.11.9'], KO:K00475
Macadamia integrifolia, 122072758, naringenin,2-oxoglutarate 3-dioxygenase  [EC], ['EC:1.14.11.9'], KO:K00475
Macadamia integrifolia, 122073762, naringenin,2-oxoglutarate 3-dioxygenase-like  [EC], ['EC:1.14.11.9'], KO:K00475
Macadamia integrifolia, 122073763, naringenin,2-oxoglutarate 3-dioxygenase-like  [EC], ['EC:1.14.11.9'], KO:K00475
Macadamia integrifolia, 122076036, flavonol synthase/flavanone 3-hydroxylase-like  [EC], ['EC:1.14.20.6'], KO:K05278
Macadamia integrifolia, 122076177, flavonol synthase/flavanone 3-hydroxylase-like  [EC], ['EC:1.14.20.6'], KO:K05278
Macadamia integrifolia, 122068147, flavonol synthase/flavanone 3-hydroxylase-like  [EC], ['EC:1.14.20.6'], KO:K05278
Macadamia integrifolia, 122072145, flavonol synthase/flavanone 3-hydroxylase  [EC], ['EC:1.14.20.6'], KO:K05278
Macadamia integrifolia, 122075321, flavonol synthase/flavanone 3-hydroxylase-like isoform X1  [EC], ['EC:1.14.20.6'], KO:K05278
Macadamia integrifolia, 122079373, trans-cinnamate 4-monooxygenase  [EC], ['EC:1.14.14.91'], KO:K00487
Macadamia integrifolia, 122069001, trans-cinnamate 4-monooxygenase-like  [EC], ['EC:1.14.14.91'], KO:K00487
Macadamia integrifolia, 122075299, flavonoid 3'-monooxygenase-like  [EC], ['EC:1.14.14.82'], KO:K05280
Macadamia integrifolia, 122076687, bifunctional dihydroflavonol 4-reductase/flavanone 4-reductase-like isoform X1  [EC], ['EC:1.1.1.219', 'EC:1.1.1.234'], KO:K13082
Macadamia integrifolia, 122094122, dihydroflavonol 4-reductase-like  [EC], ['EC:1.1.1.219', 'EC:1.1.1.234'], KO:K13082
Macadamia integrifolia, 122070773, dihydroflavonol 4-reductase-like isoform X1  [EC], ['EC:1.1.1.219', 'EC:1.1.1.234'], KO:K13082
Macadamia integrifolia, 122070775, dihydroflavonol 4-reductase-like isoform X1  [EC], ['EC:1.1.1.219', 'EC:1.1.1.234'], KO:K13082
Macadamia integrifolia, 122086119, dihydroflavonol 4-reductase-like  [EC], ['EC:1.1.1.219', 'EC:1.1.1.234'], KO:K13082
Macadamia integrifolia, 122086459, dihydroflavonol 4-reductase-like isoform X1  [EC], ['EC:1.1.1.219', 'EC:1.1.1.234'], KO:K13082
Macadamia integrifolia, 122075392, dihydroflavonol 4-reductase-like  [EC], ['EC:1.1.1.219', 'EC:1.1.1.234'], KO:K13082
Macadamia integrifolia, 122063430, flavonoid 3',5'-hydroxylase 2-like  [EC], ['EC:1.14.14.81'], KO:K13083
Macadamia integrifolia, 122083715, flavonoid 3',5'-hydroxylase 2-like  [EC], ['EC:1.14.14.81'], KO:K13083
