Populus alba, 118052332, phenylalanine ammonia-lyase G4  [EC], ['EC:4.3.1.24'], KO:K10775
Populus alba, 118045919, phenylalanine ammonia-lyase  [EC], ['EC:4.3.1.24'], KO:K10775
Populus alba, 118048308, phenylalanine ammonia-lyase  [EC], ['EC:4.3.1.24'], KO:K10775
Populus alba, 118060001, phenylalanine ammonia-lyase G1  [EC], ['EC:4.3.1.24'], KO:K10775
Populus alba, 118060002, phenylalanine ammonia-lyase G2B  [EC], ['EC:4.3.1.24'], KO:K10775
Populus alba, 118042637, cytochrome P450 CYP73A100-like  [EC], ['EC:1.14.14.91'], KO:K00487
Populus alba, 118054034, trans-cinnamate 4-monooxygenase  [EC], ['EC:1.14.14.91'], KO:K00487
Populus alba, 118044218, trans-cinnamate 4-monooxygenase-like  [EC], ['EC:1.14.14.91'], KO:K00487
Populus alba, 118062687, 4-coumarate--CoA ligase 2-like  [EC], ['EC:6.2.1.12'], KO:K01904
Populus alba, 118042928, 4-coumarate--CoA ligase 2  [EC], ['EC:6.2.1.12'], KO:K01904
Populus alba, 118032475, 4-coumarate--CoA ligase-like  [EC], ['EC:6.2.1.12'], KO:K01904
Populus alba, 118053957, 4-coumarate--CoA ligase 1-like  [EC], ['EC:6.2.1.12'], KO:K01904
Populus alba, 118054715, 4-coumarate--CoA ligase 1-like  [EC], ['EC:6.2.1.12'], KO:K01904
Populus alba, 118044726, 4-coumarate--CoA ligase-like 9  [EC], ['EC:6.2.1.12'], KO:K01904
Populus alba, 118044727, 4-coumarate--CoA ligase-like 9  [EC], ['EC:6.2.1.12'], KO:K01904
Populus alba, 118044728, 4-coumarate--CoA ligase-like 9  [EC], ['EC:6.2.1.12'], KO:K01904
Populus alba, 118055998, 4-coumarate--CoA ligase-like 7  [EC], ['EC:6.2.1.12'], KO:K01904
Populus alba, 118057596, 4-coumarate--CoA ligase-like 9  [EC], ['EC:6.2.1.12'], KO:K01904
Populus alba, 118036342, 4-coumarate--CoA ligase 1-like  [EC], ['EC:6.2.1.12'], KO:K01904
Populus alba, 118061083, 4-coumarate--CoA ligase-like 1  [EC], ['EC:6.2.1.12'], KO:K01904
Populus alba, 118028670, 4-coumarate--CoA ligase-like 6 isoform X1  [EC], ['EC:6.2.1.12'], KO:K01904
