Nicotiana sylvestris, 104218372, chalcone synthase G-like  [EC], ['EC:2.3.1.74'], KO:K00660
Nicotiana sylvestris, 104216563, chalcone synthase A  [EC], ['EC:2.3.1.74'], KO:K00660
Nicotiana sylvestris, 104224903, chalcone synthase 2  [EC], ['EC:2.3.1.74'], KO:K00660
Nicotiana sylvestris, 104235448, chalcone synthase G-like  [EC], ['EC:2.3.1.74'], KO:K00660
Nicotiana sylvestris, 104249627, probable chalcone--flavonone isomerase 3  [EC], ['EC:5.5.1.6'], KO:K01859
Nicotiana sylvestris, 104249385, chalcone--flavonone isomerase  [EC], ['EC:5.5.1.6'], KO:K01859
Nicotiana sylvestris, 104217085, naringenin,2-oxoglutarate 3-dioxygenase  [EC], ['EC:1.14.11.9'], KO:K00475
Nicotiana sylvestris, 104236078, flavonol synthase/flavanone 3-hydroxylase  [EC], ['EC:1.14.20.6'], KO:K05278
Nicotiana sylvestris, 104217798, trans-cinnamate 4-monooxygenase-like  [EC], ['EC:1.14.14.91'], KO:K00487
Nicotiana sylvestris, 104228366, cytochrome P450 CYP73A100-like  [EC], ['EC:1.14.14.91'], KO:K00487
Nicotiana sylvestris, 104244410, trans-cinnamate 4-monooxygenase  [EC], ['EC:1.14.14.91'], KO:K00487
Nicotiana sylvestris, 104236297, flavonoid 3'-monooxygenase  [EC], ['EC:1.14.14.82'], KO:K05280
Nicotiana sylvestris, 104221951, LOW QUALITY PROTEIN: flavonoid 3'-monooxygenase-like  [EC], ['EC:1.14.14.82'], KO:K05280
Nicotiana sylvestris, 104212411, dihydroflavonol-4-reductase  [EC], ['EC:1.1.1.219', 'EC:1.1.1.234'], KO:K13082
Nicotiana sylvestris, 104236486, flavonoid 3',5'-hydroxylase 1  [EC], ['EC:1.14.14.81'], KO:K13083
Nicotiana sylvestris, 104225943, leucoanthocyanidin dioxygenase  [EC], ['EC:1.14.20.4'], KO:K05277
Nicotiana sylvestris, 104233566, anthocyanidin reductase  [EC], ['EC:1.3.1.77'], KO:K08695
Nicotiana sylvestris, 104222673, leucoanthocyanidin reductase-like isoform X1  [EC], ['EC:1.17.1.3'], KO:K13081
Nicotiana sylvestris, 104246474, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Nicotiana sylvestris, 104237663, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Nicotiana sylvestris, 104244757, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Nicotiana sylvestris, 104238103, deacetylvindoline O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Nicotiana sylvestris, 104237067, shikimate O-hydroxycinnamoyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Nicotiana sylvestris, 104229805, agmatine coumaroyltransferase-2-like  [EC], ['EC:2.3.1.133'], KO:K13065
Nicotiana sylvestris, 104220132, agmatine coumaroyltransferase-2-like  [EC], ['EC:2.3.1.133'], KO:K13065
Nicotiana sylvestris, 104228407, agmatine coumaroyltransferase-2-like  [EC], ['EC:2.3.1.133'], KO:K13065
Nicotiana sylvestris, 104221431, deacetylvindoline O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Nicotiana sylvestris, 104223692, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
