Gossypium hirsutum, 107934821, chalcone synthase 2-like  [EC], ['EC:2.3.1.74'], KO:K00660
Gossypium hirsutum, 107957085, chalcone synthase 1  [EC], ['EC:2.3.1.74'], KO:K00660
Gossypium hirsutum, 107912380, chalcone synthase 2-like  [EC], ['EC:2.3.1.74'], KO:K00660
Gossypium hirsutum, 107888447, chalcone synthase  [EC], ['EC:2.3.1.74'], KO:K00660
Gossypium hirsutum, 107888463, chalcone synthase 2  [EC], ['EC:2.3.1.74'], KO:K00660
Gossypium hirsutum, 107915293, chalcone synthase-like  [EC], ['EC:2.3.1.74'], KO:K00660
Gossypium hirsutum, 107914136, chalcone synthase 2-like  [EC], ['EC:2.3.1.74'], KO:K00660
Gossypium hirsutum, 107897841, chalcone synthase 1-like  [EC], ['EC:2.3.1.74'], KO:K00660
Gossypium hirsutum, 107897842, chalcone synthase 1-like  [EC], ['EC:2.3.1.74'], KO:K00660
Gossypium hirsutum, 107927759, chalcone synthase 1  [EC], ['EC:2.3.1.74'], KO:K00660
Gossypium hirsutum, 107914891, chalcone synthase 1-like  [EC], ['EC:2.3.1.74'], KO:K00660
Gossypium hirsutum, 107914895, chalcone synthase 1-like  [EC], ['EC:2.3.1.74'], KO:K00660
Gossypium hirsutum, 107897115, chalcone synthase-like  [EC], ['EC:2.3.1.74'], KO:K00660
Gossypium hirsutum, 107914126, chalcone synthase  [EC], ['EC:2.3.1.74'], KO:K00660
Gossypium hirsutum, 107934810, chalcone synthase 2-like  [EC], ['EC:2.3.1.74'], KO:K00660
Gossypium hirsutum, 107962221, probable chalcone--flavonone isomerase 3  [EC], ['EC:5.5.1.6'], KO:K01859
Gossypium hirsutum, 107931587, probable chalcone--flavonone isomerase 3  [EC], ['EC:5.5.1.6'], KO:K01859
Gossypium hirsutum, 107886193, chalcone--flavonone isomerase-like  [EC], ['EC:5.5.1.6'], KO:K01859
Gossypium hirsutum, 107940815, chalcone--flavonone isomerase  [EC], ['EC:5.5.1.6'], KO:K01859
Gossypium hirsutum, 107945804, naringenin,2-oxoglutarate 3-dioxygenase  [EC], ['EC:1.14.11.9'], KO:K00475
Gossypium hirsutum, 107912810, naringenin,2-oxoglutarate 3-dioxygenase isoform X1  [EC], ['EC:1.14.11.9'], KO:K00475
Gossypium hirsutum, 107912992, naringenin,2-oxoglutarate 3-dioxygenase  [EC], ['EC:1.14.11.9'], KO:K00475
Gossypium hirsutum, 121202986, naringenin,2-oxoglutarate 3-dioxygenase-like  [EC], ['EC:1.14.11.9'], KO:K00475
Gossypium hirsutum, 107904987, flavonol synthase/flavanone 3-hydroxylase  [EC], ['EC:1.14.20.6'], KO:K05278
Gossypium hirsutum, 107940452, flavonol synthase/flavanone 3-hydroxylase  [EC], ['EC:1.14.20.6'], KO:K05278
Gossypium hirsutum, 107940456, flavonol synthase/flavanone 3-hydroxylase-like  [EC], ['EC:1.14.20.6'], KO:K05278
Gossypium hirsutum, 107959505, flavonol synthase/flavanone 3-hydroxylase isoform X1  [EC], ['EC:1.14.20.6'], KO:K05278
Gossypium hirsutum, 107959507, flavonol synthase/flavanone 3-hydroxylase-like  [EC], ['EC:1.14.20.6'], KO:K05278
Gossypium hirsutum, 107923058, flavonol synthase/flavanone 3-hydroxylase  [EC], ['EC:1.14.20.6'], KO:K05278
Gossypium hirsutum, 107896573, trans-cinnamate 4-monooxygenase  [EC], ['EC:1.14.14.91'], KO:K00487
Gossypium hirsutum, 107916264, trans-cinnamate 4-monooxygenase-like  [EC], ['EC:1.14.14.91'], KO:K00487
Gossypium hirsutum, 107913579, LOW QUALITY PROTEIN: cytochrome P450 CYP73A100-like  [EC], ['EC:1.14.14.91'], KO:K00487
