Dendrobium catenatum, 110115785, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Dendrobium catenatum, 110113904, phenylalanine ammonia-lyase  [EC], ['EC:4.3.1.24'], KO:K10775
Dendrobium catenatum, 110101902, trans-cinnamate 4-monooxygenase-like  [EC], ['EC:1.14.14.91'], KO:K00487
Dendrobium catenatum, 110113575, trans-cinnamate 4-monooxygenase  [EC], ['EC:1.14.14.91'], KO:K00487
Dendrobium catenatum, 110110432, 4-coumarate--CoA ligase-like 6  [EC], ['EC:6.2.1.12'], KO:K01904
Dendrobium catenatum, 110116024, 4-coumarate--CoA ligase 1-like  [EC], ['EC:6.2.1.12'], KO:K01904
Dendrobium catenatum, 110097226, probable 4-coumarate--CoA ligase 2 isoform X2  [EC], ['EC:6.2.1.12'], KO:K01904
Dendrobium catenatum, 110092440, 4-coumarate--CoA ligase-like 1  [EC], ['EC:6.2.1.12'], KO:K01904
Dendrobium catenatum, 110096296, 4-coumarate--CoA ligase-like 7  [EC], ['EC:6.2.1.12'], KO:K01904
Dendrobium catenatum, 110109932, 4-coumarate--CoA ligase  [EC], ['EC:6.2.1.12'], KO:K01904
Dendrobium catenatum, 110116261, probable 4-coumarate--CoA ligase 2  [EC], ['EC:6.2.1.12'], KO:K01904
Dendrobium catenatum, 110115146, 4-coumarate--CoA ligase-like 6  [EC], ['EC:6.2.1.12'], KO:K01904
Dendrobium catenatum, 110098614, 4-coumarate--CoA ligase-like 6 isoform X2  [EC], ['EC:6.2.1.12'], KO:K01904
Dendrobium catenatum, 110114390, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Dendrobium catenatum, 110093394, putrescine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Dendrobium catenatum, 110093422, putrescine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Dendrobium catenatum, 110093424, putrescine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Dendrobium catenatum, 110107310, hydroxycinnamoyltransferase 1  [EC], ['EC:2.3.1.133'], KO:K13065
