Tarenaya hassleriana, 104801109, chalcone synthase-like  [EC], ['EC:2.3.1.74'], KO:K00660
Tarenaya hassleriana, 104803980, chalcone synthase 1-like  [EC], ['EC:2.3.1.74'], KO:K00660
Tarenaya hassleriana, 104801099, chalcone synthase-like  [EC], ['EC:2.3.1.74'], KO:K00660
Tarenaya hassleriana, 104822426, chalcone synthase  [EC], ['EC:2.3.1.74'], KO:K00660
Tarenaya hassleriana, 104825165, chalcone--flavonone isomerase-like  [EC], ['EC:5.5.1.6'], KO:K01859
Tarenaya hassleriana, 104816513, probable chalcone--flavonone isomerase 3  [EC], ['EC:5.5.1.6'], KO:K01859
Tarenaya hassleriana, 104821327, naringenin,2-oxoglutarate 3-dioxygenase  [EC], ['EC:1.14.11.9'], KO:K00475
Tarenaya hassleriana, 104819356, flavonol synthase/flavanone 3-hydroxylase  [EC], ['EC:1.14.20.6'], KO:K05278
Tarenaya hassleriana, 104800793, trans-cinnamate 4-monooxygenase-like  [EC], ['EC:1.14.14.91'], KO:K00487
Tarenaya hassleriana, 104815827, trans-cinnamate 4-monooxygenase  [EC], ['EC:1.14.14.91'], KO:K00487
Tarenaya hassleriana, 104808912, cytochrome P450 CYP73A100-like  [EC], ['EC:1.14.14.91'], KO:K00487
Tarenaya hassleriana, 104801243, flavonoid 3'-monooxygenase isoform X1  [EC], ['EC:1.14.14.82'], KO:K05280
Tarenaya hassleriana, 104801920, dihydroflavonol 4-reductase  [EC], ['EC:1.1.1.219', 'EC:1.1.1.234'], KO:K13082
Tarenaya hassleriana, 104813007, leucoanthocyanidin dioxygenase-like isoform X2  [EC], ['EC:1.14.20.4'], KO:K05277
Tarenaya hassleriana, 104809521, anthocyanidin reductase  [EC], ['EC:1.3.1.77'], KO:K08695
Tarenaya hassleriana, 104804487, shikimate O-hydroxycinnamoyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Tarenaya hassleriana, 104809269, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Tarenaya hassleriana, 104809270, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Tarenaya hassleriana, 104812535, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Tarenaya hassleriana, 104817818, shikimate O-hydroxycinnamoyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Tarenaya hassleriana, 104819144, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Tarenaya hassleriana, 104819970, spermidine hydroxycinnamoyl transferase  [EC], ['EC:2.3.1.133'], KO:K13065
Tarenaya hassleriana, 104814627, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Tarenaya hassleriana, 104803227, cytochrome P450 98A3  [EC], ['EC:1.14.14.96'], KO:K09754
Tarenaya hassleriana, 104804378, caffeoyl-CoA O-methyltransferase 5  [EC], ['EC:2.1.1.104'], KO:K00588
Tarenaya hassleriana, 104807886, putative caffeoyl-CoA O-methyltransferase At1g67980 isoform X1  [EC], ['EC:2.1.1.104'], KO:K00588
Tarenaya hassleriana, 104811735, probable caffeoyl-CoA O-methyltransferase At4g26220 isoform X1  [EC], ['EC:2.1.1.104'], KO:K00588
Tarenaya hassleriana, 104819570, caffeoyl-CoA O-methyltransferase 1  [EC], ['EC:2.1.1.104'], KO:K00588
Tarenaya hassleriana, 104825058, putative caffeoyl-CoA O-methyltransferase At1g67980  [EC], ['EC:2.1.1.104'], KO:K00588
