Abrus precatorius, 113867610, phenolic glucoside malonyltransferase 1-like  [EC], ['EC:2.3.1.115'], KO:K13264
Abrus precatorius, 113854599, LOW QUALITY PROTEIN: flavonoid 3',5'-hydroxylase 1-like  [EC], ['EC:1.14.14.81'], KO:K13083
Abrus precatorius, 113856260, flavonoid 3',5'-hydroxylase 2-like  [EC], ['EC:1.14.14.81'], KO:K13083
Abrus precatorius, 113848078, flavonoid 3'-monooxygenase-like  [EC], ['EC:1.14.14.82'], KO:K05280
Abrus precatorius, 113848080, flavonoid 3'-monooxygenase-like  [EC], ['EC:1.14.14.82'], KO:K05280
Abrus precatorius, 113848081, flavonoid 3'-monooxygenase-like  [EC], ['EC:1.14.14.82'], KO:K05280
Abrus precatorius, 113852790, flavonoid 3'-monooxygenase-like  [EC], ['EC:1.14.14.82'], KO:K05280
Abrus precatorius, 113846100, flavonoid 3'-monooxygenase-like isoform X1  [EC], ['EC:1.14.14.82'], KO:K05280
Abrus precatorius, 113853878, UDP-glycosyltransferase 79B30-like  [EC], ['EC:2.4.1.239', 'EC:2.4.1.-'], KO:K22794
Abrus precatorius, 113859147, UDP-glycosyltransferase 79B30-like  [EC], ['EC:2.4.1.239', 'EC:2.4.1.-'], KO:K22794
Abrus precatorius, 113859229, UDP-glycosyltransferase 79B30-like  [EC], ['EC:2.4.1.239', 'EC:2.4.1.-'], KO:K22794
Abrus precatorius, 113852629, anthocyanidin 3-O-glucoside 2''-O-glucosyltransferase-like  [EC], ['EC:2.4.1.239', 'EC:2.4.1.-'], KO:K22794
Abrus precatorius, 113853875, anthocyanidin 3-O-glucoside 2''-O-glucosyltransferase-like  [EC], ['EC:2.4.1.239', 'EC:2.4.1.-'], KO:K22794
Abrus precatorius, 113854136, UDP-glycosyltransferase 79B30-like  [EC], ['EC:2.4.1.239', 'EC:2.4.1.-'], KO:K22794
Abrus precatorius, 113854472, UDP-glycosyltransferase 79B30-like  [EC], ['EC:2.4.1.239', 'EC:2.4.1.-'], KO:K22794
Abrus precatorius, 113854681, UDP-glycosyltransferase 79B30-like  [EC], ['EC:2.4.1.239', 'EC:2.4.1.-'], KO:K22794
Abrus precatorius, 113856368, anthocyanidin 3-O-glucoside 2''-O-glucosyltransferase-like  [EC], ['EC:2.4.1.239', 'EC:2.4.1.-'], KO:K22794
Abrus precatorius, 113873325, LOW QUALITY PROTEIN: UDP-glycosyltransferase 79A6-like  [EC], ['EC:2.4.1.159'], KO:K22772
