Mangifera indica, 123225153, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Mangifera indica, 123201898, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Mangifera indica, 123192215, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Mangifera indica, 123228411, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Mangifera indica, 123193566, phenylalanine ammonia-lyase  [EC], ['EC:4.3.1.24'], KO:K10775
Mangifera indica, 123206701, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Mangifera indica, 123206728, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Mangifera indica, 123209119, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Mangifera indica, 123224083, phenylalanine ammonia-lyase  [EC], ['EC:4.3.1.24'], KO:K10775
Mangifera indica, 123224091, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Mangifera indica, 123211848, trans-cinnamate 4-monooxygenase  [EC], ['EC:1.14.14.91'], KO:K00487
Mangifera indica, 123200117, cytochrome P450 CYP73A100-like  [EC], ['EC:1.14.14.91'], KO:K00487
Mangifera indica, 123213555, 4-coumarate--CoA ligase-like 1  [EC], ['EC:6.2.1.12'], KO:K01904
Mangifera indica, 123204716, 4-coumarate--CoA ligase 2-like  [EC], ['EC:6.2.1.12'], KO:K01904
Mangifera indica, 123205016, 4-coumarate--CoA ligase 2-like  [EC], ['EC:6.2.1.12'], KO:K01904
Mangifera indica, 123194030, 4-coumarate--CoA ligase CCL1-like  [EC], ['EC:6.2.1.12'], KO:K01904
Mangifera indica, 123195564, 4-coumarate--CoA ligase-like 6  [EC], ['EC:6.2.1.12'], KO:K01904
Mangifera indica, 123208859, probable CoA ligase CCL7  [EC], ['EC:6.2.1.12'], KO:K01904
Mangifera indica, 123219449, 4-coumarate--CoA ligase 1-like  [EC], ['EC:6.2.1.12'], KO:K01904
Mangifera indica, 123209447, probable CoA ligase CCL7  [EC], ['EC:6.2.1.12'], KO:K01904
Mangifera indica, 123211264, 4-coumarate--CoA ligase 2-like  [EC], ['EC:6.2.1.12'], KO:K01904
