Arabidopsis thaliana, AT3G10340, PAL4; phenylalanine ammonia-lyase 4  [EC], ['EC:4.3.1.24'], KO:K10775
Arabidopsis thaliana, AT3G53260, PAL2; phenylalanine ammonia-lyase 2  [EC], ['EC:4.3.1.24'], KO:K10775
Arabidopsis thaliana, AT2G37040, PAL1; PHE ammonia lyase 1  [EC], ['EC:4.3.1.24'], KO:K10775
Arabidopsis thaliana, AT5G04230, PAL3; phenyl alanine ammonia-lyase 3  [EC], ['EC:4.3.1.24'], KO:K10775
Arabidopsis thaliana, AT2G30490, C4H; cinnamate-4-hydroxylase  [EC], ['EC:1.14.14.91'], KO:K00487
Arabidopsis thaliana, AT4G05160, AMP-dependent synthetase and ligase family protein  [EC], ['EC:6.2.1.12'], KO:K01904
Arabidopsis thaliana, AT1G65060, 4CL3; 4-coumarate:CoA ligase 3  [EC], ['EC:6.2.1.12'], KO:K01904
Arabidopsis thaliana, AT1G62940, ACOS5; acyl-CoA synthetase 5  [EC], ['EC:6.2.1.12'], KO:K01904
Arabidopsis thaliana, AT3G21240, 4CL2; 4-coumarate:CoA ligase 2  [EC], ['EC:6.2.1.12'], KO:K01904
Arabidopsis thaliana, AT1G51680, 4CL1; 4-coumarate:CoA ligase 1  [EC], ['EC:6.2.1.12'], KO:K01904
Arabidopsis thaliana, AT3G21230, 4CL5; 4-coumarate:CoA ligase 5  [EC], ['EC:6.2.1.12'], KO:K01904
Arabidopsis thaliana, AT4G19010, AMP-dependent synthetase and ligase family protein  [EC], ['EC:6.2.1.12'], KO:K01904
Arabidopsis thaliana, AT5G63380, AMP-dependent synthetase and ligase family protein  [EC], ['EC:6.2.1.12'], KO:K01904
Arabidopsis thaliana, AT5G48930, HCT; hydroxycinnamoyl-CoA shikimate/quinate hydroxycinnamoyl transferase  [EC], ['EC:2.3.1.133'], KO:K13065
Arabidopsis thaliana, AT2G19070, SHT; spermidine hydroxycinnamoyl transferase  [EC], ['EC:2.3.1.133'], KO:K13065
Arabidopsis thaliana, AT5G57840, HXXXD-type acyl-transferase family protein  [EC], ['EC:2.3.1.133'], KO:K13065
Arabidopsis thaliana, AT2G40890, CYP98A3; cytochrome P450, family 98, subfamily A, polypeptide 3  [EC], ['EC:1.14.14.96'], KO:K09754
Arabidopsis thaliana, AT1G52760, LysoPL2; lysophospholipase 2  [EC], ['EC:3.1.1.-'], KO:K18368
Arabidopsis thaliana, AT2G47630, alpha/beta-Hydrolases superfamily protein  [EC], ['EC:3.1.1.-'], KO:K18368
Arabidopsis thaliana, AT2G39420, alpha/beta-Hydrolases superfamily protein  [EC], ['EC:3.1.1.-'], KO:K18368
Arabidopsis thaliana, AT5G16120, alpha/beta-Hydrolases superfamily protein  [EC], ['EC:3.1.1.-'], KO:K18368
Arabidopsis thaliana, AT3G62860, alpha/beta-Hydrolases superfamily protein  [EC], ['EC:3.1.1.-'], KO:K18368
Arabidopsis thaliana, AT1G77420, alpha/beta-Hydrolases superfamily protein  [EC], ['EC:3.1.1.-'], KO:K18368
Arabidopsis thaliana, AT3G55180, alpha/beta-Hydrolases superfamily protein  [EC], ['EC:3.1.1.-'], KO:K18368
Arabidopsis thaliana, AT4G34050, CCoAOMT1; S-adenosyl-L-methionine-dependent methyltransferases superfamily protein  [EC], ['EC:2.1.1.104'], KO:K00588
Arabidopsis thaliana, AT1G24735, S-adenosyl-L-methionine-dependent methyltransferases superfamily protein  [EC], ['EC:2.1.1.104'], KO:K00588
Arabidopsis thaliana, AT1G67980, CCOAMT; caffeoyl-CoA 3-O-methyltransferase  [EC], ['EC:2.1.1.104'], KO:K00588
