Vitis riparia, 117927910, cytochrome P450 81Q32-like  [EC], ['EC:1.14.14.90', 'EC:1.14.14.89'], KO:K13260
Vitis riparia, 117917263, cytochrome P450 81Q32-like  [EC], ['EC:1.14.14.90', 'EC:1.14.14.89'], KO:K13260
Vitis riparia, 117917285, cytochrome P450 81Q32-like  [EC], ['EC:1.14.14.90', 'EC:1.14.14.89'], KO:K13260
Vitis riparia, 117917291, cytochrome P450 81Q32-like  [EC], ['EC:1.14.14.90', 'EC:1.14.14.89'], KO:K13260
Vitis riparia, 117917293, cytochrome P450 81Q32-like  [EC], ['EC:1.14.14.90', 'EC:1.14.14.89'], KO:K13260
Vitis riparia, 117917766, cytochrome P450 81Q32-like  [EC], ['EC:1.14.14.90', 'EC:1.14.14.89'], KO:K13260
Vitis riparia, 117917770, cytochrome P450 81Q32-like  [EC], ['EC:1.14.14.90', 'EC:1.14.14.89'], KO:K13260
Vitis riparia, 117917771, cytochrome P450 81Q32-like  [EC], ['EC:1.14.14.90', 'EC:1.14.14.89'], KO:K13260
Vitis riparia, 117919082, cytochrome P450 81Q32-like  [EC], ['EC:1.14.14.90', 'EC:1.14.14.89'], KO:K13260
Vitis riparia, 117919083, cytochrome P450 81Q32-like  [EC], ['EC:1.14.14.90', 'EC:1.14.14.89'], KO:K13260
Vitis riparia, 117919383, cytochrome P450 81Q32-like  [EC], ['EC:1.14.14.90', 'EC:1.14.14.89'], KO:K13260
