Panicum virgatum, 120685353, chalcone synthase C2  [EC], ['EC:2.3.1.74'], KO:K00660
Panicum virgatum, 120644569, chalcone synthase C2-like  [EC], ['EC:2.3.1.74'], KO:K00660
Panicum virgatum, 120682828, chalcone synthase C2-like  [EC], ['EC:2.3.1.74'], KO:K00660
Panicum virgatum, 120643426, probable chalcone--flavonone isomerase 3  [EC], ['EC:5.5.1.6'], KO:K01859
Panicum virgatum, 120649286, chalcone--flavonone isomerase-like  [EC], ['EC:5.5.1.6'], KO:K01859
Panicum virgatum, 120692809, chalcone--flavonone isomerase-like  [EC], ['EC:5.5.1.6'], KO:K01859
Panicum virgatum, 120696543, probable chalcone--flavonone isomerase 3  [EC], ['EC:5.5.1.6'], KO:K01859
Panicum virgatum, 120667550, chalcone--flavonone isomerase-like  [EC], ['EC:5.5.1.6'], KO:K01859
Panicum virgatum, 120642073, flavanone 3-dioxygenase 1-like  [EC], ['EC:1.14.11.9'], KO:K00475
Panicum virgatum, 120683857, flavanone 3-dioxygenase 1-like  [EC], ['EC:1.14.11.9'], KO:K00475
Panicum virgatum, 120642963, flavonol synthase/flavanone 3-hydroxylase-like  [EC], ['EC:1.14.20.6'], KO:K05278
Panicum virgatum, 120653872, flavonol synthase 1-like  [EC], ['EC:1.14.20.6'], KO:K05278
Panicum virgatum, 120655693, cytochrome P450 CYP73A100-like  [EC], ['EC:1.14.14.91'], KO:K00487
Panicum virgatum, 120701233, cytochrome P450 CYP73A100-like  [EC], ['EC:1.14.14.91'], KO:K00487
Panicum virgatum, 120676246, trans-cinnamate 4-monooxygenase-like  [EC], ['EC:1.14.14.91'], KO:K00487
Panicum virgatum, 120708487, trans-cinnamate 4-monooxygenase  [EC], ['EC:1.14.14.91'], KO:K00487
Panicum virgatum, 120665912, trans-cinnamate 4-monooxygenase-like  [EC], ['EC:1.14.14.91'], KO:K00487
Panicum virgatum, 120699130, trans-cinnamate 4-monooxygenase  [EC], ['EC:1.14.14.91'], KO:K00487
Panicum virgatum, 120650957, flavonoid 3'-monooxygenase CYP75B3-like  [EC], ['EC:1.14.14.82'], KO:K05280
Panicum virgatum, 120651359, flavonoid 3'-monooxygenase CYP75B4-like  [EC], ['EC:1.14.14.82'], KO:K05280
Panicum virgatum, 120676859, dihydroflavonol 4-reductase-like  [EC], ['EC:1.1.1.219', 'EC:1.1.1.234'], KO:K13082
Panicum virgatum, 120707535, dihydroflavonol 4-reductase-like  [EC], ['EC:1.1.1.219', 'EC:1.1.1.234'], KO:K13082
Panicum virgatum, 120681960, cytochrome P450 93G1-like  [EC], ['EC:1.14.19.76'], KO:K23180
Panicum virgatum, 120639519, cytochrome P450 93G1-like  [EC], ['EC:1.14.19.76'], KO:K23180
Panicum virgatum, 120639522, cytochrome P450 93G1-like  [EC], ['EC:1.14.19.76'], KO:K23180
Panicum virgatum, 120688288, flavonoid 3',5'-hydroxylase 1-like  [EC], ['EC:1.14.14.81'], KO:K13083
Panicum virgatum, 120652259, flavonoid 3',5'-hydroxylase 1-like  [EC], ['EC:1.14.14.81'], KO:K13083
Panicum virgatum, 120705980, leucoanthocyanidin dioxygenase-like  [EC], ['EC:1.14.20.4'], KO:K05277
Panicum virgatum, 120641879, anthocyanidin reductase ((2S)-flavan-3-ol-forming)-like  [EC], ['EC:1.3.1.77'], KO:K08695
Panicum virgatum, 120641880, anthocyanidin reductase ((2S)-flavan-3-ol-forming)-like isoform X1  [EC], ['EC:1.3.1.77'], KO:K08695
Panicum virgatum, 120641882, anthocyanidin reductase ((2S)-flavan-3-ol-forming)-like  [EC], ['EC:1.3.1.77'], KO:K08695
Panicum virgatum, 120641883, anthocyanidin reductase ((2S)-flavan-3-ol-forming)-like  [EC], ['EC:1.3.1.77'], KO:K08695
Panicum virgatum, 120644933, anthocyanidin reductase ((2S)-flavan-3-ol-forming)-like  [EC], ['EC:1.3.1.77'], KO:K08695
