Quercus lobata, 115976336, chalcone synthase  [EC], ['EC:2.3.1.74'], KO:K00660
Quercus lobata, 115994574, chalcone synthase 1  [EC], ['EC:2.3.1.74'], KO:K00660
Quercus lobata, 115961603, chalcone synthase 4-like  [EC], ['EC:2.3.1.74'], KO:K00660
Quercus lobata, 115956872, chalcone synthase 6-4-like  [EC], ['EC:2.3.1.74'], KO:K00660
Quercus lobata, 115957508, chalcone--flavonone isomerase-like  [EC], ['EC:5.5.1.6'], KO:K01859
Quercus lobata, 115958234, probable chalcone--flavonone isomerase 3  [EC], ['EC:5.5.1.6'], KO:K01859
Quercus lobata, 115994995, naringenin,2-oxoglutarate 3-dioxygenase  [EC], ['EC:1.14.11.9'], KO:K00475
Quercus lobata, 115963835, flavonol synthase/flavanone 3-hydroxylase-like  [EC], ['EC:1.14.20.6'], KO:K05278
Quercus lobata, 115973387, flavonol synthase/flavanone 3-hydroxylase-like  [EC], ['EC:1.14.20.6'], KO:K05278
Quercus lobata, 115959418, flavonol synthase/flavanone 3-hydroxylase-like  [EC], ['EC:1.14.20.6'], KO:K05278
Quercus lobata, 115993005, flavonol synthase/flavanone 3-hydroxylase-like  [EC], ['EC:1.14.20.6'], KO:K05278
Quercus lobata, 115967336, cytochrome P450 CYP73A100-like  [EC], ['EC:1.14.14.91'], KO:K00487
Quercus lobata, 115984444, trans-cinnamate 4-monooxygenase  [EC], ['EC:1.14.14.91'], KO:K00487
Quercus lobata, 115957238, trans-cinnamate 4-monooxygenase-like  [EC], ['EC:1.14.14.91'], KO:K00487
Quercus lobata, 115991662, non-functional NADPH-dependent codeinone reductase 2-like , [], KO:K08243
Quercus lobata, 115991664, non-functional NADPH-dependent codeinone reductase 2-like , [], KO:K08243
Quercus lobata, 115964033, flavonoid 3'-monooxygenase  [EC], ['EC:1.14.14.82'], KO:K05280
Quercus lobata, 115974365, dihydroflavonol 4-reductase-like  [EC], ['EC:1.1.1.219', 'EC:1.1.1.234'], KO:K13082
