Panicum hallii, 112902744, chalcone synthase C2  [EC], ['EC:2.3.1.74'], KO:K00660
Panicum hallii, 112884609, probable chalcone--flavonone isomerase 3  [EC], ['EC:5.5.1.6'], KO:K01859
Panicum hallii, 112874802, chalcone--flavonone isomerase  [EC], ['EC:5.5.1.6'], KO:K01859
Panicum hallii, 112887665, chalcone--flavonone isomerase-like isoform X1  [EC], ['EC:5.5.1.6'], KO:K01859
Panicum hallii, 112902934, probable chalcone--flavonone isomerase 3  [EC], ['EC:5.5.1.6'], KO:K01859
Panicum hallii, 112900936, flavanone 3-dioxygenase 1  [EC], ['EC:1.14.11.9'], KO:K00475
Panicum hallii, 112882371, flavonol synthase/flavanone 3-hydroxylase  [EC], ['EC:1.14.20.6'], KO:K05278
Panicum hallii, 112894071, cytochrome P450 CYP73A100-like  [EC], ['EC:1.14.14.91'], KO:K00487
Panicum hallii, 112895823, trans-cinnamate 4-monooxygenase  [EC], ['EC:1.14.14.91'], KO:K00487
Panicum hallii, 112885850, trans-cinnamate 4-monooxygenase-like  [EC], ['EC:1.14.14.91'], KO:K00487
Panicum hallii, 112903334, flavonoid 3'-monooxygenase CYP75B4-like isoform X1  [EC], ['EC:1.14.14.82'], KO:K05280
Panicum hallii, 112878303, flavonoid 3'-monooxygenase CYP75B3-like  [EC], ['EC:1.14.14.82'], KO:K05280
Panicum hallii, 112892049, dihydroflavonol 4-reductase-like  [EC], ['EC:1.1.1.219', 'EC:1.1.1.234'], KO:K13082
Panicum hallii, 112900040, cytochrome P450 93G1-like  [EC], ['EC:1.14.19.76'], KO:K23180
Panicum hallii, 112877217, flavonoid 3',5'-hydroxylase 1-like  [EC], ['EC:1.14.14.81'], KO:K13083
Panicum hallii, 112888327, leucoanthocyanidin dioxygenase-like  [EC], ['EC:1.14.20.4'], KO:K05277
Panicum hallii, 112899176, anthocyanidin reductase ((2S)-flavan-3-ol-forming)-like  [EC], ['EC:1.3.1.77'], KO:K08695
Panicum hallii, 112899177, anthocyanidin reductase ((2S)-flavan-3-ol-forming)-like  [EC], ['EC:1.3.1.77'], KO:K08695
Panicum hallii, 112899179, anthocyanidin reductase ((2S)-flavan-3-ol-forming)-like  [EC], ['EC:1.3.1.77'], KO:K08695
Panicum hallii, 112882508, hydroxycinnamoyltransferase 4-like  [EC], ['EC:2.3.1.133'], KO:K13065
Panicum hallii, 112896968, putrescine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Panicum hallii, 112897893, putrescine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Panicum hallii, 112886631, putrescine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Panicum hallii, 112900212, putrescine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Panicum hallii, 112901538, hydroxycinnamoyltransferase 4-like  [EC], ['EC:2.3.1.133'], KO:K13065
Panicum hallii, 112889900, hydroxycinnamoyltransferase 4-like  [EC], ['EC:2.3.1.133'], KO:K13065
Panicum hallii, 112890136, hydroxycinnamoyltransferase 4-like  [EC], ['EC:2.3.1.133'], KO:K13065
Panicum hallii, 112880602, putrescine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Panicum hallii, 112894578, cytochrome P450 98A1-like  [EC], ['EC:1.14.14.96'], KO:K09754
Panicum hallii, 112887100, cytochrome P450 98A1  [EC], ['EC:1.14.14.96'], KO:K09754
Panicum hallii, 112890743, caffeoyl-CoA O-methyltransferase 1  [EC], ['EC:2.1.1.104'], KO:K00588
