Triticum dicoccoides, 119366002, flavonoid 3',5'-hydroxylase 2-like  [EC], ['EC:1.14.14.81'], KO:K13083
Triticum dicoccoides, 119314882, flavonoid 3',5'-hydroxylase 1-like  [EC], ['EC:1.14.14.81'], KO:K13083
Triticum dicoccoides, 119330628, flavonoid 3',5'-hydroxylase-like  [EC], ['EC:1.14.14.81'], KO:K13083
Triticum dicoccoides, 119317373, flavonoid 3',5'-hydroxylase 1-like  [EC], ['EC:1.14.14.81'], KO:K13083
Triticum dicoccoides, 119288140, flavonoid 3',5'-hydroxylase-like  [EC], ['EC:1.14.14.81'], KO:K13083
Triticum dicoccoides, 119324785, flavonoid 3',5'-hydroxylase-like  [EC], ['EC:1.14.14.81'], KO:K13083
Triticum dicoccoides, 119324825, flavonoid 3',5'-hydroxylase 1-like  [EC], ['EC:1.14.14.81'], KO:K13083
Triticum dicoccoides, 119325713, flavonoid 3',5'-hydroxylase 1-like  [EC], ['EC:1.14.14.81'], KO:K13083
Triticum dicoccoides, 119329613, flavonoid 3'-monooxygenase CYP75B4-like  [EC], ['EC:1.14.14.82'], KO:K05280
Triticum dicoccoides, 119295285, flavonoid 3'-monooxygenase CYP75B3-like  [EC], ['EC:1.14.14.82'], KO:K05280
Triticum dicoccoides, 119349858, flavonoid 3'-monooxygenase CYP75B3-like  [EC], ['EC:1.14.14.82'], KO:K05280
Triticum dicoccoides, 119366542, flavonoid 3'-monooxygenase CYP75B3-like  [EC], ['EC:1.14.14.82'], KO:K05280
Triticum dicoccoides, 119319554, flavonoid 3'-monooxygenase CYP75B4-like  [EC], ['EC:1.14.14.82'], KO:K05280
Triticum dicoccoides, 119322175, flavonoid 3'-monooxygenase CYP75B4-like  [EC], ['EC:1.14.14.82'], KO:K05280
Triticum dicoccoides, 119338089, flavonoid 3'-monooxygenase CYP75B4-like  [EC], ['EC:1.14.14.82'], KO:K05280
Triticum dicoccoides, 119364961, UDP-glycosyltransferase 73C6-like  [EC], ['EC:2.4.1.-'], KO:K22771
Triticum dicoccoides, 119364962, UDP-glycosyltransferase 73D1-like  [EC], ['EC:2.4.1.-'], KO:K22771
Triticum dicoccoides, 119267356, UDP-glycosyltransferase 73C3-like isoform X1  [EC], ['EC:2.4.1.-'], KO:K22771
Triticum dicoccoides, 119267359, UDP-glycosyltransferase 73C3-like  [EC], ['EC:2.4.1.-'], KO:K22771
Triticum dicoccoides, 119267360, UDP-glycosyltransferase 73C1-like  [EC], ['EC:2.4.1.-'], KO:K22771
Triticum dicoccoides, 119355822, UDP-glycosyltransferase 73C6-like  [EC], ['EC:2.4.1.-'], KO:K22771
Triticum dicoccoides, 119355823, UDP-glycosyltransferase 73D1-like  [EC], ['EC:2.4.1.-'], KO:K22771
Triticum dicoccoides, 119275231, UDP-glycosyltransferase 73D1-like  [EC], ['EC:2.4.1.-'], KO:K22771
Triticum dicoccoides, 119275240, UDP-glycosyltransferase 73C3-like  [EC], ['EC:2.4.1.-'], KO:K22771
Triticum dicoccoides, 119275242, UDP-glycosyltransferase 73D1-like  [EC], ['EC:2.4.1.-'], KO:K22771
Triticum dicoccoides, 119275243, UDP-glycosyltransferase 73C1-like  [EC], ['EC:2.4.1.-'], KO:K22771
Triticum dicoccoides, 119275246, UDP-glycosyltransferase 73C3-like  [EC], ['EC:2.4.1.-'], KO:K22771
Triticum dicoccoides, 119275247, UDP-glycosyltransferase 73C3-like  [EC], ['EC:2.4.1.-'], KO:K22771
Triticum dicoccoides, 119344919, anthocyanidin-3-O-glucoside rhamnosyltransferase-like  [EC], ['EC:2.4.1.159'], KO:K22772
Triticum dicoccoides, 119362179, anthocyanidin-3-O-glucoside rhamnosyltransferase-like  [EC], ['EC:2.4.1.159'], KO:K22772
