Spinacia oleracea, 110799759, chalcone synthase 3-like  [EC], ['EC:2.3.1.74'], KO:K00660
Spinacia oleracea, 110785055, chalcone synthase-like isoform X1  [EC], ['EC:2.3.1.74'], KO:K00660
Spinacia oleracea, 110800395, chalcone synthase 2-like  [EC], ['EC:2.3.1.74'], KO:K00660
Spinacia oleracea, 110799468, chalcone synthase 3-like  [EC], ['EC:2.3.1.74'], KO:K00660
Spinacia oleracea, 110774849, chalcone synthase  [EC], ['EC:2.3.1.74'], KO:K00660
Spinacia oleracea, 110774850, chalcone synthase-like  [EC], ['EC:2.3.1.74'], KO:K00660
Spinacia oleracea, 110776933, chalcone synthase-like  [EC], ['EC:2.3.1.74'], KO:K00660
Spinacia oleracea, 110784496, chalcone synthase 2-like  [EC], ['EC:2.3.1.74'], KO:K00660
Spinacia oleracea, 110784497, chalcone synthase 2-like  [EC], ['EC:2.3.1.74'], KO:K00660
Spinacia oleracea, 110803758, probable chalcone--flavonone isomerase 3  [EC], ['EC:5.5.1.6'], KO:K01859
Spinacia oleracea, 110775438, probable chalcone--flavonone isomerase 3 isoform X1  [EC], ['EC:5.5.1.6'], KO:K01859
Spinacia oleracea, 110795717, chalcone--flavonone isomerase-like  [EC], ['EC:5.5.1.6'], KO:K01859
Spinacia oleracea, 110799526, naringenin,2-oxoglutarate 3-dioxygenase-like  [EC], ['EC:1.14.11.9'], KO:K00475
Spinacia oleracea, 110799527, naringenin,2-oxoglutarate 3-dioxygenase-like  [EC], ['EC:1.14.11.9'], KO:K00475
Spinacia oleracea, 110800737, naringenin,2-oxoglutarate 3-dioxygenase-like  [EC], ['EC:1.14.11.9'], KO:K00475
Spinacia oleracea, 110795044, flavonol synthase/flavanone 3-hydroxylase-like  [EC], ['EC:1.14.20.6'], KO:K05278
Spinacia oleracea, 110778214, flavonol synthase/flavanone 3-hydroxylase-like  [EC], ['EC:1.14.20.6'], KO:K05278
Spinacia oleracea, 110797393, trans-cinnamate 4-monooxygenase  [EC], ['EC:1.14.14.91'], KO:K00487
Spinacia oleracea, 110783961, cytochrome P450 CYP73A100-like  [EC], ['EC:1.14.14.91'], KO:K00487
Spinacia oleracea, 110789886, flavonoid 3'-monooxygenase  [EC], ['EC:1.14.14.82'], KO:K05280
Spinacia oleracea, 110794664, dihydroflavonol 4-reductase  [EC], ['EC:1.1.1.219', 'EC:1.1.1.234'], KO:K13082
Spinacia oleracea, 110784326, leucoanthocyanidin dioxygenase-like  [EC], ['EC:1.14.20.4'], KO:K05277
Spinacia oleracea, 110789492, leucoanthocyanidin reductase-like  [EC], ['EC:1.17.1.3'], KO:K13081
Spinacia oleracea, 110780917, salutaridinol 7-O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Spinacia oleracea, 110775950, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Spinacia oleracea, 110786280, anthranilate N-benzoyltransferase protein 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Spinacia oleracea, 110797736, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Spinacia oleracea, 110803480, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Spinacia oleracea, 110782847, anthranilate N-benzoyltransferase protein 2-like  [EC], ['EC:2.3.1.133'], KO:K13065
Spinacia oleracea, 110787836, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Spinacia oleracea, 110806241, anthranilate N-benzoyltransferase protein 2-like  [EC], ['EC:2.3.1.133'], KO:K13065
Spinacia oleracea, 110801780, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Spinacia oleracea, 110796014, acetyl-CoA-benzylalcohol acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Spinacia oleracea, 110794219, anthranilate N-benzoyltransferase protein 2-like  [EC], ['EC:2.3.1.133'], KO:K13065
Spinacia oleracea, 110779503, cytochrome P450 98A2-like  [EC], ['EC:1.14.14.96'], KO:K09754
Spinacia oleracea, 110778982, cytochrome P450 98A2  [EC], ['EC:1.14.14.96'], KO:K09754
Spinacia oleracea, 110799229, cytochrome P450 98A2-like  [EC], ['EC:1.14.14.96'], KO:K09754
Spinacia oleracea, 110779299, caffeoyl-CoA O-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Spinacia oleracea, 110782641, caffeoyl-CoA O-methyltransferase 5  [EC], ['EC:2.1.1.104'], KO:K00588
Spinacia oleracea, 110794362, flavonoid 3',5'-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Spinacia oleracea, 110800103, flavonoid 3',5'-methyltransferase-like isoform X1  [EC], ['EC:2.1.1.104'], KO:K00588
Spinacia oleracea, 110800104, flavonoid 3',5'-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Spinacia oleracea, 110802224, flavonoid 3',5'-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Spinacia oleracea, 110803457, caffeoyl-CoA O-methyltransferase  [EC], ['EC:2.1.1.104'], KO:K00588
Spinacia oleracea, 110803466, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
