Solanum tuberosum, 102595874, chalcone synthase J-like  [EC], ['EC:2.3.1.74'], KO:K00660
Solanum tuberosum, 102595537, chalcone synthase J-like  [EC], ['EC:2.3.1.74'], KO:K00660
Solanum tuberosum, 102605087, chalcone synthase J-like  [EC], ['EC:2.3.1.74'], KO:K00660
Solanum tuberosum, 102577598, CHS2; chalcone synthase 2  [EC], ['EC:2.3.1.74'], KO:K00660
Solanum tuberosum, 102590425, chalcone synthase J-like  [EC], ['EC:2.3.1.74'], KO:K00660
Solanum tuberosum, 102600279, chalcone synthase B  [EC], ['EC:2.3.1.74'], KO:K00660
Solanum tuberosum, 102577871, CHS1A; chalcone synthase 1a  [EC], ['EC:2.3.1.74'], KO:K00660
Solanum tuberosum, 102580017, chalcone synthase 1B-like  [EC], ['EC:2.3.1.74'], KO:K00660
Solanum tuberosum, 102599379, chalcone--flavonone isomerase B-like  [EC], ['EC:5.5.1.6'], KO:K01859
Solanum tuberosum, 102599055, chalcone--flavonone isomerase-like  [EC], ['EC:5.5.1.6'], KO:K01859
Solanum tuberosum, 102583606, probable chalcone--flavonone isomerase 3  [EC], ['EC:5.5.1.6'], KO:K01859
Solanum tuberosum, 102577463, flavanone 3 beta-hydroxylase  [EC], ['EC:1.14.11.9'], KO:K00475
Solanum tuberosum, 102577717, FLS; flavonol synthase  [EC], ['EC:1.14.20.6'], KO:K05278
Solanum tuberosum, 102586761, cytochrome P450 CYP73A100-like  [EC], ['EC:1.14.14.91'], KO:K00487
Solanum tuberosum, 102605644, trans-cinnamate 4-monooxygenase  [EC], ['EC:1.14.14.91'], KO:K00487
Solanum tuberosum, 102593656, flavonoid 3'-monooxygenase  [EC], ['EC:1.14.14.82'], KO:K05280
Solanum tuberosum, 102577487, dihydroflavonol 4-reductase  [EC], ['EC:1.1.1.219', 'EC:1.1.1.234'], KO:K13082
Solanum tuberosum, 102587107, DFR; dihydroflavonol-4-reductase-like  [EC], ['EC:1.1.1.219', 'EC:1.1.1.234'], KO:K13082
Solanum tuberosum, 102577676, P; flavonoid 3',5'-hydroxylase  [EC], ['EC:1.14.14.81'], KO:K13083
Solanum tuberosum, 102598323, ANS; leucoanthocyanidin dioxygenase  [EC], ['EC:1.14.20.4'], KO:K05277
Solanum tuberosum, 102577696, ANS; anthocyanidin synthase  [EC], ['EC:1.14.20.4'], KO:K05277
Solanum tuberosum, 102584577, anthocyanidin reductase  [EC], ['EC:1.3.1.77'], KO:K08695
Solanum tuberosum, 102594738, leucoanthocyanidin reductase-like  [EC], ['EC:1.17.1.3'], KO:K13081
Solanum tuberosum, 102577662, HQT  [EC], ['EC:2.3.1.133'], KO:K13065
Solanum tuberosum, 102589390, agmatine coumaroyltransferase-2-like  [EC], ['EC:2.3.1.133'], KO:K13065
Solanum tuberosum, 102594495, agmatine coumaroyltransferase-2-like  [EC], ['EC:2.3.1.133'], KO:K13065
Solanum tuberosum, 102588095, shikimate O-hydroxycinnamoyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Solanum tuberosum, 102598447, pelargonidin 3-O-(6-caffeoylglucoside) 5-O-(6-O-malonylglucoside) 4'''-malonyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Solanum tuberosum, 102600568, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Solanum tuberosum, 102603923, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Solanum tuberosum, 102595755, agmatine coumaroyltransferase-2-like  [EC], ['EC:2.3.1.133'], KO:K13065
Solanum tuberosum, 102586710, vinorine synthase  [EC], ['EC:2.3.1.133'], KO:K13065
Solanum tuberosum, 102584624, agmatine coumaroyltransferase-2-like  [EC], ['EC:2.3.1.133'], KO:K13065
Solanum tuberosum, 102582878, acylsugar acyltransferase 3-like  [EC], ['EC:2.3.1.133'], KO:K13065
Solanum tuberosum, 102578335, omega-hydroxypalmitate O-feruloyl transferase  [EC], ['EC:2.3.1.133'], KO:K13065
Solanum tuberosum, 107059122, acetyl-CoA-benzylalcohol acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Solanum tuberosum, 102585820, salutaridinol 7-O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Solanum tuberosum, 102581009, spermidine hydroxycinnamoyl transferase  [EC], ['EC:2.3.1.133'], KO:K13065
Solanum tuberosum, 107058427, acetyl-CoA-benzylalcohol acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Solanum tuberosum, 107058432, acetyl-CoA-benzylalcohol acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Solanum tuberosum, 107059221, acylsugar acyltransferase 3-like  [EC], ['EC:2.3.1.133'], KO:K13065
