Medicago truncatula, MTR_3g088675, chalcone and stilbene synthase family protein  [EC], ['EC:2.3.1.74'], KO:K00660
Medicago truncatula, MTR_7g113405, 3-ketoacyl-CoA synthase-like protein  [EC], ['EC:2.3.1.74'], KO:K00660
Medicago truncatula, MTR_1g097935, chalcone and stilbene synthase family protein  [EC], ['EC:2.3.1.74'], KO:K00660
Medicago truncatula, MTR_5g007713, chalcone and stilbene synthase family protein  [EC], ['EC:2.3.1.74'], KO:K00660
Medicago truncatula, MTR_3g088670, chalcone and stilbene synthase family protein  [EC], ['EC:2.3.1.74'], KO:K00660
Medicago truncatula, MTR_5g007717, chalcone and stilbene synthase family protein  [EC], ['EC:2.3.1.74'], KO:K00660
Medicago truncatula, MTR_5g007723, chalcone synthase  [EC], ['EC:2.3.1.74'], KO:K00660
Medicago truncatula, MTR_5g007730, chalcone and stilbene synthase family protein  [EC], ['EC:2.3.1.74'], KO:K00660
Medicago truncatula, MTR_5g007760, chalcone and stilbene synthase family protein  [EC], ['EC:2.3.1.74'], KO:K00660
Medicago truncatula, MTR_5g007770, chalcone synthase family protein  [EC], ['EC:2.3.1.74'], KO:K00660
Medicago truncatula, MTR_7g084300, chalcone and stilbene synthase family protein  [EC], ['EC:2.3.1.74'], KO:K00660
Medicago truncatula, MTR_3g083910, chalcone and stilbene synthase family protein  [EC], ['EC:2.3.1.74'], KO:K00660
Medicago truncatula, MTR_3g083920, chalcone and stilbene synthase family protein  [EC], ['EC:2.3.1.74'], KO:K00660
Medicago truncatula, MTR_1g097910, chalcone and stilbene synthase family protein  [EC], ['EC:2.3.1.74'], KO:K00660
Medicago truncatula, MTR_1g098140, chalcone and stilbene synthase family protein  [EC], ['EC:2.3.1.74'], KO:K00660
Medicago truncatula, MTR_5g007740, chalcone and stilbene synthase family protein  [EC], ['EC:2.3.1.74'], KO:K00660
Medicago truncatula, MTR_7g016700, chalcone and stilbene synthase family protein  [EC], ['EC:2.3.1.74'], KO:K00660
Medicago truncatula, MTR_7g016720, chalcone and stilbene synthase family protein  [EC], ['EC:2.3.1.74'], KO:K00660
Medicago truncatula, MTR_7g016780, chalcone and stilbene synthase family protein  [EC], ['EC:2.3.1.74'], KO:K00660
Medicago truncatula, MTR_7g016800, chalcone and stilbene synthase family protein  [EC], ['EC:2.3.1.74'], KO:K00660
Medicago truncatula, MTR_7g016820, chalcone and stilbene synthase family protein  [EC], ['EC:2.3.1.74'], KO:K00660
Medicago truncatula, MTR_3g086260, chalcone and stilbene synthase family protein  [EC], ['EC:2.3.1.74'], KO:K00660
Medicago truncatula, MTR_2g058470, chalcone and stilbene synthase family protein  [EC], ['EC:2.3.1.74'], KO:K00660
Medicago truncatula, MTR_1g115870, chalcone-flavanone isomerase family protein  [EC], ['EC:5.5.1.6'], KO:K01859
Medicago truncatula, MTR_1g115820, chalcone-flavanone isomerase family protein  [EC], ['EC:5.5.1.6'], KO:K01859
Medicago truncatula, MTR_1g115840, chalcone-flavanone isomerase family protein  [EC], ['EC:5.5.1.6'], KO:K01859
Medicago truncatula, MTR_7g027135, chalcone-flavanone isomerase family protein  [EC], ['EC:5.5.1.6'], KO:K01859
Medicago truncatula, MTR_3g093980, chalcone-flavanone isomerase family protein  [EC], ['EC:5.5.1.6'], KO:K01859
Medicago truncatula, MTR_1g115890, chalcone-flavanone isomerase family protein  [EC], ['EC:5.5.1.6'], KO:K01859
Medicago truncatula, MTR_1g115830, chalcone-flavanone isomerase family protein  [EC], ['EC:5.5.1.6'], KO:K01859
Medicago truncatula, MTR_1g115850, chalcone-flavanone isomerase family protein  [EC], ['EC:5.5.1.6'], KO:K01859
Medicago truncatula, MTR_8g075890, naringenin 3-dioxygenase (flavanone-3-hydroxylase)  [EC], ['EC:1.14.11.9'], KO:K00475
Medicago truncatula, MTR_5g022020, naringenin 3-dioxygenase (flavanone-3-hydroxylase)  [EC], ['EC:1.14.11.9'], KO:K00475
Medicago truncatula, MTR_8g075830, naringenin 3-dioxygenase (flavanone-3-hydroxylase)  [EC], ['EC:1.14.11.9'], KO:K00475
Medicago truncatula, MTR_3g058610, naringenin 3-dioxygenase (flavanone-3-hydroxylase)  [EC], ['EC:1.14.11.9'], KO:K00475
Medicago truncatula, MTR_5g059130, flavonol synthase/flavanone 3-hydroxylase  [EC], ['EC:1.14.20.6'], KO:K05278
Medicago truncatula, MTR_5g059140, flavonol synthase/flavanone 3-hydroxylase  [EC], ['EC:1.14.20.6'], KO:K05278
Medicago truncatula, MTR_3g072820, flavonol synthase/flavanone 3-hydroxylase  [EC], ['EC:1.14.20.6'], KO:K05278
Medicago truncatula, MTR_3g072810, flavonol synthase/flavanone 3-hydroxylase  [EC], ['EC:1.14.20.6'], KO:K05278
Medicago truncatula, MTR_1g111240, cytochrome P450 family cinnamate 4-hydroxylase  [EC], ['EC:1.14.14.91'], KO:K00487
Medicago truncatula, MTR_5g075450, cytochrome P450 family cinnamate 4-hydroxylase  [EC], ['EC:1.14.14.91'], KO:K00487
Medicago truncatula, MTR_5g097900, aldo/keto reductase family oxidoreductase , [], KO:K08243
Medicago truncatula, MTR_5g097910, aldo/keto reductase family oxidoreductase , [], KO:K08243
Medicago truncatula, MTR_5g097940, aldo/keto reductase family oxidoreductase , [], KO:K08243
Medicago truncatula, MTR_3g083130, aldo/keto reductase family oxidoreductase , [], KO:K08243
Medicago truncatula, MTR_0374s0050, aldo/keto reductase family oxidoreductase , [], KO:K08243
Medicago truncatula, MTR_4g062510, cytochrome P450 family flavone synthase  [EC], ['EC:1.14.19.76'], KO:K23179
Medicago truncatula, MTR_4g062500, cytochrome P450 family flavone synthase  [EC], ['EC:1.14.19.76'], KO:K23179
Medicago truncatula, MTR_1g107295, cytochrome P450 family flavone synthase  [EC], ['EC:1.14.19.76'], KO:K23179
Medicago truncatula, MTR_4g109470, flavonoid hydroxylase  [EC], ['EC:1.14.14.82'], KO:K05280
Medicago truncatula, MTR_3g025260, flavonoid hydroxylase  [EC], ['EC:1.14.14.82'], KO:K05280
Medicago truncatula, MTR_3g024520, flavonoid hydroxylase  [EC], ['EC:1.14.14.82'], KO:K05280
Medicago truncatula, MTR_3g025230, flavonoid hydroxylase  [EC], ['EC:1.14.14.82'], KO:K05280
