Triticum aestivum, 123186969, chalcone synthase 2  [EC], ['EC:2.3.1.74'], KO:K00660
Triticum aestivum, 123186993, chalcone synthase 2-like  [EC], ['EC:2.3.1.74'], KO:K00660
Triticum aestivum, 123187050, chalcone synthase 2-like  [EC], ['EC:2.3.1.74'], KO:K00660
Triticum aestivum, 123040104, chalcone synthase 2-like  [EC], ['EC:2.3.1.74'], KO:K00660
Triticum aestivum, 123047221, chalcone synthase 2-like  [EC], ['EC:2.3.1.74'], KO:K00660
Triticum aestivum, 123190869, chalcone synthase 2-like  [EC], ['EC:2.3.1.74'], KO:K00660
Triticum aestivum, 123047543, chalcone synthase 2-like  [EC], ['EC:2.3.1.74'], KO:K00660
Triticum aestivum, 123048273, chalcone synthase 2-like  [EC], ['EC:2.3.1.74'], KO:K00660
Triticum aestivum, 123049880, chalcone synthase 1-like  [EC], ['EC:2.3.1.74'], KO:K00660
Triticum aestivum, 123051067, chalcone synthase 2-like  [EC], ['EC:2.3.1.74'], KO:K00660
Triticum aestivum, 123051070, chalcone synthase 2-like  [EC], ['EC:2.3.1.74'], KO:K00660
Triticum aestivum, 123085598, chalcone synthase 2-like  [EC], ['EC:2.3.1.74'], KO:K00660
Triticum aestivum, 123157050, chalcone synthase 2-like  [EC], ['EC:2.3.1.74'], KO:K00660
Triticum aestivum, 123179972, chalcone synthase 2-like  [EC], ['EC:2.3.1.74'], KO:K00660
Triticum aestivum, 123179973, chalcone synthase 2-like isoform X1  [EC], ['EC:2.3.1.74'], KO:K00660
Triticum aestivum, 123104431, chalcone synthase 2-like  [EC], ['EC:2.3.1.74'], KO:K00660
Triticum aestivum, 123104441, chalcone synthase 2-like  [EC], ['EC:2.3.1.74'], KO:K00660
Triticum aestivum, 123104448, chalcone synthase 2-like  [EC], ['EC:2.3.1.74'], KO:K00660
Triticum aestivum, 123104457, chalcone synthase 2-like  [EC], ['EC:2.3.1.74'], KO:K00660
