Cucurbita maxima, 111466447, phenylalanine ammonia-lyase G4-like  [EC], ['EC:4.3.1.24'], KO:K10775
Cucurbita maxima, 111477962, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Cucurbita maxima, 111477963, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Cucurbita maxima, 111483977, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Cucurbita maxima, 111485128, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Cucurbita maxima, 111471134, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Cucurbita maxima, 111471135, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Cucurbita maxima, 111471136, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Cucurbita maxima, 111471137, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Cucurbita maxima, 111471138, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Cucurbita maxima, 111471139, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Cucurbita maxima, 111471140, phenylalanine ammonia-lyase  [EC], ['EC:4.3.1.24'], KO:K10775
Cucurbita maxima, 111484465, trans-cinnamate 4-monooxygenase-like  [EC], ['EC:1.14.14.91'], KO:K00487
Cucurbita maxima, 111499735, trans-cinnamate 4-monooxygenase  [EC], ['EC:1.14.14.91'], KO:K00487
Cucurbita maxima, 111492592, trans-cinnamate 4-monooxygenase  [EC], ['EC:1.14.14.91'], KO:K00487
Cucurbita maxima, 111491732, cytochrome P450 CYP73A100-like  [EC], ['EC:1.14.14.91'], KO:K00487
Cucurbita maxima, 111481607, 4-coumarate--CoA ligase-like 7  [EC], ['EC:6.2.1.12'], KO:K01904
Cucurbita maxima, 111492331, 4-coumarate--CoA ligase 2-like  [EC], ['EC:6.2.1.12'], KO:K01904
Cucurbita maxima, 111484944, 4-coumarate--CoA ligase 1-like isoform X1  [EC], ['EC:6.2.1.12'], KO:K01904
Cucurbita maxima, 111493400, 4-coumarate--CoA ligase-like 7  [EC], ['EC:6.2.1.12'], KO:K01904
Cucurbita maxima, 111466820, 4-coumarate--CoA ligase-like 6 isoform X1  [EC], ['EC:6.2.1.12'], KO:K01904
Cucurbita maxima, 111488383, 4-coumarate--CoA ligase 2-like  [EC], ['EC:6.2.1.12'], KO:K01904
Cucurbita maxima, 111497098, 4-coumarate--CoA ligase 2-like isoform X1  [EC], ['EC:6.2.1.12'], KO:K01904
Cucurbita maxima, 111493060, 4-coumarate--CoA ligase 1-like  [EC], ['EC:6.2.1.12'], KO:K01904
Cucurbita maxima, 111482411, 4-coumarate--CoA ligase 1-like  [EC], ['EC:6.2.1.12'], KO:K01904
Cucurbita maxima, 111497965, 4-coumarate--CoA ligase 1-like  [EC], ['EC:6.2.1.12'], KO:K01904
Cucurbita maxima, 111497966, 4-coumarate--CoA ligase 1-like  [EC], ['EC:6.2.1.12'], KO:K01904
Cucurbita maxima, 111466396, 4-coumarate--CoA ligase-like 1  [EC], ['EC:6.2.1.12'], KO:K01904
Cucurbita maxima, 111495139, 4-coumarate--CoA ligase-like 9  [EC], ['EC:6.2.1.12'], KO:K01904
Cucurbita maxima, 111490339, 4-coumarate--CoA ligase-like 9  [EC], ['EC:6.2.1.12'], KO:K01904
Cucurbita maxima, 111498028, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Cucurbita maxima, 111478230, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Cucurbita maxima, 111488196, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Cucurbita maxima, 111492737, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Cucurbita maxima, 111466005, spermidine hydroxycinnamoyl transferase-like isoform X1  [EC], ['EC:2.3.1.133'], KO:K13065
Cucurbita maxima, 111472185, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Cucurbita maxima, 111496400, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Cucurbita maxima, 111482281, cytochrome P450 98A2  [EC], ['EC:1.14.14.96'], KO:K09754
Cucurbita maxima, 111482478, caffeoylshikimate esterase-like  [EC], ['EC:3.1.1.-'], KO:K18368
Cucurbita maxima, 111490153, caffeoylshikimate esterase-like  [EC], ['EC:3.1.1.-'], KO:K18368
Cucurbita maxima, 111492898, caffeoylshikimate esterase  [EC], ['EC:3.1.1.-'], KO:K18368
Cucurbita maxima, 111487110, caffeoylshikimate esterase-like  [EC], ['EC:3.1.1.-'], KO:K18368
Cucurbita maxima, 111472103, caffeoylshikimate esterase-like  [EC], ['EC:3.1.1.-'], KO:K18368
Cucurbita maxima, 111470490, caffeoylshikimate esterase-like  [EC], ['EC:3.1.1.-'], KO:K18368
Cucurbita maxima, 111471046, caffeoyl-CoA O-methyltransferase 5  [EC], ['EC:2.1.1.104'], KO:K00588
Cucurbita maxima, 111466357, caffeoyl-CoA O-methyltransferase-like isoform X1  [EC], ['EC:2.1.1.104'], KO:K00588
Cucurbita maxima, 111466358, flavonoid 3',5'-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Cucurbita maxima, 111466359, flavonoid 3',5'-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
