Camelina sativa, 104769619, chalcone synthase-like  [EC], ['EC:2.3.1.74'], KO:K00660
Camelina sativa, 104735408, chalcone synthase  [EC], ['EC:2.3.1.74'], KO:K00660
Camelina sativa, 104705657, chalcone synthase-like  [EC], ['EC:2.3.1.74'], KO:K00660
Camelina sativa, 104768723, probable chalcone--flavonone isomerase 3  [EC], ['EC:5.5.1.6'], KO:K01859
Camelina sativa, 104781389, chalcone--flavonone isomerase-like  [EC], ['EC:5.5.1.6'], KO:K01859
Camelina sativa, 104734529, probable chalcone--flavonone isomerase 3  [EC], ['EC:5.5.1.6'], KO:K01859
Camelina sativa, 104699139, chalcone--flavonone isomerase-like  [EC], ['EC:5.5.1.6'], KO:K01859
Camelina sativa, 104708589, probable chalcone--flavonone isomerase 3  [EC], ['EC:5.5.1.6'], KO:K01859
Camelina sativa, 104712130, chalcone--flavonone isomerase 1-like  [EC], ['EC:5.5.1.6'], KO:K01859
Camelina sativa, 104712132, chalcone--flavonone isomerase 1-like  [EC], ['EC:5.5.1.6'], KO:K01859
Camelina sativa, 104712134, chalcone--flavonone isomerase 1  [EC], ['EC:5.5.1.6'], KO:K01859
Camelina sativa, 104712136, chalcone--flavonone isomerase 1-like  [EC], ['EC:5.5.1.6'], KO:K01859
Camelina sativa, 104791797, chalcone--flavonone isomerase 1 isoform X1  [EC], ['EC:5.5.1.6'], KO:K01859
Camelina sativa, 104705137, chalcone--flavonone isomerase-like  [EC], ['EC:5.5.1.6'], KO:K01859
Camelina sativa, 104727418, chalcone--flavonone isomerase 2-like  [EC], ['EC:5.5.1.6'], KO:K01859
Camelina sativa, 104711628, chalcone--flavonone isomerase 1-like  [EC], ['EC:5.5.1.6'], KO:K01859
Camelina sativa, 104772278, chalcone--flavonone isomerase-like  [EC], ['EC:5.5.1.6'], KO:K01859
Camelina sativa, 104712135, chalcone--flavonone isomerase 1-like  [EC], ['EC:5.5.1.6'], KO:K01859
Camelina sativa, 104712131, chalcone--flavonone isomerase 1-like  [EC], ['EC:5.5.1.6'], KO:K01859
Camelina sativa, 104791360, naringenin,2-oxoglutarate 3-dioxygenase isoform X1  [EC], ['EC:1.14.11.9'], KO:K00475
Camelina sativa, 104780958, naringenin,2-oxoglutarate 3-dioxygenase-like  [EC], ['EC:1.14.11.9'], KO:K00475
Camelina sativa, 104711665, naringenin,2-oxoglutarate 3-dioxygenase-like isoform X2  [EC], ['EC:1.14.11.9'], KO:K00475
Camelina sativa, 104726949, probable flavonol synthase 5  [EC], ['EC:1.14.20.6'], KO:K05278
Camelina sativa, 104762497, putative inactive flavonol synthase 2  [EC], ['EC:1.14.20.6'], KO:K05278
Camelina sativa, 104762498, probable flavonol synthase 5  [EC], ['EC:1.14.20.6'], KO:K05278
Camelina sativa, 104762499, flavonol synthase 3-like  [EC], ['EC:1.14.20.6'], KO:K05278
Camelina sativa, 104762503, probable flavonol synthase 5 isoform X1  [EC], ['EC:1.14.20.6'], KO:K05278
Camelina sativa, 104762501, flavonol synthase 3-like  [EC], ['EC:1.14.20.6'], KO:K05278
Camelina sativa, 109124872, probable flavonol synthase 5  [EC], ['EC:1.14.20.6'], KO:K05278
Camelina sativa, 104741256, putative inactive flavonol synthase 2  [EC], ['EC:1.14.20.6'], KO:K05278
Camelina sativa, 104769085, flavonol synthase/flavanone 3-hydroxylase-like  [EC], ['EC:1.14.20.6'], KO:K05278
Camelina sativa, 104734897, flavonol synthase/flavanone 3-hydroxylase-like  [EC], ['EC:1.14.20.6'], KO:K05278
Camelina sativa, 104725029, LOW QUALITY PROTEIN: probable flavonol synthase 6  [EC], ['EC:1.14.20.6'], KO:K05278
Camelina sativa, 104741513, putative inactive flavonol synthase 2  [EC], ['EC:1.14.20.6'], KO:K05278
Camelina sativa, 104741522, probable flavonol synthase 5  [EC], ['EC:1.14.20.6'], KO:K05278
Camelina sativa, 104741531, flavonol synthase 3-like  [EC], ['EC:1.14.20.6'], KO:K05278
Camelina sativa, 104741542, probable flavonol synthase 5  [EC], ['EC:1.14.20.6'], KO:K05278
Camelina sativa, 104784343, probable flavonol synthase 5  [EC], ['EC:1.14.20.6'], KO:K05278
Camelina sativa, 104778112, probable flavonol synthase 5  [EC], ['EC:1.14.20.6'], KO:K05278
Camelina sativa, 104727463, probable flavonol synthase 5  [EC], ['EC:1.14.20.6'], KO:K05278
Camelina sativa, 104729053, putative inactive flavonol synthase 2  [EC], ['EC:1.14.20.6'], KO:K05278
Camelina sativa, 104741553, probable flavonol synthase 5 isoform X2  [EC], ['EC:1.14.20.6'], KO:K05278
Camelina sativa, 104741561, flavonol synthase 3  [EC], ['EC:1.14.20.6'], KO:K05278
Camelina sativa, 104741572, probable flavonol synthase 5  [EC], ['EC:1.14.20.6'], KO:K05278
Camelina sativa, 104741592, probable flavonol synthase 5  [EC], ['EC:1.14.20.6'], KO:K05278
Camelina sativa, 104741603, probable flavonol synthase 5  [EC], ['EC:1.14.20.6'], KO:K05278
Camelina sativa, 104726979, flavonol synthase 3-like  [EC], ['EC:1.14.20.6'], KO:K05278
Camelina sativa, 104726980, probable flavonol synthase 5  [EC], ['EC:1.14.20.6'], KO:K05278
Camelina sativa, 104726983, flavonol synthase 3-like  [EC], ['EC:1.14.20.6'], KO:K05278
Camelina sativa, 104726984, probable flavonol synthase 5 isoform X1  [EC], ['EC:1.14.20.6'], KO:K05278
Camelina sativa, 104726985, probable flavonol synthase 5 isoform X1  [EC], ['EC:1.14.20.6'], KO:K05278
Camelina sativa, 104726986, probable flavonol synthase 5  [EC], ['EC:1.14.20.6'], KO:K05278
Camelina sativa, 104708215, flavonol synthase/flavanone 3-hydroxylase  [EC], ['EC:1.14.20.6'], KO:K05278
Camelina sativa, 104786614, trans-cinnamate 4-monooxygenase  [EC], ['EC:1.14.14.91'], KO:K00487
Camelina sativa, 104700439, trans-cinnamate 4-monooxygenase-like  [EC], ['EC:1.14.14.91'], KO:K00487
Camelina sativa, 104749839, trans-cinnamate 4-monooxygenase  [EC], ['EC:1.14.14.91'], KO:K00487
Camelina sativa, 104769003, flavonoid 3'-monooxygenase-like  [EC], ['EC:1.14.14.82'], KO:K05280
Camelina sativa, 104708304, flavonoid 3'-monooxygenase  [EC], ['EC:1.14.14.82'], KO:K05280
Camelina sativa, 104734816, flavonoid 3'-monooxygenase  [EC], ['EC:1.14.14.82'], KO:K05280
Camelina sativa, 104760679, dihydroflavonol 4-reductase-like  [EC], ['EC:1.1.1.219', 'EC:1.1.1.234'], KO:K13082
Camelina sativa, 104771418, dihydroflavonol 4-reductase-like  [EC], ['EC:1.1.1.219', 'EC:1.1.1.234'], KO:K13082
Camelina sativa, 104725195, dihydroflavonol 4-reductase  [EC], ['EC:1.1.1.219', 'EC:1.1.1.234'], KO:K13082
Camelina sativa, 104731205, leucoanthocyanidin dioxygenase  [EC], ['EC:1.14.20.4'], KO:K05277
Camelina sativa, 104718018, leucoanthocyanidin dioxygenase-like  [EC], ['EC:1.14.20.4'], KO:K05277
Camelina sativa, 104722745, leucoanthocyanidin dioxygenase-like isoform X2  [EC], ['EC:1.14.20.4'], KO:K05277
Camelina sativa, 104714500, anthocyanidin reductase-like  [EC], ['EC:1.3.1.77'], KO:K08695
Camelina sativa, 104752826, anthocyanidin reductase-like  [EC], ['EC:1.3.1.77'], KO:K08695
Camelina sativa, 104703765, anthocyanidin reductase isoform X1  [EC], ['EC:1.3.1.77'], KO:K08695
Camelina sativa, 104758117, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Camelina sativa, 104758118, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Camelina sativa, 104758120, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Camelina sativa, 104758919, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Camelina sativa, 104767121, spermidine hydroxycinnamoyl transferase  [EC], ['EC:2.3.1.133'], KO:K13065
Camelina sativa, 104761871, shikimate O-hydroxycinnamoyltransferase isoform X1  [EC], ['EC:2.3.1.133'], KO:K13065
Camelina sativa, 104778490, shikimate O-hydroxycinnamoyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Camelina sativa, 104701057, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Camelina sativa, 104777735, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Camelina sativa, 104777737, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Camelina sativa, 104726349, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Camelina sativa, 104747749, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Camelina sativa, 104743072, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Camelina sativa, 104734868, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Camelina sativa, 104782574, cytochrome P450 98A3-like  [EC], ['EC:1.14.14.96'], KO:K09754
Camelina sativa, 104785308, cytochrome P450 98A3-like isoform X1  [EC], ['EC:1.14.14.96'], KO:K09754
Camelina sativa, 104792955, cytochrome P450 98A3  [EC], ['EC:1.14.14.96'], KO:K09754
Camelina sativa, 104792090, putative caffeoyl-CoA O-methyltransferase At1g67980  [EC], ['EC:2.1.1.104'], KO:K00588
Camelina sativa, 109124437, caffeoyl-CoA O-methyltransferase 1-like  [EC], ['EC:2.1.1.104'], KO:K00588
Camelina sativa, 104708559, putative caffeoyl-CoA O-methyltransferase At1g67980  [EC], ['EC:2.1.1.104'], KO:K00588
Camelina sativa, 104717625, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Camelina sativa, 104721404, caffeoyl-CoA O-methyltransferase 1  [EC], ['EC:2.1.1.104'], KO:K00588
Camelina sativa, 104730787, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Camelina sativa, 104741299, putative caffeoyl-CoA O-methyltransferase At1g67980 isoform X1  [EC], ['EC:2.1.1.104'], KO:K00588
Camelina sativa, 104776732, putative caffeoyl-CoA O-methyltransferase At1g67980  [EC], ['EC:2.1.1.104'], KO:K00588
Camelina sativa, 104750625, tapetum-specific methyltransferase 1-like  [EC], ['EC:2.1.1.104'], KO:K00588
Camelina sativa, 104722333, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Camelina sativa, 104729834, caffeoyl-CoA O-methyltransferase 1  [EC], ['EC:2.1.1.104'], KO:K00588
Camelina sativa, 104756994, putative caffeoyl-CoA O-methyltransferase At1g67980  [EC], ['EC:2.1.1.104'], KO:K00588
