Arachis hypogaea, 112786683, phenolic glucoside malonyltransferase 1-like  [EC], ['EC:2.3.1.115'], KO:K13264
Arachis hypogaea, 112716507, malonyl-CoA:anthocyanidin 5-O-glucoside-6''-O-malonyltransferase  [EC], ['EC:2.3.1.115'], KO:K13264
Arachis hypogaea, 112716510, malonyl-CoA:anthocyanidin 5-O-glucoside-6''-O-malonyltransferase  [EC], ['EC:2.3.1.115'], KO:K13264
Arachis hypogaea, 112783540, malonyl-CoA:anthocyanidin 5-O-glucoside-6''-O-malonyltransferase  [EC], ['EC:2.3.1.115'], KO:K13264
Arachis hypogaea, 112784357, malonyl-CoA:anthocyanidin 5-O-glucoside-6''-O-malonyltransferase-like  [EC], ['EC:2.3.1.115'], KO:K13264
Arachis hypogaea, 112784721, malonyl-CoA:anthocyanidin 5-O-glucoside-6''-O-malonyltransferase  [EC], ['EC:2.3.1.115'], KO:K13264
Arachis hypogaea, 112716295, flavonoid 3'-monooxygenase  [EC], ['EC:1.14.14.82'], KO:K05280
Arachis hypogaea, 112783881, flavonoid 3'-monooxygenase  [EC], ['EC:1.14.14.82'], KO:K05280
Arachis hypogaea, 112768992, anthocyanidin 3-O-glucoside 2''-O-glucosyltransferase  [EC], ['EC:2.4.1.239', 'EC:2.4.1.-'], KO:K22794
Arachis hypogaea, 112768999, UDP-glycosyltransferase 79B30-like  [EC], ['EC:2.4.1.239', 'EC:2.4.1.-'], KO:K22794
Arachis hypogaea, 112769634, anthocyanidin 3-O-glucoside 2''-O-glucosyltransferase-like  [EC], ['EC:2.4.1.239', 'EC:2.4.1.-'], KO:K22794
Arachis hypogaea, 112789859, UDP-glycosyltransferase 79B30  [EC], ['EC:2.4.1.239', 'EC:2.4.1.-'], KO:K22794
Arachis hypogaea, 112789860, UDP-glycosyltransferase 79B30  [EC], ['EC:2.4.1.239', 'EC:2.4.1.-'], KO:K22794
Arachis hypogaea, 112749805, UDP-glycosyltransferase 79B30  [EC], ['EC:2.4.1.239', 'EC:2.4.1.-'], KO:K22794
Arachis hypogaea, 112771931, anthocyanidin 3-O-glucoside 2''-O-glucosyltransferase  [EC], ['EC:2.4.1.239', 'EC:2.4.1.-'], KO:K22794
Arachis hypogaea, 112772019, UDP-glycosyltransferase 79B30-like  [EC], ['EC:2.4.1.239', 'EC:2.4.1.-'], KO:K22794
Arachis hypogaea, 112772268, UDP-glycosyltransferase 79B30  [EC], ['EC:2.4.1.239', 'EC:2.4.1.-'], KO:K22794
Arachis hypogaea, 112714523, anthocyanidin 3-O-glucoside 2''-O-glucosyltransferase-like  [EC], ['EC:2.4.1.239', 'EC:2.4.1.-'], KO:K22794
Arachis hypogaea, 112774677, UDP-glycosyltransferase 79B30  [EC], ['EC:2.4.1.239', 'EC:2.4.1.-'], KO:K22794
Arachis hypogaea, 112737733, UDP-glycosyltransferase 79B30  [EC], ['EC:2.4.1.239', 'EC:2.4.1.-'], KO:K22794
Arachis hypogaea, 112737734, UDP-glycosyltransferase 79B30  [EC], ['EC:2.4.1.239', 'EC:2.4.1.-'], KO:K22794
Arachis hypogaea, 112707231, UDP-glycosyltransferase 79B30 isoform X1  [EC], ['EC:2.4.1.239', 'EC:2.4.1.-'], KO:K22794
Arachis hypogaea, 112707232, anthocyanidin 3-O-glucoside 2''-O-glucosyltransferase  [EC], ['EC:2.4.1.239', 'EC:2.4.1.-'], KO:K22794
Arachis hypogaea, 112707233, UDP-glycosyltransferase 79B30  [EC], ['EC:2.4.1.239', 'EC:2.4.1.-'], KO:K22794
Arachis hypogaea, 112707234, anthocyanidin 3-O-glucoside 2''-O-glucosyltransferase-like  [EC], ['EC:2.4.1.239', 'EC:2.4.1.-'], KO:K22794
Arachis hypogaea, 112707237, UDP-glycosyltransferase 79B30  [EC], ['EC:2.4.1.239', 'EC:2.4.1.-'], KO:K22794
Arachis hypogaea, 112785301, anthocyanidin 3-O-glucoside 2''-O-glucosyltransferase-like  [EC], ['EC:2.4.1.239', 'EC:2.4.1.-'], KO:K22794
Arachis hypogaea, 112711420, UDP-glycosyltransferase 79A6  [EC], ['EC:2.4.1.159'], KO:K22772
Arachis hypogaea, 112779780, UDP-glycosyltransferase 79A6  [EC], ['EC:2.4.1.159'], KO:K22772
