Medicago truncatula, MTR_4g088160, cytochrome P450 family flavone synthase  [EC], ['EC:1.14.14.87'], KO:K13257
Medicago truncatula, MTR_4g088170, cytochrome P450 family flavone synthase  [EC], ['EC:1.14.14.87'], KO:K13257
Medicago truncatula, MTR_4g088195, cytochrome P450 family flavone synthase  [EC], ['EC:1.14.14.87'], KO:K13257
Medicago truncatula, MTR_1g105020, 2-hydroxyisoflavanone dehydratase  [EC], ['EC:4.2.1.105'], KO:K13258
Medicago truncatula, MTR_5g005850, 2-hydroxyisoflavanone dehydratase  [EC], ['EC:4.2.1.105'], KO:K13258
Medicago truncatula, MTR_4g088190, isoflavone-7-O-methyltransferase  [EC], ['EC:2.1.1.212', 'EC:2.1.1.46'], KO:K13259
Medicago truncatula, MTR_4g088200, isoflavone-7-O-methyltransferase  [EC], ['EC:2.1.1.212', 'EC:2.1.1.46'], KO:K13259
Medicago truncatula, MTR_2g437880, cytochrome P450 family 81 protein  [EC], ['EC:1.14.14.88'], KO:K22932
Medicago truncatula, MTR_5g016440, cytochrome P450 family protein  [EC], ['EC:1.14.14.90', 'EC:1.14.14.89'], KO:K13260
Medicago truncatula, MTR_2g437840, cytochrome P450 family monooxygenase  [EC], ['EC:1.14.14.90', 'EC:1.14.14.89'], KO:K13260
Medicago truncatula, MTR_4g095050, cytochrome P450 family protein  [EC], ['EC:1.14.14.90', 'EC:1.14.14.89'], KO:K13260
Medicago truncatula, MTR_5g016410, cytochrome P450 family 81 protein  [EC], ['EC:1.14.14.90', 'EC:1.14.14.89'], KO:K13260
Medicago truncatula, MTR_4g094775, cytochrome P450 family 81 protein  [EC], ['EC:1.14.14.90', 'EC:1.14.14.89'], KO:K13260
Medicago truncatula, MTR_1g076930, isoflavone-7-O-methyltransferase  [EC], ['EC:2.1.1.150'], KO:K13262
Medicago truncatula, MTR_4g088340, isoflavone-7-O-methyltransferase  [EC], ['EC:2.1.1.150'], KO:K13262
Medicago truncatula, MTR_4g088345, isoflavone-7-O-methyltransferase  [EC], ['EC:2.1.1.150'], KO:K13262
Medicago truncatula, MTR_7g014570, isoflavone-7-O-methyltransferase  [EC], ['EC:2.1.1.150'], KO:K13262
Medicago truncatula, MTR_7g014510, isoflavone-7-O-methyltransferase  [EC], ['EC:2.1.1.150'], KO:K13262
Medicago truncatula, MTR_1g076940, isoflavone-7-O-methyltransferase  [EC], ['EC:2.1.1.150'], KO:K13262
Medicago truncatula, MTR_6g015315, malonyl-CoA:isoflavone 7-O-glucoside malonyltransferase  [EC], ['EC:2.3.1.115'], KO:K13264
Medicago truncatula, MTR_6g015320, malonyl-CoA:isoflavone 7-O-glucoside malonyltransferase  [EC], ['EC:2.3.1.115'], KO:K13264
Medicago truncatula, MTR_5g020800, isoflavone reductase-like protein  [EC], ['EC:1.3.1.45'], KO:K05281
Medicago truncatula, MTR_5g020760, isoflavone reductase-like protein  [EC], ['EC:1.3.1.45'], KO:K05281
Medicago truncatula, MTR_7g074710, dihydroflavonol 4-reductase-like protein  [EC], ['EC:1.1.1.348'], KO:K13265
Medicago truncatula, MTR_7g093850, disease resistance response protein  [EC], ['EC:4.2.1.139'], KO:K25075
Medicago truncatula, MTR_7g093830, disease resistance response protein  [EC], ['EC:4.2.1.139'], KO:K25075
Medicago truncatula, MTR_7g093820, disease resistance response protein  [EC], ['EC:4.2.1.139'], KO:K25075
Medicago truncatula, MTR_3g057980, cytochrome P450 family 71 protein  [EC], ['EC:1.14.13.-'], KO:K13267
Medicago truncatula, MTR_3g057900, cytochrome P450 family 71 protein  [EC], ['EC:1.14.13.-'], KO:K13267
Medicago truncatula, MTR_4g062510, cytochrome P450 family flavone synthase  [EC], ['EC:1.14.19.76'], KO:K23179
Medicago truncatula, MTR_4g062500, cytochrome P450 family flavone synthase  [EC], ['EC:1.14.19.76'], KO:K23179
Medicago truncatula, MTR_1g107295, cytochrome P450 family flavone synthase  [EC], ['EC:1.14.19.76'], KO:K23179
