Nymphaea colorata, 116263014, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Nymphaea colorata, 116252865, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Nymphaea colorata, 116265747, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Nymphaea colorata, 116267544, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Nymphaea colorata, 116260476, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Nymphaea colorata, 116262247, trans-cinnamate 4-monooxygenase  [EC], ['EC:1.14.14.91'], KO:K00487
Nymphaea colorata, 116254902, trans-cinnamate 4-monooxygenase-like  [EC], ['EC:1.14.14.91'], KO:K00487
Nymphaea colorata, 116267900, cytochrome P450 CYP73A100-like  [EC], ['EC:1.14.14.91'], KO:K00487
Nymphaea colorata, 116249613, 4-coumarate--CoA ligase 1-like  [EC], ['EC:6.2.1.12'], KO:K01904
Nymphaea colorata, 116250614, 4-coumarate--CoA ligase 1-like  [EC], ['EC:6.2.1.12'], KO:K01904
Nymphaea colorata, 116252471, 4-coumarate--CoA ligase 2  [EC], ['EC:6.2.1.12'], KO:K01904
Nymphaea colorata, 116265998, 4-coumarate--CoA ligase-like 7  [EC], ['EC:6.2.1.12'], KO:K01904
Nymphaea colorata, 116266048, 4-coumarate--CoA ligase-like 7  [EC], ['EC:6.2.1.12'], KO:K01904
Nymphaea colorata, 116248608, 4-coumarate--CoA ligase-like 1  [EC], ['EC:6.2.1.12'], KO:K01904
Nymphaea colorata, 116249873, agmatine coumaroyltransferase-2-like  [EC], ['EC:2.3.1.133'], KO:K13065
Nymphaea colorata, 116249952, agmatine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Nymphaea colorata, 116250011, agmatine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Nymphaea colorata, 116250605, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Nymphaea colorata, 116250606, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Nymphaea colorata, 116250607, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Nymphaea colorata, 116250608, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Nymphaea colorata, 116251074, tryptamine hydroxycinnamoyltransferase 2-like  [EC], ['EC:2.3.1.133'], KO:K13065
Nymphaea colorata, 116251083, agmatine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Nymphaea colorata, 116252232, agmatine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Nymphaea colorata, 116252816, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Nymphaea colorata, 116263484, tryptamine hydroxycinnamoyltransferase 2-like  [EC], ['EC:2.3.1.133'], KO:K13065
Nymphaea colorata, 116263811, tryptamine hydroxycinnamoyltransferase 2-like  [EC], ['EC:2.3.1.133'], KO:K13065
Nymphaea colorata, 116263841, tryptamine hydroxycinnamoyltransferase 2-like  [EC], ['EC:2.3.1.133'], KO:K13065
Nymphaea colorata, 116264690, tryptamine hydroxycinnamoyltransferase 2-like  [EC], ['EC:2.3.1.133'], KO:K13065
Nymphaea colorata, 116265073, tryptamine hydroxycinnamoyltransferase 2-like  [EC], ['EC:2.3.1.133'], KO:K13065
Nymphaea colorata, 116265663, agmatine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Nymphaea colorata, 116266444, agmatine coumaroyltransferase-1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Nymphaea colorata, 116267058, putrescine hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Nymphaea colorata, 116245808, LOW QUALITY PROTEIN: tryptamine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Nymphaea colorata, 116245866, tryptamine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Nymphaea colorata, 116246130, putrescine hydroxycinnamoyltransferase 3-like  [EC], ['EC:2.3.1.133'], KO:K13065
