Nelumbo nucifera, 104595050, phenylalanine ammonia-lyase  [EC], ['EC:4.3.1.24'], KO:K10775
Nelumbo nucifera, 104600622, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Nelumbo nucifera, 104601277, phenylalanine ammonia-lyase  [EC], ['EC:4.3.1.24'], KO:K10775
Nelumbo nucifera, 104589393, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Nelumbo nucifera, 104594470, trans-cinnamate 4-monooxygenase  [EC], ['EC:1.14.14.91'], KO:K00487
Nelumbo nucifera, 104601639, cytochrome P450 CYP73A100-like  [EC], ['EC:1.14.14.91'], KO:K00487
Nelumbo nucifera, 104593756, trans-cinnamate 4-monooxygenase  [EC], ['EC:1.14.14.91'], KO:K00487
Nelumbo nucifera, 104599133, 4-coumarate--CoA ligase 2-like  [EC], ['EC:6.2.1.12'], KO:K01904
Nelumbo nucifera, 104599134, 4-coumarate--CoA ligase 2-like  [EC], ['EC:6.2.1.12'], KO:K01904
Nelumbo nucifera, 104603180, 4-coumarate--CoA ligase 2-like  [EC], ['EC:6.2.1.12'], KO:K01904
Nelumbo nucifera, 104611494, 4-coumarate--CoA ligase 2-like  [EC], ['EC:6.2.1.12'], KO:K01904
Nelumbo nucifera, 104612676, 4-coumarate--CoA ligase-like 1  [EC], ['EC:6.2.1.12'], KO:K01904
Nelumbo nucifera, 104604518, 4-coumarate--CoA ligase-like 7  [EC], ['EC:6.2.1.12'], KO:K01904
Nelumbo nucifera, 104600350, 4-coumarate--CoA ligase 2  [EC], ['EC:6.2.1.12'], KO:K01904
Nelumbo nucifera, 104600409, 4-coumarate--CoA ligase-like 6  [EC], ['EC:6.2.1.12'], KO:K01904
Nelumbo nucifera, 104592940, 4-coumarate--CoA ligase-like 9  [EC], ['EC:6.2.1.12'], KO:K01904
Nelumbo nucifera, 104588431, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Nelumbo nucifera, 104588441, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Nelumbo nucifera, 104587191, agmatine coumaroyltransferase-2-like  [EC], ['EC:2.3.1.133'], KO:K13065
Nelumbo nucifera, 104593712, agmatine coumaroyltransferase-1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Nelumbo nucifera, 104593598, agmatine coumaroyltransferase-2-like  [EC], ['EC:2.3.1.133'], KO:K13065
Nelumbo nucifera, 104593596, agmatine coumaroyltransferase-2-like  [EC], ['EC:2.3.1.133'], KO:K13065
Nelumbo nucifera, 104593597, agmatine coumaroyltransferase-2-like  [EC], ['EC:2.3.1.133'], KO:K13065
Nelumbo nucifera, 104595887, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Nelumbo nucifera, 104603237, spermidine hydroxycinnamoyl transferase  [EC], ['EC:2.3.1.133'], KO:K13065
Nelumbo nucifera, 104603248, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Nelumbo nucifera, 104610952, agmatine coumaroyltransferase-2-like  [EC], ['EC:2.3.1.133'], KO:K13065
Nelumbo nucifera, 104609155, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Nelumbo nucifera, 104609153, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Nelumbo nucifera, 104590687, agmatine coumaroyltransferase-2-like  [EC], ['EC:2.3.1.133'], KO:K13065
Nelumbo nucifera, 104588272, cytochrome P450 98A2  [EC], ['EC:1.14.14.96'], KO:K09754
Nelumbo nucifera, 104598938, caffeoylshikimate esterase-like  [EC], ['EC:3.1.1.-'], KO:K18368
Nelumbo nucifera, 104595302, caffeoylshikimate esterase  [EC], ['EC:3.1.1.-'], KO:K18368
Nelumbo nucifera, 104594659, caffeoylshikimate esterase-like  [EC], ['EC:3.1.1.-'], KO:K18368
Nelumbo nucifera, 104602105, caffeoylshikimate esterase-like  [EC], ['EC:3.1.1.-'], KO:K18368
Nelumbo nucifera, 104602091, caffeoylshikimate esterase  [EC], ['EC:3.1.1.-'], KO:K18368
Nelumbo nucifera, 104601739, caffeoyl-CoA O-methyltransferase  [EC], ['EC:2.1.1.104'], KO:K00588
Nelumbo nucifera, 104606654, caffeoyl-CoA O-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Nelumbo nucifera, 104593275, flavonoid 3',5'-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Nelumbo nucifera, 104611136, flavonoid 3',5'-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Nelumbo nucifera, 104611137, flavonoid 3',5'-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Nelumbo nucifera, 104603320, cinnamoyl-CoA reductase 1-like  [EC], ['EC:1.2.1.44'], KO:K09753
Nelumbo nucifera, 104610717, cinnamoyl-CoA reductase 1-like  [EC], ['EC:1.2.1.44'], KO:K09753
Nelumbo nucifera, 104592609, aldehyde dehydrogenase family 2 member C4-like  [EC], ['EC:1.2.1.68'], KO:K12355
Nelumbo nucifera, 104595226, aldehyde dehydrogenase family 2 member C4-like  [EC], ['EC:1.2.1.68'], KO:K12355
Nelumbo nucifera, 104595225, aldehyde dehydrogenase family 2 member C4-like  [EC], ['EC:1.2.1.68'], KO:K12355
Nelumbo nucifera, 104607532, cytochrome P450 84A1-like  [EC], ['EC:1.14.-.-'], KO:K09755
Nelumbo nucifera, 104602031, cytochrome P450 84A1-like  [EC], ['EC:1.14.-.-'], KO:K09755
Nelumbo nucifera, 104585771, caffeic acid 3-O-methyltransferase 1  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Nelumbo nucifera, 104596816, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Nelumbo nucifera, 104601399, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Nelumbo nucifera, 104604834, caffeic acid 3-O-methyltransferase 1-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Nelumbo nucifera, 104590656, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Nelumbo nucifera, 104607310, probable cinnamyl alcohol dehydrogenase 1  [EC], ['EC:1.1.1.195'], KO:K00083
Nelumbo nucifera, 104590534, cinnamyl alcohol dehydrogenase 1  [EC], ['EC:1.1.1.195'], KO:K00083
Nelumbo nucifera, 104586226, probable cinnamyl alcohol dehydrogenase 9  [EC], ['EC:1.1.1.195'], KO:K00083
Nelumbo nucifera, 104603648, probable cinnamyl alcohol dehydrogenase 6  [EC], ['EC:1.1.1.195'], KO:K00083
Nelumbo nucifera, 104607108, 1-Cys peroxiredoxin  [EC], ['EC:1.11.1.7', 'EC:1.11.1.27', 'EC:3.1.1.-'], KO:K11188
Nelumbo nucifera, 104611250, 1-Cys peroxiredoxin-like  [EC], ['EC:1.11.1.7', 'EC:1.11.1.27', 'EC:3.1.1.-'], KO:K11188
Nelumbo nucifera, 104595750, peroxidase 31-like  [EC], ['EC:1.11.1.7'], KO:K00430
Nelumbo nucifera, 104594802, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Nelumbo nucifera, 104610931, CP; ceruloplasmin (ferroxidase)  [EC], ['EC:1.11.1.7'], KO:K00430
Nelumbo nucifera, 104600479, peroxidase 11-like  [EC], ['EC:1.11.1.7'], KO:K00430
Nelumbo nucifera, 104591960, peroxidase 41-like  [EC], ['EC:1.11.1.7'], KO:K00430
Nelumbo nucifera, 104586872, peroxidase 27-like  [EC], ['EC:1.11.1.7'], KO:K00430
Nelumbo nucifera, 104592414, peroxidase 3-like  [EC], ['EC:1.11.1.7'], KO:K00430
Nelumbo nucifera, 104608049, peroxidase 73-like  [EC], ['EC:1.11.1.7'], KO:K00430
Nelumbo nucifera, 104605427, peroxidase 10  [EC], ['EC:1.11.1.7'], KO:K00430
Nelumbo nucifera, 104605423, peroxidase 10-like  [EC], ['EC:1.11.1.7'], KO:K00430
Nelumbo nucifera, 104604497, peroxidase 17-like  [EC], ['EC:1.11.1.7'], KO:K00430
Nelumbo nucifera, 104591740, peroxidase 55-like  [EC], ['EC:1.11.1.7'], KO:K00430
Nelumbo nucifera, 104592432, peroxidase 25  [EC], ['EC:1.11.1.7'], KO:K00430
Nelumbo nucifera, 104593117, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Nelumbo nucifera, 104592873, peroxidase 51  [EC], ['EC:1.11.1.7'], KO:K00430
Nelumbo nucifera, 104593923, peroxidase 47-like  [EC], ['EC:1.11.1.7'], KO:K00430
Nelumbo nucifera, 104593960, peroxidase 72-like  [EC], ['EC:1.11.1.7'], KO:K00430
Nelumbo nucifera, 104593959, peroxidase 72-like  [EC], ['EC:1.11.1.7'], KO:K00430
Nelumbo nucifera, 104595436, putative Peroxidase 48  [EC], ['EC:1.11.1.7'], KO:K00430
Nelumbo nucifera, 104597816, peroxidase 11-like  [EC], ['EC:1.11.1.7'], KO:K00430
Nelumbo nucifera, 104599521, peroxidase 19  [EC], ['EC:1.11.1.7'], KO:K00430
Nelumbo nucifera, 104599472, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Nelumbo nucifera, 104599594, peroxidase 43-like  [EC], ['EC:1.11.1.7'], KO:K00430
Nelumbo nucifera, 104597566, peroxidase A2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Nelumbo nucifera, 104594809, peroxidase 21-like  [EC], ['EC:1.11.1.7'], KO:K00430
Nelumbo nucifera, 104597564, peroxidase N-like  [EC], ['EC:1.11.1.7'], KO:K00430
Nelumbo nucifera, 104597565, peroxidase 15-like  [EC], ['EC:1.11.1.7'], KO:K00430
Nelumbo nucifera, 104595607, peroxidase 72-like  [EC], ['EC:1.11.1.7'], KO:K00430
Nelumbo nucifera, 104597209, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Nelumbo nucifera, 104597207, peroxidase 4-like  [EC], ['EC:1.11.1.7'], KO:K00430
Nelumbo nucifera, 104595611, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Nelumbo nucifera, 104597211, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Nelumbo nucifera, 104597205, peroxidase 4-like  [EC], ['EC:1.11.1.7'], KO:K00430
Nelumbo nucifera, 104597208, peroxidase 4-like  [EC], ['EC:1.11.1.7'], KO:K00430
Nelumbo nucifera, 104599953, peroxidase 12-like  [EC], ['EC:1.11.1.7'], KO:K00430
Nelumbo nucifera, 104600106, peroxidase N1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Nelumbo nucifera, 104600008, peroxidase 3-like  [EC], ['EC:1.11.1.7'], KO:K00430
Nelumbo nucifera, 104600009, peroxidase 3-like  [EC], ['EC:1.11.1.7'], KO:K00430
Nelumbo nucifera, 104599982, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Nelumbo nucifera, 104599981, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Nelumbo nucifera, 104599952, peroxidase 12-like  [EC], ['EC:1.11.1.7'], KO:K00430
Nelumbo nucifera, 104599983, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Nelumbo nucifera, 104603565, peroxidase A2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Nelumbo nucifera, 104603563, peroxidase N  [EC], ['EC:1.11.1.7'], KO:K00430
