Tripterygium wilfordii, 119988554, phenylalanine ammonia-lyase  [EC], ['EC:4.3.1.24'], KO:K10775
Tripterygium wilfordii, 119989362, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Tripterygium wilfordii, 120013902, phenylalanine ammonia-lyase  [EC], ['EC:4.3.1.24'], KO:K10775
Tripterygium wilfordii, 119991195, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Tripterygium wilfordii, 120005523, phenylalanine ammonia-lyase G4  [EC], ['EC:4.3.1.24'], KO:K10775
Tripterygium wilfordii, 119998706, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Tripterygium wilfordii, 120001790, trans-cinnamate 4-monooxygenase  [EC], ['EC:1.14.14.91'], KO:K00487
Tripterygium wilfordii, 119991267, trans-cinnamate 4-monooxygenase  [EC], ['EC:1.14.14.91'], KO:K00487
Tripterygium wilfordii, 119997446, cytochrome P450 CYP73A100-like  [EC], ['EC:1.14.14.91'], KO:K00487
Tripterygium wilfordii, 119990364, 4-coumarate--CoA ligase-like 1  [EC], ['EC:6.2.1.12'], KO:K01904
Tripterygium wilfordii, 120002918, 4-coumarate--CoA ligase-like 7  [EC], ['EC:6.2.1.12'], KO:K01904
Tripterygium wilfordii, 120016430, 4-coumarate--CoA ligase-like 6  [EC], ['EC:6.2.1.12'], KO:K01904
Tripterygium wilfordii, 119994374, 4-coumarate--CoA ligase 1-like  [EC], ['EC:6.2.1.12'], KO:K01904
Tripterygium wilfordii, 119995799, 4-coumarate--CoA ligase 2-like  [EC], ['EC:6.2.1.12'], KO:K01904
Tripterygium wilfordii, 119984381, 4-coumarate--CoA ligase-like 9  [EC], ['EC:6.2.1.12'], KO:K01904
Tripterygium wilfordii, 119997307, 4-coumarate--CoA ligase 2-like  [EC], ['EC:6.2.1.12'], KO:K01904
Tripterygium wilfordii, 119985771, 4-coumarate--CoA ligase-like 9 isoform X1  [EC], ['EC:6.2.1.12'], KO:K01904
Tripterygium wilfordii, 119999882, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Tripterygium wilfordii, 120000985, omega-hydroxypalmitate O-feruloyl transferase  [EC], ['EC:2.3.1.133'], KO:K13065
Tripterygium wilfordii, 119991898, spermidine hydroxycinnamoyl transferase  [EC], ['EC:2.3.1.133'], KO:K13065
Tripterygium wilfordii, 119992065, shikimate O-hydroxycinnamoyltransferase-like isoform X1  [EC], ['EC:2.3.1.133'], KO:K13065
Tripterygium wilfordii, 119992702, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Tripterygium wilfordii, 120004947, agmatine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Tripterygium wilfordii, 119993055, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
