Morus notabilis, 112091300, chalcone synthase 2-like  [EC], ['EC:2.3.1.74'], KO:K00660
Morus notabilis, 112091303, chalcone synthase 2-like  [EC], ['EC:2.3.1.74'], KO:K00660
Morus notabilis, 21411675, chalcone synthase 2  [EC], ['EC:2.3.1.74'], KO:K00660
Morus notabilis, 21411755, chalcone synthase  [EC], ['EC:2.3.1.74'], KO:K00660
Morus notabilis, 21411756, chalcone synthase 2  [EC], ['EC:2.3.1.74'], KO:K00660
Morus notabilis, 21411841, chalcone synthase 2  [EC], ['EC:2.3.1.74'], KO:K00660
Morus notabilis, 21412156, chalcone synthase 2  [EC], ['EC:2.3.1.74'], KO:K00660
Morus notabilis, 21412237, chalcone synthase 2  [EC], ['EC:2.3.1.74'], KO:K00660
Morus notabilis, 21412323, chalcone synthase 2  [EC], ['EC:2.3.1.74'], KO:K00660
Morus notabilis, 21412324, chalcone synthase 2  [EC], ['EC:2.3.1.74'], KO:K00660
Morus notabilis, 21412648, chalcone synthase 2  [EC], ['EC:2.3.1.74'], KO:K00660
Morus notabilis, 21412870, chalcone synthase 2  [EC], ['EC:2.3.1.74'], KO:K00660
Morus notabilis, 21412871, chalcone synthase 2  [EC], ['EC:2.3.1.74'], KO:K00660
Morus notabilis, 21412872, chalcone synthase 2 isoform X1  [EC], ['EC:2.3.1.74'], KO:K00660
Morus notabilis, 21412879, chalcone synthase 2  [EC], ['EC:2.3.1.74'], KO:K00660
Morus notabilis, 21412880, chalcone synthase 2  [EC], ['EC:2.3.1.74'], KO:K00660
Morus notabilis, 112094616, chalcone synthase-like  [EC], ['EC:2.3.1.74'], KO:K00660
Morus notabilis, 112094960, chalcone synthase 2-like  [EC], ['EC:2.3.1.74'], KO:K00660
Morus notabilis, 112095010, chalcone synthase-like  [EC], ['EC:2.3.1.74'], KO:K00660
Morus notabilis, 21397822, chalcone synthase  [EC], ['EC:2.3.1.74'], KO:K00660
Morus notabilis, 21400912, chalcone synthase  [EC], ['EC:2.3.1.74'], KO:K00660
Morus notabilis, 21400913, chalcone synthase  [EC], ['EC:2.3.1.74'], KO:K00660
Morus notabilis, 21394508, probable chalcone--flavonone isomerase 3  [EC], ['EC:5.5.1.6'], KO:K01859
Morus notabilis, 112095175, probable chalcone--flavonone isomerase 3  [EC], ['EC:5.5.1.6'], KO:K01859
Morus notabilis, 21400267, chalcone--flavonone isomerase  [EC], ['EC:5.5.1.6'], KO:K01859
Morus notabilis, 21400268, chalcone--flavonone isomerase  [EC], ['EC:5.5.1.6'], KO:K01859
Morus notabilis, 21409326, naringenin,2-oxoglutarate 3-dioxygenase  [EC], ['EC:1.14.11.9'], KO:K00475
Morus notabilis, 21396296, flavonol synthase/flavanone 3-hydroxylase  [EC], ['EC:1.14.20.6'], KO:K05278
Morus notabilis, 21403067, flavonol synthase/flavanone 3-hydroxylase  [EC], ['EC:1.14.20.6'], KO:K05278
Morus notabilis, 21406496, flavonol synthase/flavanone 3-hydroxylase  [EC], ['EC:1.14.20.6'], KO:K05278
Morus notabilis, 21406497, flavonol synthase/flavanone 3-hydroxylase  [EC], ['EC:1.14.20.6'], KO:K05278
Morus notabilis, 21406498, flavonol synthase/flavanone 3-hydroxylase  [EC], ['EC:1.14.20.6'], KO:K05278
Morus notabilis, 21394524, trans-cinnamate 4-monooxygenase  [EC], ['EC:1.14.14.91'], KO:K00487
Morus notabilis, 21401756, trans-cinnamate 4-monooxygenase  [EC], ['EC:1.14.14.91'], KO:K00487
Morus notabilis, 21391595, LOW QUALITY PROTEIN: cytochrome P450 CYP73A100  [EC], ['EC:1.14.14.91'], KO:K00487
Morus notabilis, 21388201, flavonoid 3'-monooxygenase  [EC], ['EC:1.14.14.82'], KO:K05280
Morus notabilis, 21388202, flavonoid 3'-monooxygenase  [EC], ['EC:1.14.14.82'], KO:K05280
Morus notabilis, 21384592, bifunctional dihydroflavonol 4-reductase/flavanone 4-reductase  [EC], ['EC:1.1.1.219', 'EC:1.1.1.234'], KO:K13082
Morus notabilis, 21404779, bifunctional dihydroflavonol 4-reductase/flavanone 4-reductase  [EC], ['EC:1.1.1.219', 'EC:1.1.1.234'], KO:K13082
Morus notabilis, 21405925, leucoanthocyanidin dioxygenase  [EC], ['EC:1.14.20.4'], KO:K05277
Morus notabilis, 21397956, anthocyanidin reductase ((2S)-flavan-3-ol-forming)  [EC], ['EC:1.3.1.77'], KO:K08695
Morus notabilis, 112091008, leucoanthocyanidin reductase-like  [EC], ['EC:1.17.1.3'], KO:K13081
Morus notabilis, 21405124, leucoanthocyanidin reductase  [EC], ['EC:1.17.1.3'], KO:K13081
Morus notabilis, 21391667, UDP-glycosyltransferase 88F5  [EC], ['EC:2.4.1.357'], KO:K22845
Morus notabilis, 21391669, UDP-glycosyltransferase 88F3  [EC], ['EC:2.4.1.357'], KO:K22845
Morus notabilis, 21393300, fatty alcohol:caffeoyl-CoA acyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Morus notabilis, 21410213, vinorine synthase  [EC], ['EC:2.3.1.133'], KO:K13065
Morus notabilis, 21410214, vinorine synthase  [EC], ['EC:2.3.1.133'], KO:K13065
Morus notabilis, 21410215, vinorine synthase  [EC], ['EC:2.3.1.133'], KO:K13065
Morus notabilis, 21410216, vinorine synthase  [EC], ['EC:2.3.1.133'], KO:K13065
Morus notabilis, 112095183, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Morus notabilis, 21384092, shikimate O-hydroxycinnamoyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Morus notabilis, 21399777, spermidine hydroxycinnamoyl transferase  [EC], ['EC:2.3.1.133'], KO:K13065
Morus notabilis, 21400056, vinorine synthase  [EC], ['EC:2.3.1.133'], KO:K13065
Morus notabilis, 21400523, shikimate O-hydroxycinnamoyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Morus notabilis, 21400524, shikimate O-hydroxycinnamoyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Morus notabilis, 21401056, shikimate O-hydroxycinnamoyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Morus notabilis, 21403292, shikimate O-hydroxycinnamoyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Morus notabilis, 21392557, spermidine hydroxycinnamoyl transferase  [EC], ['EC:2.3.1.133'], KO:K13065
Morus notabilis, 21410476, cytochrome P450 98A2  [EC], ['EC:1.14.14.96'], KO:K09754
Morus notabilis, 21409862, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Morus notabilis, 21410121, caffeoyl-CoA O-methyltransferase  [EC], ['EC:2.1.1.104'], KO:K00588
