Quercus lobata, 115976049, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Quercus lobata, 115976061, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Quercus lobata, 115952784, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Quercus lobata, 115953247, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Quercus lobata, 115955447, phenylalanine ammonia-lyase  [EC], ['EC:4.3.1.24'], KO:K10775
Quercus lobata, 115973405, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Quercus lobata, 115973406, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Quercus lobata, 115967336, cytochrome P450 CYP73A100-like  [EC], ['EC:1.14.14.91'], KO:K00487
Quercus lobata, 115984444, trans-cinnamate 4-monooxygenase  [EC], ['EC:1.14.14.91'], KO:K00487
Quercus lobata, 115957238, trans-cinnamate 4-monooxygenase-like  [EC], ['EC:1.14.14.91'], KO:K00487
Quercus lobata, 115959909, 4-coumarate--CoA ligase 2-like  [EC], ['EC:6.2.1.12'], KO:K01904
Quercus lobata, 115977413, 4-coumarate--CoA ligase 1-like  [EC], ['EC:6.2.1.12'], KO:K01904
Quercus lobata, 115979124, 4-coumarate--CoA ligase-like 1  [EC], ['EC:6.2.1.12'], KO:K01904
Quercus lobata, 115980792, 4-coumarate--CoA ligase-like 7 isoform X1  [EC], ['EC:6.2.1.12'], KO:K01904
Quercus lobata, 115980803, 4-coumarate--CoA ligase-like 7  [EC], ['EC:6.2.1.12'], KO:K01904
Quercus lobata, 115952084, 4-coumarate--CoA ligase-like 7  [EC], ['EC:6.2.1.12'], KO:K01904
Quercus lobata, 115972178, 4-coumarate--CoA ligase-like 6  [EC], ['EC:6.2.1.12'], KO:K01904
Quercus lobata, 115991786, 4-coumarate--CoA ligase 2-like  [EC], ['EC:6.2.1.12'], KO:K01904
Quercus lobata, 115991962, 4-coumarate--CoA ligase-like 7  [EC], ['EC:6.2.1.12'], KO:K01904
Quercus lobata, 115961871, stemmadenine O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Quercus lobata, 115961872, stemmadenine O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Quercus lobata, 115978811, stemmadenine O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Quercus lobata, 115964240, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Quercus lobata, 115964895, acetyl-CoA-benzylalcohol acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Quercus lobata, 115980690, stemmadenine O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Quercus lobata, 115981097, stemmadenine O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Quercus lobata, 115981099, stemmadenine O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Quercus lobata, 115982090, stemmadenine O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Quercus lobata, 115950297, stemmadenine O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Quercus lobata, 115968664, spermidine hydroxycinnamoyl transferase  [EC], ['EC:2.3.1.133'], KO:K13065
Quercus lobata, 115951637, (13S,14R)-1,13-dihydroxy-N-methylcanadine 13-O-acetyltransferase AT1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Quercus lobata, 115969064, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Quercus lobata, 115969075, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Quercus lobata, 115988388, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
