Erythranthe guttata, 105955553, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Erythranthe guttata, 105956685, phenylalanine ammonia-lyase  [EC], ['EC:4.3.1.24'], KO:K10775
Erythranthe guttata, 105961230, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Erythranthe guttata, 105958605, trans-cinnamate 4-monooxygenase-like  [EC], ['EC:1.14.14.91'], KO:K00487
Erythranthe guttata, 105958637, trans-cinnamate 4-monooxygenase  [EC], ['EC:1.14.14.91'], KO:K00487
Erythranthe guttata, 105958638, trans-cinnamate 4-monooxygenase-like  [EC], ['EC:1.14.14.91'], KO:K00487
Erythranthe guttata, 105958639, trans-cinnamate 4-monooxygenase-like  [EC], ['EC:1.14.14.91'], KO:K00487
Erythranthe guttata, 105962128, trans-cinnamate 4-monooxygenase  [EC], ['EC:1.14.14.91'], KO:K00487
Erythranthe guttata, 105972359, 4-coumarate--CoA ligase 1-like  [EC], ['EC:6.2.1.12'], KO:K01904
Erythranthe guttata, 105973719, 4-coumarate--CoA ligase-like 6  [EC], ['EC:6.2.1.12'], KO:K01904
Erythranthe guttata, 105949110, 4-coumarate--CoA ligase-like 7  [EC], ['EC:6.2.1.12'], KO:K01904
Erythranthe guttata, 105960925, 4-coumarate--CoA ligase-like 1  [EC], ['EC:6.2.1.12'], KO:K01904
Erythranthe guttata, 105974121, 4-coumarate--CoA ligase-like 9  [EC], ['EC:6.2.1.12'], KO:K01904
Erythranthe guttata, 105975982, 4-coumarate--CoA ligase 1-like  [EC], ['EC:6.2.1.12'], KO:K01904
Erythranthe guttata, 105951686, 4-coumarate--CoA ligase-like 9  [EC], ['EC:6.2.1.12'], KO:K01904
Erythranthe guttata, 105952315, 4-coumarate--CoA ligase 1-like  [EC], ['EC:6.2.1.12'], KO:K01904
Erythranthe guttata, 105964102, 4-coumarate--CoA ligase 2-like  [EC], ['EC:6.2.1.12'], KO:K01904
Erythranthe guttata, 105977563, 4-coumarate--CoA ligase 2  [EC], ['EC:6.2.1.12'], KO:K01904
Erythranthe guttata, 105965863, pelargonidin 3-O-(6-caffeoylglucoside) 5-O-(6-O-malonylglucoside) 4'''-malonyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Erythranthe guttata, 105953948, pelargonidin 3-O-(6-caffeoylglucoside) 5-O-(6-O-malonylglucoside) 4'''-malonyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Erythranthe guttata, 105955258, omega-hydroxypalmitate O-feruloyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Erythranthe guttata, 105955464, LOW QUALITY PROTEIN: omega-hydroxypalmitate O-feruloyl transferase  [EC], ['EC:2.3.1.133'], KO:K13065
Erythranthe guttata, 105969791, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Erythranthe guttata, 105969990, spermidine hydroxycinnamoyl transferase  [EC], ['EC:2.3.1.133'], KO:K13065
Erythranthe guttata, 105970266, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Erythranthe guttata, 105958535, agmatine coumaroyltransferase-2-like  [EC], ['EC:2.3.1.133'], KO:K13065
Erythranthe guttata, 105971168, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Erythranthe guttata, 105971169, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Erythranthe guttata, 105959093, agmatine coumaroyltransferase-2-like  [EC], ['EC:2.3.1.133'], KO:K13065
Erythranthe guttata, 105972227, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Erythranthe guttata, 105972349, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Erythranthe guttata, 105972350, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Erythranthe guttata, 105972397, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Erythranthe guttata, 105972425, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Erythranthe guttata, 105972748, benzyl alcohol O-benzoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Erythranthe guttata, 105972757, omega-hydroxypalmitate O-feruloyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
