Triticum dicoccoides, 119326421, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Triticum dicoccoides, 119326448, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Triticum dicoccoides, 119364987, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Triticum dicoccoides, 119364990, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Triticum dicoccoides, 119364991, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Triticum dicoccoides, 119364992, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Triticum dicoccoides, 119312374, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Triticum dicoccoides, 119367766, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Triticum dicoccoides, 119317182, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Triticum dicoccoides, 119317183, phenylalanine ammonia-lyase  [EC], ['EC:4.3.1.24'], KO:K10775
Triticum dicoccoides, 119317577, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Triticum dicoccoides, 119317588, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Triticum dicoccoides, 119317599, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Triticum dicoccoides, 119317608, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Triticum dicoccoides, 119354057, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Triticum dicoccoides, 119354220, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Triticum dicoccoides, 119355847, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Triticum dicoccoides, 119355848, phenylalanine ammonia-lyase  [EC], ['EC:4.3.1.24'], KO:K10775
Triticum dicoccoides, 119360139, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Triticum dicoccoides, 119360153, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Triticum dicoccoides, 119360164, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Triticum dicoccoides, 119360175, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Triticum dicoccoides, 119287720, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Triticum dicoccoides, 119324608, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Triticum dicoccoides, 119363245, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Triticum dicoccoides, 119363247, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Triticum dicoccoides, 119317181, phenylalanine ammonia-lyase  [EC], ['EC:4.3.1.25'], KO:K13064
Triticum dicoccoides, 119320474, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.25'], KO:K13064
Triticum dicoccoides, 119364280, trans-cinnamate 4-monooxygenase-like  [EC], ['EC:1.14.14.91'], KO:K00487
Triticum dicoccoides, 119292174, trans-cinnamate 4-monooxygenase-like  [EC], ['EC:1.14.14.91'], KO:K00487
Triticum dicoccoides, 119277409, trans-cinnamate 4-monooxygenase  [EC], ['EC:1.14.14.91'], KO:K00487
Triticum dicoccoides, 119367479, cytochrome P450 CYP73A100-like  [EC], ['EC:1.14.14.91'], KO:K00487
Triticum dicoccoides, 119332146, cytochrome P450 CYP73A100-like  [EC], ['EC:1.14.14.91'], KO:K00487
Triticum dicoccoides, 119335496, cytochrome P450 CYP73A100-like  [EC], ['EC:1.14.14.91'], KO:K00487
Triticum dicoccoides, 119267500, trans-cinnamate 4-monooxygenase-like  [EC], ['EC:1.14.14.91'], KO:K00487
Triticum dicoccoides, 119269412, trans-cinnamate 4-monooxygenase  [EC], ['EC:1.14.14.91'], KO:K00487
Triticum dicoccoides, 119304265, trans-cinnamate 4-monooxygenase-like  [EC], ['EC:1.14.14.91'], KO:K00487
Triticum dicoccoides, 119275330, trans-cinnamate 4-monooxygenase-like  [EC], ['EC:1.14.14.91'], KO:K00487
Triticum dicoccoides, 119343762, 4-coumarate--CoA ligase-like 5  [EC], ['EC:6.2.1.12'], KO:K01904
Triticum dicoccoides, 119329317, probable 4-coumarate--CoA ligase 4  [EC], ['EC:6.2.1.12'], KO:K01904
Triticum dicoccoides, 119277840, 4-coumarate--CoA ligase-like 5  [EC], ['EC:6.2.1.12'], KO:K01904
Triticum dicoccoides, 119295082, 4-coumarate--CoA ligase-like 7  [EC], ['EC:6.2.1.12'], KO:K01904
Triticum dicoccoides, 119295086, 4-coumarate--CoA ligase-like 7  [EC], ['EC:6.2.1.12'], KO:K01904
Triticum dicoccoides, 119295087, 4-coumarate--CoA ligase-like 7  [EC], ['EC:6.2.1.12'], KO:K01904
Triticum dicoccoides, 119313051, 4-coumarate--CoA ligase-like 7  [EC], ['EC:6.2.1.12'], KO:K01904
Triticum dicoccoides, 119278482, 4-coumarate--CoA ligase-like 7 isoform X1  [EC], ['EC:6.2.1.12'], KO:K01904
Triticum dicoccoides, 119367787, 4-coumarate--CoA ligase-like 9  [EC], ['EC:6.2.1.12'], KO:K01904
Triticum dicoccoides, 119316312, probable 4-coumarate--CoA ligase 3  [EC], ['EC:6.2.1.12'], KO:K01904
Triticum dicoccoides, 119353606, probable 4-coumarate--CoA ligase 5  [EC], ['EC:6.2.1.12'], KO:K01904
Triticum dicoccoides, 119317512, probable 4-coumarate--CoA ligase 2  [EC], ['EC:6.2.1.12'], KO:K01904
Triticum dicoccoides, 119284742, 4-coumarate--CoA ligase-like 1  [EC], ['EC:6.2.1.12'], KO:K01904
Triticum dicoccoides, 119336722, probable 4-coumarate--CoA ligase 4  [EC], ['EC:6.2.1.12'], KO:K01904
Triticum dicoccoides, 119321240, probable 4-coumarate--CoA ligase 3  [EC], ['EC:6.2.1.12'], KO:K01904
Triticum dicoccoides, 119269833, 4-coumarate--CoA ligase-like 5  [EC], ['EC:6.2.1.12'], KO:K01904
Triticum dicoccoides, 119269834, 4-coumarate--CoA ligase-like 5  [EC], ['EC:6.2.1.12'], KO:K01904
Triticum dicoccoides, 119286667, 4-coumarate--CoA ligase-like 7  [EC], ['EC:6.2.1.12'], KO:K01904
Triticum dicoccoides, 119286669, 4-coumarate--CoA ligase-like 7  [EC], ['EC:6.2.1.12'], KO:K01904
Triticum dicoccoides, 119286670, 4-coumarate--CoA ligase-like 5  [EC], ['EC:6.2.1.12'], KO:K01904
Triticum dicoccoides, 119359452, 4-coumarate--CoA ligase-like 9  [EC], ['EC:6.2.1.12'], KO:K01904
Triticum dicoccoides, 119270355, 4-coumarate--CoA ligase-like 7 isoform X1  [EC], ['EC:6.2.1.12'], KO:K01904
Triticum dicoccoides, 119305733, 4-coumarate--CoA ligase-like 3  [EC], ['EC:6.2.1.12'], KO:K01904
Triticum dicoccoides, 119273616, 4-coumarate--CoA ligase-like 3  [EC], ['EC:6.2.1.12'], KO:K01904
Triticum dicoccoides, 119325433, probable 4-coumarate--CoA ligase 2  [EC], ['EC:6.2.1.12'], KO:K01904
Triticum dicoccoides, 119362773, probable 4-coumarate--CoA ligase 5 isoform X1  [EC], ['EC:6.2.1.12'], KO:K01904
Triticum dicoccoides, 119291428, 4-coumarate--CoA ligase-like 1  [EC], ['EC:6.2.1.12'], KO:K01904
Triticum dicoccoides, 119309641, putrescine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Triticum dicoccoides, 119326443, putrescine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Triticum dicoccoides, 119343505, putrescine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Triticum dicoccoides, 119344793, putrescine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
