Morus notabilis, 21407112, phenylalanine ammonia-lyase class 1  [EC], ['EC:4.3.1.24'], KO:K10775
Morus notabilis, 21407113, phenylalanine ammonia-lyase 1 isoform X1  [EC], ['EC:4.3.1.24'], KO:K10775
Morus notabilis, 21407114, phenylalanine ammonia-lyase  [EC], ['EC:4.3.1.24'], KO:K10775
Morus notabilis, 21407115, phenylalanine ammonia-lyase 1  [EC], ['EC:4.3.1.24'], KO:K10775
Morus notabilis, 21409963, phenylalanine ammonia-lyase  [EC], ['EC:4.3.1.24'], KO:K10775
Morus notabilis, 21384641, phenylalanine ammonia-lyase  [EC], ['EC:4.3.1.24'], KO:K10775
Morus notabilis, 21394524, trans-cinnamate 4-monooxygenase  [EC], ['EC:1.14.14.91'], KO:K00487
Morus notabilis, 21401756, trans-cinnamate 4-monooxygenase  [EC], ['EC:1.14.14.91'], KO:K00487
Morus notabilis, 21391595, LOW QUALITY PROTEIN: cytochrome P450 CYP73A100  [EC], ['EC:1.14.14.91'], KO:K00487
Morus notabilis, 21411370, 4-coumarate--CoA ligase-like 9  [EC], ['EC:6.2.1.12'], KO:K01904
Morus notabilis, 112095287, 4-coumarate--CoA ligase-like 6  [EC], ['EC:6.2.1.12'], KO:K01904
Morus notabilis, 21384166, 4-coumarate--CoA ligase-like 9  [EC], ['EC:6.2.1.12'], KO:K01904
Morus notabilis, 21384962, 4-coumarate--CoA ligase 1  [EC], ['EC:6.2.1.12'], KO:K01904
Morus notabilis, 21399895, 4-coumarate--CoA ligase-like 6 isoform X2  [EC], ['EC:6.2.1.12'], KO:K01904
Morus notabilis, 21386277, 4-coumarate--CoA ligase-like 7 isoform X1  [EC], ['EC:6.2.1.12'], KO:K01904
Morus notabilis, 21400434, 4-coumarate--CoA ligase-like 1  [EC], ['EC:6.2.1.12'], KO:K01904
Morus notabilis, 21389091, 4-coumarate--CoA ligase-like 6  [EC], ['EC:6.2.1.12'], KO:K01904
Morus notabilis, 21389140, 4-coumarate--CoA ligase 2  [EC], ['EC:6.2.1.12'], KO:K01904
Morus notabilis, 21402620, 4-coumarate--CoA ligase 2  [EC], ['EC:6.2.1.12'], KO:K01904
Morus notabilis, 21403500, 4-coumarate--CoA ligase-like 7  [EC], ['EC:6.2.1.12'], KO:K01904
Morus notabilis, 21405618, 4-coumarate--CoA ligase-like 6  [EC], ['EC:6.2.1.12'], KO:K01904
Morus notabilis, 21392561, 4-coumarate--CoA ligase 1  [EC], ['EC:6.2.1.12'], KO:K01904
Morus notabilis, 21393300, fatty alcohol:caffeoyl-CoA acyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Morus notabilis, 21410213, vinorine synthase  [EC], ['EC:2.3.1.133'], KO:K13065
Morus notabilis, 21410214, vinorine synthase  [EC], ['EC:2.3.1.133'], KO:K13065
Morus notabilis, 21410215, vinorine synthase  [EC], ['EC:2.3.1.133'], KO:K13065
Morus notabilis, 21410216, vinorine synthase  [EC], ['EC:2.3.1.133'], KO:K13065
Morus notabilis, 112095183, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
