Camellia sinensis, 114322151, chalcone synthase 3-like  [EC], ['EC:2.3.1.74'], KO:K00660
Camellia sinensis, 114323032, chalcone synthase 1-like  [EC], ['EC:2.3.1.74'], KO:K00660
Camellia sinensis, 114282078, chalcone synthase 2  [EC], ['EC:2.3.1.74'], KO:K00660
Camellia sinensis, 114265609, polyketide synthase BAS-like  [EC], ['EC:2.3.1.74'], KO:K00660
Camellia sinensis, 114270235, chalcone synthase 1  [EC], ['EC:2.3.1.74'], KO:K00660
Camellia sinensis, 114270236, chalcone synthase 3  [EC], ['EC:2.3.1.74'], KO:K00660
Camellia sinensis, 114270238, chalcone synthase 3-like  [EC], ['EC:2.3.1.74'], KO:K00660
Camellia sinensis, 114293526, chalcone synthase 1-like  [EC], ['EC:2.3.1.74'], KO:K00660
Camellia sinensis, 114317118, chalcone--flavonone isomerase-like isoform X1  [EC], ['EC:5.5.1.6'], KO:K01859
Camellia sinensis, 114288973, uncharacterized protein LOC114288973  [EC], ['EC:5.5.1.6'], KO:K01859
Camellia sinensis, 114292457, chalcone--flavonone isomerase  [EC], ['EC:5.5.1.6'], KO:K01859
Camellia sinensis, 114272719, probable chalcone--flavonone isomerase 3  [EC], ['EC:5.5.1.6'], KO:K01859
Camellia sinensis, 114306386, naringenin,2-oxoglutarate 3-dioxygenase  [EC], ['EC:1.14.11.9'], KO:K00475
Camellia sinensis, 114305452, naringenin,2-oxoglutarate 3-dioxygenase  [EC], ['EC:1.14.11.9'], KO:K00475
Camellia sinensis, 114314253, flavonol synthase/flavanone 3-hydroxylase-like  [EC], ['EC:1.14.20.6'], KO:K05278
Camellia sinensis, 114283320, flavonol synthase/flavanone 3-hydroxylase-like  [EC], ['EC:1.14.20.6'], KO:K05278
Camellia sinensis, 114257498, flavonol synthase/flavanone 3-hydroxylase-like isoform X1  [EC], ['EC:1.14.20.6'], KO:K05278
Camellia sinensis, 114257531, flavonol synthase/flavanone 3-hydroxylase-like  [EC], ['EC:1.14.20.6'], KO:K05278
Camellia sinensis, 114260674, LOW QUALITY PROTEIN: trans-cinnamate 4-monooxygenase-like  [EC], ['EC:1.14.14.91'], KO:K00487
Camellia sinensis, 114288944, trans-cinnamate 4-monooxygenase  [EC], ['EC:1.14.14.91'], KO:K00487
Camellia sinensis, 114322163, licodione synthase-like  [EC], ['EC:1.14.19.76'], KO:K23179
Camellia sinensis, 114307649, licodione synthase-like  [EC], ['EC:1.14.19.76'], KO:K23179
Camellia sinensis, 114286595, licodione synthase-like  [EC], ['EC:1.14.19.76'], KO:K23179
Camellia sinensis, 114296673, licodione synthase-like  [EC], ['EC:1.14.19.76'], KO:K23179
Camellia sinensis, 114310487, flavonoid 3'-monooxygenase  [EC], ['EC:1.14.14.82'], KO:K05280
Camellia sinensis, 114306385, dihydroflavonol 4-reductase-like  [EC], ['EC:1.1.1.219', 'EC:1.1.1.234'], KO:K13082
Camellia sinensis, 114263316, dihydroflavonol 4-reductase-like  [EC], ['EC:1.1.1.219', 'EC:1.1.1.234'], KO:K13082
Camellia sinensis, 114299086, dihydroflavonol 4-reductase-like isoform X1  [EC], ['EC:1.1.1.219', 'EC:1.1.1.234'], KO:K13082
Camellia sinensis, 114299087, dihydroflavonol 4-reductase-like  [EC], ['EC:1.1.1.219', 'EC:1.1.1.234'], KO:K13082
Camellia sinensis, 114309335, flavonoid 3',5'-hydroxylase 2-like  [EC], ['EC:1.14.14.81'], KO:K13083
Camellia sinensis, 114309343, LOW QUALITY PROTEIN: flavonoid 3',5'-hydroxylase 2-like  [EC], ['EC:1.14.14.81'], KO:K13083
Camellia sinensis, 114261298, flavonoid 3',5'-hydroxylase 1-like  [EC], ['EC:1.14.14.81'], KO:K13083
Camellia sinensis, 114276755, flavonoid 3',5'-hydroxylase 1-like  [EC], ['EC:1.14.14.81'], KO:K13083
Camellia sinensis, 114288034, leucoanthocyanidin dioxygenase-like  [EC], ['EC:1.14.20.4'], KO:K05277
Camellia sinensis, 114274940, leucoanthocyanidin dioxygenase-like  [EC], ['EC:1.14.20.4'], KO:K05277
Camellia sinensis, 114297899, anthocyanidin reductase ((2S)-flavan-3-ol-forming)-like  [EC], ['EC:1.3.1.77'], KO:K08695
Camellia sinensis, 114259095, anthocyanidin reductase ((2S)-flavan-3-ol-forming)  [EC], ['EC:1.3.1.77'], KO:K08695
Camellia sinensis, 114323746, leucoanthocyanidin reductase-like isoform X1  [EC], ['EC:1.17.1.3'], KO:K13081
Camellia sinensis, 114263727, leucoanthocyanidin reductase-like  [EC], ['EC:1.17.1.3'], KO:K13081
Camellia sinensis, 114266906, leucoanthocyanidin reductase-like  [EC], ['EC:1.17.1.3'], KO:K13081
Camellia sinensis, 114308797, flavanone 7-O-glucoside 2''-O-beta-L-rhamnosyltransferase-like  [EC], ['EC:2.4.1.236'], KO:K13080
Camellia sinensis, 114308798, LOW QUALITY PROTEIN: flavanone 7-O-glucoside 2''-O-beta-L-rhamnosyltransferase-like  [EC], ['EC:2.4.1.236'], KO:K13080
Camellia sinensis, 114308813, flavanone 7-O-glucoside 2''-O-beta-L-rhamnosyltransferase-like  [EC], ['EC:2.4.1.236'], KO:K13080
Camellia sinensis, 114323023, UDP-glycosyltransferase 88F5-like  [EC], ['EC:2.4.1.357'], KO:K22845
Camellia sinensis, 114284897, LOW QUALITY PROTEIN: UDP-glycosyltransferase 88F5-like  [EC], ['EC:2.4.1.357'], KO:K22845
Camellia sinensis, 114310244, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Camellia sinensis, 114313883, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Camellia sinensis, 114313884, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
