Physcomitrium patens, 112273833, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Physcomitrium patens, 112273834, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Physcomitrium patens, 112278877, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Physcomitrium patens, 112276937, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Physcomitrium patens, 112277636, phenylalanine ammonia-lyase class 1-like  [EC], ['EC:4.3.1.24'], KO:K10775
Physcomitrium patens, 112285521, phenylalanine ammonia-lyase class 1-like  [EC], ['EC:4.3.1.24'], KO:K10775
Physcomitrium patens, 112290398, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Physcomitrium patens, 112290843, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Physcomitrium patens, 112291346, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Physcomitrium patens, 112286715, phenylalanine ammonia-lyase class 1-like  [EC], ['EC:4.3.1.24'], KO:K10775
Physcomitrium patens, 112287672, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Physcomitrium patens, 112295966, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Physcomitrium patens, 112294398, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Physcomitrium patens, 112277388, trans-cinnamate 4-monooxygenase-like  [EC], ['EC:1.14.14.91'], KO:K00487
Physcomitrium patens, 112281483, trans-cinnamate 4-monooxygenase-like  [EC], ['EC:1.14.14.91'], KO:K00487
Physcomitrium patens, 112279424, trans-cinnamate 4-monooxygenase-like  [EC], ['EC:1.14.14.91'], KO:K00487
Physcomitrium patens, 112290352, trans-cinnamate 4-monooxygenase-like  [EC], ['EC:1.14.14.91'], KO:K00487
Physcomitrium patens, 112272825, 4-coumarate--CoA ligase-like  [EC], ['EC:6.2.1.12'], KO:K01904
Physcomitrium patens, 112279854, 4-coumarate--CoA ligase-like 7  [EC], ['EC:6.2.1.12'], KO:K01904
Physcomitrium patens, 112279622, 4-coumarate--CoA ligase-like 1  [EC], ['EC:6.2.1.12'], KO:K01904
Physcomitrium patens, 112273830, 4-coumarate--CoA ligase-like  [EC], ['EC:6.2.1.12'], KO:K01904
Physcomitrium patens, 112274681, 4-coumarate--CoA ligase-like  [EC], ['EC:6.2.1.12'], KO:K01904
Physcomitrium patens, 112295246, 4-coumarate--CoA ligase-like  [EC], ['EC:6.2.1.12'], KO:K01904
Physcomitrium patens, 112286600, 4-coumarate--CoA ligase-like 5  [EC], ['EC:6.2.1.12'], KO:K01904
Physcomitrium patens, 112290518, 4-coumarate--CoA ligase-like 7  [EC], ['EC:6.2.1.12'], KO:K01904
Physcomitrium patens, 112285944, 4-coumarate--CoA ligase-like 1  [EC], ['EC:6.2.1.12'], KO:K01904
Physcomitrium patens, 112274047, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Physcomitrium patens, 112275159, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Physcomitrium patens, 112275054, agmatine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Physcomitrium patens, 112275357, agmatine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Physcomitrium patens, 112278540, hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Physcomitrium patens, 112278247, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Physcomitrium patens, 112280237, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Physcomitrium patens, 112282400, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Physcomitrium patens, 112284629, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Physcomitrium patens, 112293457, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Physcomitrium patens, 112275074, cytochrome P450 98A3-like  [EC], ['EC:1.14.14.96'], KO:K09754
Physcomitrium patens, 112272719, caffeoylshikimate esterase-like isoform X1  [EC], ['EC:3.1.1.-'], KO:K18368
Physcomitrium patens, 112284351, caffeoylshikimate esterase-like  [EC], ['EC:3.1.1.-'], KO:K18368
Physcomitrium patens, 112275260, caffeoylshikimate esterase-like  [EC], ['EC:3.1.1.-'], KO:K18368
Physcomitrium patens, 112276043, caffeoyl-CoA O-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Physcomitrium patens, 112284247, cinnamoyl-CoA reductase 1-like isoform X1  [EC], ['EC:1.2.1.44'], KO:K09753
Physcomitrium patens, 112284670, cinnamoyl-CoA reductase 1-like  [EC], ['EC:1.2.1.44'], KO:K09753
Physcomitrium patens, 112288176, cinnamoyl-CoA reductase 1-like isoform X1  [EC], ['EC:1.2.1.44'], KO:K09753
Physcomitrium patens, 112293893, cinnamoyl-CoA reductase 1-like  [EC], ['EC:1.2.1.44'], KO:K09753
Physcomitrium patens, 112289725, caffeic acid 3-O-methyltransferase-like isoform X1  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Physcomitrium patens, 112288207, caffeic acid 3-O-methyltransferase-like isoform X1  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Physcomitrium patens, 112275486, probable cinnamyl alcohol dehydrogenase 1  [EC], ['EC:1.1.1.195'], KO:K00083
Physcomitrium patens, 112274798, probable 1-Cys peroxiredoxin  [EC], ['EC:1.11.1.7', 'EC:1.11.1.27', 'EC:3.1.1.-'], KO:K11188
Physcomitrium patens, 112287677, peroxiredoxin-6-like  [EC], ['EC:1.11.1.7', 'EC:1.11.1.27', 'EC:3.1.1.-'], KO:K11188
Physcomitrium patens, 112272846, peroxidase 21-like  [EC], ['EC:1.11.1.7'], KO:K00430
Physcomitrium patens, 112273326, peroxidase 29-like isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Physcomitrium patens, 112274794, cationic peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Physcomitrium patens, 112276077, peroxidase 29-like  [EC], ['EC:1.11.1.7'], KO:K00430
Physcomitrium patens, 112276330, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Physcomitrium patens, 112277786, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Physcomitrium patens, 112277663, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Physcomitrium patens, 112277664, peroxidase 71-like  [EC], ['EC:1.11.1.7'], KO:K00430
Physcomitrium patens, 112276690, cationic peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Physcomitrium patens, 112277702, peroxidase E5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Physcomitrium patens, 112277719, peroxidase 64-like isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Physcomitrium patens, 112277729, peroxidase 64-like isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Physcomitrium patens, 112277751, peroxidase 71-like  [EC], ['EC:1.11.1.7'], KO:K00430
Physcomitrium patens, 112277762, peroxidase 64-like isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Physcomitrium patens, 112277763, peroxidase 64-like isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Physcomitrium patens, 112277764, peroxidase 64-like isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Physcomitrium patens, 112276679, cationic peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Physcomitrium patens, 112279619, peroxidase A2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Physcomitrium patens, 112279620, peroxidase 57-like  [EC], ['EC:1.11.1.7'], KO:K00430
Physcomitrium patens, 112276527, peroxidase 29-like  [EC], ['EC:1.11.1.7'], KO:K00430
Physcomitrium patens, 112279744, peroxidase N1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Physcomitrium patens, 112280849, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Physcomitrium patens, 112280888, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Physcomitrium patens, 112280638, peroxidase 27-like  [EC], ['EC:1.11.1.7'], KO:K00430
Physcomitrium patens, 112279657, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Physcomitrium patens, 112279353, peroxidase N1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Physcomitrium patens, 112279707, peroxidase 71-like  [EC], ['EC:1.11.1.7'], KO:K00430
Physcomitrium patens, 112280862, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Physcomitrium patens, 112281233, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Physcomitrium patens, 112281067, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Physcomitrium patens, 112281919, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Physcomitrium patens, 112281405, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Physcomitrium patens, 112281425, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Physcomitrium patens, 112280037, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Physcomitrium patens, 112283945, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Physcomitrium patens, 112285503, peroxidase 71-like  [EC], ['EC:1.11.1.7'], KO:K00430
Physcomitrium patens, 112285504, peroxidase 71-like  [EC], ['EC:1.11.1.7'], KO:K00430
Physcomitrium patens, 112285738, peroxidase 29-like  [EC], ['EC:1.11.1.7'], KO:K00430
Physcomitrium patens, 112285339, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Physcomitrium patens, 112285549, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Physcomitrium patens, 112285389, peroxidase 57-like  [EC], ['EC:1.11.1.7'], KO:K00430
Physcomitrium patens, 112285948, peroxidase 29-like  [EC], ['EC:1.11.1.7'], KO:K00430
Physcomitrium patens, 112286261, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Physcomitrium patens, 112287252, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Physcomitrium patens, 112289371, peroxidase 57-like  [EC], ['EC:1.11.1.7'], KO:K00430
Physcomitrium patens, 112289414, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Physcomitrium patens, 112290278, peroxidase 3-like  [EC], ['EC:1.11.1.7'], KO:K00430
Physcomitrium patens, 112290333, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Physcomitrium patens, 112289218, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Physcomitrium patens, 112289228, peroxidase 63-like isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Physcomitrium patens, 112292076, peroxidase 21-like isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Physcomitrium patens, 112292162, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Physcomitrium patens, 112293028, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Physcomitrium patens, 112294427, peroxidase A2-like isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Physcomitrium patens, 112295827, peroxidase 55-like  [EC], ['EC:1.11.1.7'], KO:K00430
Physcomitrium patens, 112277837, peroxidase 66-like  [EC], ['EC:1.11.1.7'], KO:K00430
Physcomitrium patens, 112275891, uncharacterized protein LOC112275891  [EC], ['EC:3.2.1.21'], KO:K05349
Physcomitrium patens, 112278141, lysosomal beta glucosidase-like  [EC], ['EC:3.2.1.21'], KO:K05349
Physcomitrium patens, 112276416, uncharacterized protein LOC112276416  [EC], ['EC:3.2.1.21'], KO:K05349
Physcomitrium patens, 112284018, uncharacterized protein LOC112284018  [EC], ['EC:3.2.1.21'], KO:K05349
