Manihot esculenta, 110613960, phenylalanine ammonia-lyase-like isoform X1  [EC], ['EC:4.3.1.24'], KO:K10775
Manihot esculenta, 110622267, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Manihot esculenta, 110603555, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Manihot esculenta, 110619505, phenylalanine ammonia-lyase G4  [EC], ['EC:4.3.1.24'], KO:K10775
Manihot esculenta, 110625014, phenylalanine ammonia-lyase G4-like  [EC], ['EC:4.3.1.24'], KO:K10775
Manihot esculenta, 110620815, phenylalanine ammonia-lyase  [EC], ['EC:4.3.1.24'], KO:K10775
Manihot esculenta, 110606554, trans-cinnamate 4-monooxygenase  [EC], ['EC:1.14.14.91'], KO:K00487
Manihot esculenta, 110608744, cytochrome P450 CYP73A100-like  [EC], ['EC:1.14.14.91'], KO:K00487
Manihot esculenta, 110626457, 4-coumarate--CoA ligase 1-like  [EC], ['EC:6.2.1.12'], KO:K01904
Manihot esculenta, 110613764, 4-coumarate--CoA ligase-like 7  [EC], ['EC:6.2.1.12'], KO:K01904
Manihot esculenta, 110613898, 4-coumarate--CoA ligase 1-like  [EC], ['EC:6.2.1.12'], KO:K01904
Manihot esculenta, 110621415, 4-coumarate--CoA ligase 2-like  [EC], ['EC:6.2.1.12'], KO:K01904
Manihot esculenta, 110628924, 4-coumarate--CoA ligase-like 1  [EC], ['EC:6.2.1.12'], KO:K01904
Manihot esculenta, 110604632, 4-coumarate--CoA ligase-like 6  [EC], ['EC:6.2.1.12'], KO:K01904
Manihot esculenta, 110622826, 4-coumarate--CoA ligase 2-like  [EC], ['EC:6.2.1.12'], KO:K01904
Manihot esculenta, 110631250, 4-coumarate--CoA ligase 2-like  [EC], ['EC:6.2.1.12'], KO:K01904
Manihot esculenta, 110622967, 4-coumarate--CoA ligase-like 7  [EC], ['EC:6.2.1.12'], KO:K01904
Manihot esculenta, 110630473, 4-coumarate--CoA ligase-like 1  [EC], ['EC:6.2.1.12'], KO:K01904
Manihot esculenta, 110616690, 4-coumarate--CoA ligase-like 9 isoform X1  [EC], ['EC:6.2.1.12'], KO:K01904
Manihot esculenta, 110613924, agmatine coumaroyltransferase-2-like  [EC], ['EC:2.3.1.133'], KO:K13065
Manihot esculenta, 110617117, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Manihot esculenta, 110618130, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Manihot esculenta, 110618151, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Manihot esculenta, 110612962, agmatine coumaroyltransferase-2-like  [EC], ['EC:2.3.1.133'], KO:K13065
Manihot esculenta, 110618337, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Manihot esculenta, 110626036, agmatine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Manihot esculenta, 110627105, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Manihot esculenta, 110616513, BAHD acyltransferase BIA1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Manihot esculenta, 110612417, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Manihot esculenta, 110625251, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Manihot esculenta, 110629548, omega-hydroxypalmitate O-feruloyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Manihot esculenta, 110605094, spermidine hydroxycinnamoyl transferase  [EC], ['EC:2.3.1.133'], KO:K13065
Manihot esculenta, 110616780, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Manihot esculenta, 110616853, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Manihot esculenta, 110607398, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Manihot esculenta, 110617938, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Manihot esculenta, 110617939, salutaridinol 7-O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Manihot esculenta, 110626593, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Manihot esculenta, 110629747, vinorine synthase  [EC], ['EC:2.3.1.133'], KO:K13065
Manihot esculenta, 110613765, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Manihot esculenta, 110627748, fatty alcohol:caffeoyl-CoA acyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Manihot esculenta, 110621178, cytochrome P450 98A2  [EC], ['EC:1.14.14.96'], KO:K09754
Manihot esculenta, 110612628, caffeoylshikimate esterase isoform X1  [EC], ['EC:3.1.1.-'], KO:K18368
Manihot esculenta, 110624118, caffeoylshikimate esterase-like  [EC], ['EC:3.1.1.-'], KO:K18368
Manihot esculenta, 110630720, caffeoylshikimate esterase-like isoform X1  [EC], ['EC:3.1.1.-'], KO:K18368
Manihot esculenta, 110618490, caffeoylshikimate esterase-like  [EC], ['EC:3.1.1.-'], KO:K18368
Manihot esculenta, 110628278, caffeoylshikimate esterase  [EC], ['EC:3.1.1.-'], KO:K18368
Manihot esculenta, 110631244, caffeoylshikimate esterase isoform X1  [EC], ['EC:3.1.1.-'], KO:K18368
Manihot esculenta, 110611983, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Manihot esculenta, 110625372, caffeoyl-CoA O-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Manihot esculenta, 110603107, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Manihot esculenta, 110627908, caffeoyl-CoA O-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Manihot esculenta, 110624022, caffeoyl-CoA O-methyltransferase  [EC], ['EC:2.1.1.104'], KO:K00588
Manihot esculenta, 110600713, putative caffeoyl-CoA O-methyltransferase At1g67980  [EC], ['EC:2.1.1.104'], KO:K00588
Manihot esculenta, 110604993, putative caffeoyl-CoA O-methyltransferase At1g67980 isoform X1  [EC], ['EC:2.1.1.104'], KO:K00588
Manihot esculenta, 110601387, putative caffeoyl-CoA O-methyltransferase At1g67980 isoform X1  [EC], ['EC:2.1.1.104'], KO:K00588
Manihot esculenta, 110618571, caffeoyl-CoA O-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Manihot esculenta, 110626824, cinnamoyl-CoA reductase 1-like  [EC], ['EC:1.2.1.44'], KO:K09753
Manihot esculenta, 110613289, cinnamoyl-CoA reductase 2-like  [EC], ['EC:1.2.1.44'], KO:K09753
Manihot esculenta, 110604189, aldehyde dehydrogenase family 2 member C4-like  [EC], ['EC:1.2.1.68'], KO:K12355
Manihot esculenta, 110603042, aldehyde dehydrogenase family 2 member C4-like  [EC], ['EC:1.2.1.68'], KO:K12355
Manihot esculenta, 110612798, cytochrome P450 84A1-like  [EC], ['EC:1.14.-.-'], KO:K09755
Manihot esculenta, 110609565, cytochrome P450 84A1-like  [EC], ['EC:1.14.-.-'], KO:K09755
Manihot esculenta, 110612510, cytochrome P450 84A1-like  [EC], ['EC:1.14.-.-'], KO:K09755
Manihot esculenta, 110623404, cytochrome P450 84A1-like  [EC], ['EC:1.14.-.-'], KO:K09755
Manihot esculenta, 110620427, caffeic acid 3-O-methyltransferase 1-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Manihot esculenta, 110627924, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Manihot esculenta, 110609830, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Manihot esculenta, 110626912, caffeic acid 3-O-methyltransferase 1-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Manihot esculenta, 110606332, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Manihot esculenta, 110620573, caffeic acid 3-O-methyltransferase-like isoform X1  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Manihot esculenta, 110621614, caffeic acid 3-O-methyltransferase 1-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Manihot esculenta, 110621616, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Manihot esculenta, 110625885, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Manihot esculenta, 110625905, caffeic acid 3-O-methyltransferase  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Manihot esculenta, 110607497, probable cinnamyl alcohol dehydrogenase  [EC], ['EC:1.1.1.195'], KO:K00083
Manihot esculenta, 110599690, probable cinnamyl alcohol dehydrogenase 1  [EC], ['EC:1.1.1.195'], KO:K00083
Manihot esculenta, 110625253, probable cinnamyl alcohol dehydrogenase 1  [EC], ['EC:1.1.1.195'], KO:K00083
Manihot esculenta, 110614717, probable cinnamyl alcohol dehydrogenase 6  [EC], ['EC:1.1.1.195'], KO:K00083
Manihot esculenta, 110627403, probable cinnamyl alcohol dehydrogenase 9  [EC], ['EC:1.1.1.195'], KO:K00083
Manihot esculenta, 110629804, probable cinnamyl alcohol dehydrogenase  [EC], ['EC:1.1.1.195'], KO:K00083
Manihot esculenta, 110630431, probable mannitol dehydrogenase  [EC], ['EC:1.1.1.195'], KO:K00083
Manihot esculenta, 110631022, berberine bridge enzyme-like 13  [EC], ['EC:1.1.1.195'], KO:K22395
Manihot esculenta, 110616492, berberine bridge enzyme-like 13  [EC], ['EC:1.1.1.195'], KO:K22395
Manihot esculenta, 110616620, berberine bridge enzyme-like 13  [EC], ['EC:1.1.1.195'], KO:K22395
Manihot esculenta, 110612338, 1-Cys peroxiredoxin  [EC], ['EC:1.11.1.7', 'EC:1.11.1.27', 'EC:3.1.1.-'], KO:K11188
Manihot esculenta, 110601360, 1-Cys peroxiredoxin-like  [EC], ['EC:1.11.1.7', 'EC:1.11.1.27', 'EC:3.1.1.-'], KO:K11188
Manihot esculenta, 110626465, putative Peroxidase 48  [EC], ['EC:1.11.1.7'], KO:K00430
Manihot esculenta, 110629619, peroxidase 47  [EC], ['EC:1.11.1.7'], KO:K00430
Manihot esculenta, 110629621, peroxidase 3-like  [EC], ['EC:1.11.1.7'], KO:K00430
Manihot esculenta, 110630660, peroxidase 65-like  [EC], ['EC:1.11.1.7'], KO:K00430
Manihot esculenta, 110604155, peroxidase 27-like  [EC], ['EC:1.11.1.7'], KO:K00430
Manihot esculenta, 110604156, peroxidase 27-like  [EC], ['EC:1.11.1.7'], KO:K00430
Manihot esculenta, 110615916, peroxidase N1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Manihot esculenta, 110612651, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Manihot esculenta, 110622342, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Manihot esculenta, 110627730, peroxidase 3-like  [EC], ['EC:1.11.1.7'], KO:K00430
Manihot esculenta, 110620097, peroxidase 57  [EC], ['EC:1.11.1.7'], KO:K00430
Manihot esculenta, 110608681, peroxidase 43  [EC], ['EC:1.11.1.7'], KO:K00430
Manihot esculenta, 110608702, peroxidase 64-like  [EC], ['EC:1.11.1.7'], KO:K00430
Manihot esculenta, 110609686, peroxidase 12-like  [EC], ['EC:1.11.1.7'], KO:K00430
Manihot esculenta, 110618124, peroxidase 11-like  [EC], ['EC:1.11.1.7'], KO:K00430
Manihot esculenta, 110618143, peroxidase 16-like  [EC], ['EC:1.11.1.7'], KO:K00430
Manihot esculenta, 110621409, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Manihot esculenta, 110628867, peroxidase 27-like  [EC], ['EC:1.11.1.7'], KO:K00430
Manihot esculenta, 110604250, peroxidase 7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Manihot esculenta, 110608588, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Manihot esculenta, 110608616, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Manihot esculenta, 110610734, peroxidase 21-like  [EC], ['EC:1.11.1.7'], KO:K00430
Manihot esculenta, 110624549, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Manihot esculenta, 110626713, putative Peroxidase 48  [EC], ['EC:1.11.1.7'], KO:K00430
Manihot esculenta, 110629864, peroxidase 10-like  [EC], ['EC:1.11.1.7'], KO:K00430
Manihot esculenta, 110603370, peroxidase 46  [EC], ['EC:1.11.1.7'], KO:K00430
Manihot esculenta, 110604383, peroxidase 27  [EC], ['EC:1.11.1.7'], KO:K00430
Manihot esculenta, 110621200, peroxidase 64-like  [EC], ['EC:1.11.1.7'], KO:K00430
Manihot esculenta, 110622284, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Manihot esculenta, 110624420, peroxidase P7-like isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Manihot esculenta, 110626603, probable peroxidase 61  [EC], ['EC:1.11.1.7'], KO:K00430
Manihot esculenta, 110608713, peroxidase 72-like  [EC], ['EC:1.11.1.7'], KO:K00430
Manihot esculenta, 110616105, peroxidase N1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Manihot esculenta, 110616106, peroxidase 64-like  [EC], ['EC:1.11.1.7'], KO:K00430
Manihot esculenta, 110623575, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Manihot esculenta, 110605555, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Manihot esculenta, 110617592, peroxidase 66  [EC], ['EC:1.11.1.7'], KO:K00430
Manihot esculenta, 110618275, peroxidase 60-like  [EC], ['EC:1.11.1.7'], KO:K00430
Manihot esculenta, 110625797, putative Peroxidase 48  [EC], ['EC:1.11.1.7'], KO:K00430
Manihot esculenta, 110627991, peroxidase 17-like  [EC], ['EC:1.11.1.7'], KO:K00430
Manihot esculenta, 110602882, peroxidase 7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Manihot esculenta, 110611493, peroxidase 21-like  [EC], ['EC:1.11.1.7'], KO:K00430
Manihot esculenta, 110600304, peroxidase 11-like  [EC], ['EC:1.11.1.7'], KO:K00430
Manihot esculenta, 110601389, peroxidase 55  [EC], ['EC:1.11.1.7'], KO:K00430
Manihot esculenta, 110602498, peroxidase A2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Manihot esculenta, 110615664, peroxidase 9  [EC], ['EC:1.11.1.7'], KO:K00430
Manihot esculenta, 110623129, peroxidase 72  [EC], ['EC:1.11.1.7'], KO:K00430
Manihot esculenta, 110610031, peroxidase 12-like  [EC], ['EC:1.11.1.7'], KO:K00430
Manihot esculenta, 110610064, peroxidase 12-like  [EC], ['EC:1.11.1.7'], KO:K00430
Manihot esculenta, 110610085, peroxidase 12-like  [EC], ['EC:1.11.1.7'], KO:K00430
Manihot esculenta, 110614274, peroxidase 24-like  [EC], ['EC:1.11.1.7'], KO:K00430
Manihot esculenta, 110626332, peroxidase 60-like  [EC], ['EC:1.11.1.7'], KO:K00430
Manihot esculenta, 110630537, peroxidase 27-like  [EC], ['EC:1.11.1.7'], KO:K00430
Manihot esculenta, 110630554, peroxidase 73-like  [EC], ['EC:1.11.1.7'], KO:K00430
Manihot esculenta, 110618512, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Manihot esculenta, 110620727, peroxidase A2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Manihot esculenta, 110602712, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Manihot esculenta, 110614441, peroxidase 31-like  [EC], ['EC:1.11.1.7'], KO:K00430
Manihot esculenta, 110616621, peroxidase 65-like  [EC], ['EC:1.11.1.7'], KO:K00430
Manihot esculenta, 110605562, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Manihot esculenta, 110605608, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Manihot esculenta, 110607821, peroxidase 63-like  [EC], ['EC:1.11.1.7'], KO:K00430
Manihot esculenta, 110609913, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Manihot esculenta, 110609937, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Manihot esculenta, 110627374, peroxidase 73  [EC], ['EC:1.11.1.7'], KO:K00430
Manihot esculenta, 110619476, peroxidase 4  [EC], ['EC:1.11.1.7'], KO:K00430
Manihot esculenta, 110629429, peroxidase 17-like  [EC], ['EC:1.11.1.7'], KO:K00430
Manihot esculenta, 110603952, peroxidase 42-like  [EC], ['EC:1.11.1.7'], KO:K00430
Manihot esculenta, 110601461, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Manihot esculenta, 110601492, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Manihot esculenta, 110602593, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Manihot esculenta, 110604726, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Manihot esculenta, 110604727, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Manihot esculenta, 110605844, peroxidase 4-like  [EC], ['EC:1.11.1.7'], KO:K00430
Manihot esculenta, 110601644, peroxidase 24-like  [EC], ['EC:1.11.1.7'], KO:K00430
Manihot esculenta, 110601645, peroxidase 24-like  [EC], ['EC:1.11.1.7'], KO:K00430
Manihot esculenta, 110601646, peroxidase 24-like  [EC], ['EC:1.11.1.7'], KO:K00430
Manihot esculenta, 110607069, peroxidase 12-like  [EC], ['EC:1.11.1.7'], KO:K00430
Manihot esculenta, 110629270, peroxidase 56-like  [EC], ['EC:1.11.1.7'], KO:K00430
Manihot esculenta, 110612377, peroxidase 24-like  [EC], ['EC:1.11.1.7'], KO:K00430
Manihot esculenta, 110612401, peroxidase A2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Manihot esculenta, 110601331, peroxidase E5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Manihot esculenta, 110601362, peroxidase 10  [EC], ['EC:1.11.1.7'], KO:K00430
Manihot esculenta, 110602432, peroxidase 40  [EC], ['EC:1.11.1.7'], KO:K00430
Manihot esculenta, 110602450, peroxidase 15-like  [EC], ['EC:1.11.1.7'], KO:K00430
