Erythranthe guttata, 105950456, chalcone synthase  [EC], ['EC:2.3.1.74'], KO:K00660
Erythranthe guttata, 105950466, chalcone synthase-like  [EC], ['EC:2.3.1.74'], KO:K00660
Erythranthe guttata, 105964201, chalcone synthase-like  [EC], ['EC:2.3.1.74'], KO:K00660
Erythranthe guttata, 105964209, chalcone synthase-like  [EC], ['EC:2.3.1.74'], KO:K00660
Erythranthe guttata, 105954325, chalcone--flavonone isomerase  [EC], ['EC:5.5.1.6'], KO:K01859
Erythranthe guttata, 105958343, chalcone--flavonone isomerase-like  [EC], ['EC:5.5.1.6'], KO:K01859
Erythranthe guttata, 105960386, probable chalcone--flavonone isomerase 3  [EC], ['EC:5.5.1.6'], KO:K01859
Erythranthe guttata, 105956424, flavanone 3-dioxygenase-like  [EC], ['EC:1.14.11.9'], KO:K00475
Erythranthe guttata, 105959582, flavanone 3-dioxygenase-like  [EC], ['EC:1.14.11.9'], KO:K00475
Erythranthe guttata, 105974437, flavonol synthase/flavanone 3-hydroxylase-like  [EC], ['EC:1.14.20.6'], KO:K05278
Erythranthe guttata, 105958605, trans-cinnamate 4-monooxygenase-like  [EC], ['EC:1.14.14.91'], KO:K00487
Erythranthe guttata, 105958637, trans-cinnamate 4-monooxygenase  [EC], ['EC:1.14.14.91'], KO:K00487
Erythranthe guttata, 105958638, trans-cinnamate 4-monooxygenase-like  [EC], ['EC:1.14.14.91'], KO:K00487
Erythranthe guttata, 105958639, trans-cinnamate 4-monooxygenase-like  [EC], ['EC:1.14.14.91'], KO:K00487
Erythranthe guttata, 105962128, trans-cinnamate 4-monooxygenase  [EC], ['EC:1.14.14.91'], KO:K00487
Erythranthe guttata, 105949064, licodione synthase-like  [EC], ['EC:1.14.19.76'], KO:K23179
Erythranthe guttata, 105949083, licodione synthase-like  [EC], ['EC:1.14.19.76'], KO:K23179
Erythranthe guttata, 105958663, flavonoid 3'-monooxygenase-like  [EC], ['EC:1.14.14.82'], KO:K05280
Erythranthe guttata, 105973421, flavonoid 3'-monooxygenase  [EC], ['EC:1.14.14.82'], KO:K05280
Erythranthe guttata, 105965285, dihydroflavonol-4-reductase-like  [EC], ['EC:1.1.1.219', 'EC:1.1.1.234'], KO:K13082
Erythranthe guttata, 105967384, leucoanthocyanidin dioxygenase-like  [EC], ['EC:1.14.20.4'], KO:K05277
Erythranthe guttata, 105965863, pelargonidin 3-O-(6-caffeoylglucoside) 5-O-(6-O-malonylglucoside) 4'''-malonyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Erythranthe guttata, 105953948, pelargonidin 3-O-(6-caffeoylglucoside) 5-O-(6-O-malonylglucoside) 4'''-malonyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Erythranthe guttata, 105955258, omega-hydroxypalmitate O-feruloyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Erythranthe guttata, 105955464, LOW QUALITY PROTEIN: omega-hydroxypalmitate O-feruloyl transferase  [EC], ['EC:2.3.1.133'], KO:K13065
Erythranthe guttata, 105969791, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Erythranthe guttata, 105969990, spermidine hydroxycinnamoyl transferase  [EC], ['EC:2.3.1.133'], KO:K13065
Erythranthe guttata, 105970266, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Erythranthe guttata, 105958535, agmatine coumaroyltransferase-2-like  [EC], ['EC:2.3.1.133'], KO:K13065
Erythranthe guttata, 105971168, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Erythranthe guttata, 105971169, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Erythranthe guttata, 105959093, agmatine coumaroyltransferase-2-like  [EC], ['EC:2.3.1.133'], KO:K13065
Erythranthe guttata, 105972227, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Erythranthe guttata, 105972349, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Erythranthe guttata, 105972350, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Erythranthe guttata, 105972397, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Erythranthe guttata, 105972425, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Erythranthe guttata, 105972748, benzyl alcohol O-benzoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Erythranthe guttata, 105972757, omega-hydroxypalmitate O-feruloyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Erythranthe guttata, 105961214, omega-hydroxypalmitate O-feruloyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Erythranthe guttata, 105961445, pelargonidin 3-O-(6-caffeoylglucoside) 5-O-(6-O-malonylglucoside) 4'''-malonyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Erythranthe guttata, 105961466, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Erythranthe guttata, 105961484, omega-hydroxypalmitate O-feruloyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Erythranthe guttata, 105961487, omega-hydroxypalmitate O-feruloyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Erythranthe guttata, 105974733, vinorine synthase  [EC], ['EC:2.3.1.133'], KO:K13065
Erythranthe guttata, 105950539, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Erythranthe guttata, 105950543, omega-hydroxypalmitate O-feruloyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Erythranthe guttata, 105950600, omega-hydroxypalmitate O-feruloyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Erythranthe guttata, 105950601, omega-hydroxypalmitate O-feruloyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
