Tarenaya hassleriana, 104805263, phenylalanine ammonia-lyase 1  [EC], ['EC:4.3.1.24'], KO:K10775
Tarenaya hassleriana, 104806492, phenylalanine ammonia-lyase 1  [EC], ['EC:4.3.1.24'], KO:K10775
Tarenaya hassleriana, 104816418, phenylalanine ammonia-lyase 4  [EC], ['EC:4.3.1.24'], KO:K10775
Tarenaya hassleriana, 104823458, phenylalanine ammonia-lyase 1-like  [EC], ['EC:4.3.1.24'], KO:K10775
Tarenaya hassleriana, 104800793, trans-cinnamate 4-monooxygenase-like  [EC], ['EC:1.14.14.91'], KO:K00487
Tarenaya hassleriana, 104815827, trans-cinnamate 4-monooxygenase  [EC], ['EC:1.14.14.91'], KO:K00487
Tarenaya hassleriana, 104808912, cytochrome P450 CYP73A100-like  [EC], ['EC:1.14.14.91'], KO:K00487
Tarenaya hassleriana, 104798452, 4-coumarate--CoA ligase-like 6 isoform X1  [EC], ['EC:6.2.1.12'], KO:K01904
Tarenaya hassleriana, 104807135, 4-coumarate--CoA ligase-like 1  [EC], ['EC:6.2.1.12'], KO:K01904
Tarenaya hassleriana, 104806267, LOW QUALITY PROTEIN: 4-coumarate--CoA ligase-like 7  [EC], ['EC:6.2.1.12'], KO:K01904
Tarenaya hassleriana, 104812629, 4-coumarate--CoA ligase-like 7  [EC], ['EC:6.2.1.12'], KO:K01904
Tarenaya hassleriana, 104821776, 4-coumarate--CoA ligase 3  [EC], ['EC:6.2.1.12'], KO:K01904
Tarenaya hassleriana, 104815164, 4-coumarate--CoA ligase 1-like  [EC], ['EC:6.2.1.12'], KO:K01904
Tarenaya hassleriana, 104817929, 4-coumarate--CoA ligase 4  [EC], ['EC:6.2.1.12'], KO:K01904
Tarenaya hassleriana, 104799669, 4-coumarate--CoA ligase-like 9  [EC], ['EC:6.2.1.12'], KO:K01904
Tarenaya hassleriana, 104804487, shikimate O-hydroxycinnamoyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Tarenaya hassleriana, 104809269, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Tarenaya hassleriana, 104809270, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Tarenaya hassleriana, 104812535, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Tarenaya hassleriana, 104817818, shikimate O-hydroxycinnamoyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Tarenaya hassleriana, 104819144, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Tarenaya hassleriana, 104819970, spermidine hydroxycinnamoyl transferase  [EC], ['EC:2.3.1.133'], KO:K13065
Tarenaya hassleriana, 104814627, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Tarenaya hassleriana, 104803227, cytochrome P450 98A3  [EC], ['EC:1.14.14.96'], KO:K09754
Tarenaya hassleriana, 104810496, caffeoylshikimate esterase  [EC], ['EC:3.1.1.-'], KO:K18368
Tarenaya hassleriana, 104798833, caffeoylshikimate esterase-like isoform X1  [EC], ['EC:3.1.1.-'], KO:K18368
Tarenaya hassleriana, 104810006, caffeoylshikimate esterase-like  [EC], ['EC:3.1.1.-'], KO:K18368
Tarenaya hassleriana, 104817494, caffeoylshikimate esterase isoform X1  [EC], ['EC:3.1.1.-'], KO:K18368
Tarenaya hassleriana, 104820948, caffeoylshikimate esterase-like  [EC], ['EC:3.1.1.-'], KO:K18368
Tarenaya hassleriana, 104821928, caffeoylshikimate esterase-like  [EC], ['EC:3.1.1.-'], KO:K18368
Tarenaya hassleriana, 104824251, caffeoylshikimate esterase  [EC], ['EC:3.1.1.-'], KO:K18368
Tarenaya hassleriana, 104804378, caffeoyl-CoA O-methyltransferase 5  [EC], ['EC:2.1.1.104'], KO:K00588
Tarenaya hassleriana, 104807886, putative caffeoyl-CoA O-methyltransferase At1g67980 isoform X1  [EC], ['EC:2.1.1.104'], KO:K00588
Tarenaya hassleriana, 104811735, probable caffeoyl-CoA O-methyltransferase At4g26220 isoform X1  [EC], ['EC:2.1.1.104'], KO:K00588
Tarenaya hassleriana, 104819570, caffeoyl-CoA O-methyltransferase 1  [EC], ['EC:2.1.1.104'], KO:K00588
Tarenaya hassleriana, 104825058, putative caffeoyl-CoA O-methyltransferase At1g67980  [EC], ['EC:2.1.1.104'], KO:K00588
Tarenaya hassleriana, 104812427, cinnamoyl-CoA reductase 1  [EC], ['EC:1.2.1.44'], KO:K09753
Tarenaya hassleriana, 104826414, cinnamoyl-CoA reductase 1-like  [EC], ['EC:1.2.1.44'], KO:K09753
Tarenaya hassleriana, 104813587, cinnamoyl-CoA reductase 1-like isoform X1  [EC], ['EC:1.2.1.44'], KO:K09753
Tarenaya hassleriana, 104804583, aldehyde dehydrogenase family 2 member C4-like  [EC], ['EC:1.2.1.68'], KO:K12355
Tarenaya hassleriana, 104821635, aldehyde dehydrogenase family 2 member C4-like  [EC], ['EC:1.2.1.68'], KO:K12355
Tarenaya hassleriana, 104821636, aldehyde dehydrogenase family 2 member C4-like  [EC], ['EC:1.2.1.68'], KO:K12355
Tarenaya hassleriana, 104804582, aldehyde dehydrogenase family 2 member C4  [EC], ['EC:1.2.1.68'], KO:K12355
Tarenaya hassleriana, 104804535, cytochrome P450 84A1-like  [EC], ['EC:1.14.-.-'], KO:K09755
Tarenaya hassleriana, 104804254, cytochrome P450 84A1  [EC], ['EC:1.14.-.-'], KO:K09755
Tarenaya hassleriana, 104807482, cytochrome P450 84A1-like  [EC], ['EC:1.14.-.-'], KO:K09755
Tarenaya hassleriana, 104804741, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Tarenaya hassleriana, 104802099, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Tarenaya hassleriana, 104799941, flavone 3'-O-methyltransferase 1-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Tarenaya hassleriana, 104799942, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Tarenaya hassleriana, 104799943, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Tarenaya hassleriana, 104811887, flavone 3'-O-methyltransferase 1  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Tarenaya hassleriana, 104813820, anthranilate N-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Tarenaya hassleriana, 104804389, cinnamyl alcohol dehydrogenase 5-like  [EC], ['EC:1.1.1.195'], KO:K00083
Tarenaya hassleriana, 104798385, probable cinnamyl alcohol dehydrogenase 1 isoform X1  [EC], ['EC:1.1.1.195'], KO:K00083
Tarenaya hassleriana, 104798790, cinnamyl alcohol dehydrogenase 4  [EC], ['EC:1.1.1.195'], KO:K00083
Tarenaya hassleriana, 104824830, probable cinnamyl alcohol dehydrogenase 9  [EC], ['EC:1.1.1.195'], KO:K00083
Tarenaya hassleriana, 104798391, probable cinnamyl alcohol dehydrogenase 1 isoform X1  [EC], ['EC:1.1.1.195'], KO:K00083
Tarenaya hassleriana, 104807239, cinnamyl alcohol dehydrogenase 5-like  [EC], ['EC:1.1.1.195'], KO:K00083
Tarenaya hassleriana, 104807733, probable cinnamyl alcohol dehydrogenase 9  [EC], ['EC:1.1.1.195'], KO:K00083
Tarenaya hassleriana, 104814344, berberine bridge enzyme-like 5  [EC], ['EC:1.1.1.195'], KO:K22395
Tarenaya hassleriana, 104798588, berberine bridge enzyme-like 4  [EC], ['EC:1.1.1.195'], KO:K22395
Tarenaya hassleriana, 104821806, 1-Cys peroxiredoxin PER1  [EC], ['EC:1.11.1.7', 'EC:1.11.1.27', 'EC:3.1.1.-'], KO:K11188
Tarenaya hassleriana, 104798341, peroxidase 65-like  [EC], ['EC:1.11.1.7'], KO:K00430
Tarenaya hassleriana, 104798572, peroxidase 7  [EC], ['EC:1.11.1.7'], KO:K00430
Tarenaya hassleriana, 104798474, peroxidase 20 isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Tarenaya hassleriana, 104801663, peroxidase 11  [EC], ['EC:1.11.1.7'], KO:K00430
Tarenaya hassleriana, 104802212, peroxidase 3-like  [EC], ['EC:1.11.1.7'], KO:K00430
Tarenaya hassleriana, 104803672, peroxidase 47  [EC], ['EC:1.11.1.7'], KO:K00430
Tarenaya hassleriana, 104803947, peroxidase 16  [EC], ['EC:1.11.1.7'], KO:K00430
Tarenaya hassleriana, 104804946, peroxidase 44-like  [EC], ['EC:1.11.1.7'], KO:K00430
Tarenaya hassleriana, 104804991, peroxidase 64-like  [EC], ['EC:1.11.1.7'], KO:K00430
Tarenaya hassleriana, 104804998, peroxidase 64-like  [EC], ['EC:1.11.1.7'], KO:K00430
Tarenaya hassleriana, 104801750, peroxidase 44-like  [EC], ['EC:1.11.1.7'], KO:K00430
Tarenaya hassleriana, 104801752, peroxidase 44-like  [EC], ['EC:1.11.1.7'], KO:K00430
Tarenaya hassleriana, 104801753, peroxidase 44-like  [EC], ['EC:1.11.1.7'], KO:K00430
Tarenaya hassleriana, 104810922, peroxidase 60  [EC], ['EC:1.11.1.7'], KO:K00430
Tarenaya hassleriana, 104806690, peroxidase 65-like  [EC], ['EC:1.11.1.7'], KO:K00430
Tarenaya hassleriana, 104804576, peroxidase 69-like  [EC], ['EC:1.11.1.7'], KO:K00430
Tarenaya hassleriana, 104805415, peroxidase 63-like  [EC], ['EC:1.11.1.7'], KO:K00430
Tarenaya hassleriana, 104807472, peroxidase 49  [EC], ['EC:1.11.1.7'], KO:K00430
Tarenaya hassleriana, 104806033, peroxidase 44-like  [EC], ['EC:1.11.1.7'], KO:K00430
Tarenaya hassleriana, 104803484, peroxidase 16-like  [EC], ['EC:1.11.1.7'], KO:K00430
Tarenaya hassleriana, 104807625, peroxidase 50  [EC], ['EC:1.11.1.7'], KO:K00430
Tarenaya hassleriana, 104805121, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Tarenaya hassleriana, 104800021, peroxidase 69-like  [EC], ['EC:1.11.1.7'], KO:K00430
Tarenaya hassleriana, 104800982, peroxidase 3  [EC], ['EC:1.11.1.7'], KO:K00430
Tarenaya hassleriana, 104802539, peroxidase 30  [EC], ['EC:1.11.1.7'], KO:K00430
Tarenaya hassleriana, 104799241, peroxidase C1C-like  [EC], ['EC:1.11.1.7'], KO:K00430
Tarenaya hassleriana, 104799242, peroxidase E5  [EC], ['EC:1.11.1.7'], KO:K00430
Tarenaya hassleriana, 104799660, peroxidase E5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Tarenaya hassleriana, 104802564, peroxidase 24  [EC], ['EC:1.11.1.7'], KO:K00430
Tarenaya hassleriana, 104799291, peroxidase A2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Tarenaya hassleriana, 104803606, peroxidase 46  [EC], ['EC:1.11.1.7'], KO:K00430
Tarenaya hassleriana, 104803872, probable peroxidase 26  [EC], ['EC:1.11.1.7'], KO:K00430
Tarenaya hassleriana, 104805307, peroxidase 21  [EC], ['EC:1.11.1.7'], KO:K00430
Tarenaya hassleriana, 104826546, peroxidase 25  [EC], ['EC:1.11.1.7'], KO:K00430
Tarenaya hassleriana, 104827253, peroxidase 57-like  [EC], ['EC:1.11.1.7'], KO:K00430
Tarenaya hassleriana, 104818162, probable peroxidase 61  [EC], ['EC:1.11.1.7'], KO:K00430
Tarenaya hassleriana, 104819530, putative Peroxidase 48  [EC], ['EC:1.11.1.7'], KO:K00430
Tarenaya hassleriana, 104820307, peroxidase 29  [EC], ['EC:1.11.1.7'], KO:K00430
Tarenaya hassleriana, 104820312, peroxidase 40 isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Tarenaya hassleriana, 104815112, peroxidase N  [EC], ['EC:1.11.1.7'], KO:K00430
Tarenaya hassleriana, 104816519, peroxidase 52  [EC], ['EC:1.11.1.7'], KO:K00430
Tarenaya hassleriana, 104819253, peroxidase 35-like  [EC], ['EC:1.11.1.7'], KO:K00430
Tarenaya hassleriana, 104819767, peroxidase 49  [EC], ['EC:1.11.1.7'], KO:K00430
Tarenaya hassleriana, 104812072, peroxidase 13 isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Tarenaya hassleriana, 104804948, peroxidase 44-like  [EC], ['EC:1.11.1.7'], KO:K00430
Tarenaya hassleriana, 104820583, peroxidase 19-like  [EC], ['EC:1.11.1.7'], KO:K00430
