Triticum dicoccoides, 119326132, chalcone synthase-like isoform X1  [EC], ['EC:2.3.1.74'], KO:K00660
Triticum dicoccoides, 119349646, chalcone synthase 2-like  [EC], ['EC:2.3.1.74'], KO:K00660
Triticum dicoccoides, 119349729, chalcone synthase 2-like  [EC], ['EC:2.3.1.74'], KO:K00660
Triticum dicoccoides, 119366176, chalcone synthase 2-like  [EC], ['EC:2.3.1.74'], KO:K00660
Triticum dicoccoides, 119366541, chalcone synthase 2-like  [EC], ['EC:2.3.1.74'], KO:K00660
Triticum dicoccoides, 119352754, chalcone synthase 2-like  [EC], ['EC:2.3.1.74'], KO:K00660
Triticum dicoccoides, 119352759, chalcone synthase 2-like  [EC], ['EC:2.3.1.74'], KO:K00660
Triticum dicoccoides, 119352829, chalcone synthase 2-like  [EC], ['EC:2.3.1.74'], KO:K00660
Triticum dicoccoides, 119316879, chalcone synthase 2-like  [EC], ['EC:2.3.1.74'], KO:K00660
Triticum dicoccoides, 119316888, chalcone synthase 2-like  [EC], ['EC:2.3.1.74'], KO:K00660
Triticum dicoccoides, 119316897, chalcone synthase 2-like  [EC], ['EC:2.3.1.74'], KO:K00660
Triticum dicoccoides, 119316912, chalcone synthase 2-like  [EC], ['EC:2.3.1.74'], KO:K00660
Triticum dicoccoides, 119316920, chalcone synthase 2-like  [EC], ['EC:2.3.1.74'], KO:K00660
Triticum dicoccoides, 119316929, chalcone synthase 2-like  [EC], ['EC:2.3.1.74'], KO:K00660
Triticum dicoccoides, 119300036, chalcone synthase 2  [EC], ['EC:2.3.1.74'], KO:K00660
Triticum dicoccoides, 119300456, chalcone synthase 2-like  [EC], ['EC:2.3.1.74'], KO:K00660
Triticum dicoccoides, 119356930, chalcone synthase 2-like  [EC], ['EC:2.3.1.74'], KO:K00660
Triticum dicoccoides, 119357412, chalcone synthase 2-like  [EC], ['EC:2.3.1.74'], KO:K00660
Triticum dicoccoides, 119361794, chalcone synthase 2-like  [EC], ['EC:2.3.1.74'], KO:K00660
Triticum dicoccoides, 119361861, chalcone synthase 2  [EC], ['EC:2.3.1.74'], KO:K00660
Triticum dicoccoides, 119341264, chalcone synthase 2-like  [EC], ['EC:2.3.1.74'], KO:K00660
