Cucurbita pepo subsp. pepo, 111791223, chalcone synthase 2  [EC], ['EC:2.3.1.74'], KO:K00660
Cucurbita pepo subsp. pepo, 111791225, chalcone synthase 2-like  [EC], ['EC:2.3.1.74'], KO:K00660
Cucurbita pepo subsp. pepo, 111806631, chalcone synthase J-like  [EC], ['EC:2.3.1.74'], KO:K00660
Cucurbita pepo subsp. pepo, 111790837, probable chalcone--flavonone isomerase 3  [EC], ['EC:5.5.1.6'], KO:K01859
Cucurbita pepo subsp. pepo, 111808121, chalcone--flavonone isomerase  [EC], ['EC:5.5.1.6'], KO:K01859
Cucurbita pepo subsp. pepo, 111809659, naringenin,2-oxoglutarate 3-dioxygenase-like  [EC], ['EC:1.14.11.9'], KO:K00475
Cucurbita pepo subsp. pepo, 111800452, naringenin,2-oxoglutarate 3-dioxygenase  [EC], ['EC:1.14.11.9'], KO:K00475
Cucurbita pepo subsp. pepo, 111780272, flavonol synthase/flavanone 3-hydroxylase-like  [EC], ['EC:1.14.20.6'], KO:K05278
Cucurbita pepo subsp. pepo, 111809053, flavonol synthase/flavanone 3-hydroxylase-like  [EC], ['EC:1.14.20.6'], KO:K05278
Cucurbita pepo subsp. pepo, 111795542, trans-cinnamate 4-monooxygenase  [EC], ['EC:1.14.14.91'], KO:K00487
Cucurbita pepo subsp. pepo, 111805108, cytochrome P450 CYP73A100-like  [EC], ['EC:1.14.14.91'], KO:K00487
Cucurbita pepo subsp. pepo, 111805109, cytochrome P450 CYP73A100-like  [EC], ['EC:1.14.14.91'], KO:K00487
Cucurbita pepo subsp. pepo, 111787467, trans-cinnamate 4-monooxygenase-like  [EC], ['EC:1.14.14.91'], KO:K00487
Cucurbita pepo subsp. pepo, 111784863, trans-cinnamate 4-monooxygenase-like  [EC], ['EC:1.14.14.91'], KO:K00487
Cucurbita pepo subsp. pepo, 111777471, trans-cinnamate 4-monooxygenase-like  [EC], ['EC:1.14.14.91'], KO:K00487
Cucurbita pepo subsp. pepo, 111792334, flavonoid 3'-monooxygenase  [EC], ['EC:1.14.14.82'], KO:K05280
Cucurbita pepo subsp. pepo, 111781205, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Cucurbita pepo subsp. pepo, 111781238, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Cucurbita pepo subsp. pepo, 111778307, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Cucurbita pepo subsp. pepo, 111786155, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Cucurbita pepo subsp. pepo, 111783710, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Cucurbita pepo subsp. pepo, 111806647, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Cucurbita pepo subsp. pepo, 111792678, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Cucurbita pepo subsp. pepo, 111794079, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Cucurbita pepo subsp. pepo, 111803298, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Cucurbita pepo subsp. pepo, 111804300, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Cucurbita pepo subsp. pepo, 111790179, cytochrome P450 98A2  [EC], ['EC:1.14.14.96'], KO:K09754
Cucurbita pepo subsp. pepo, 111811296, caffeoyl-CoA O-methyltransferase 5  [EC], ['EC:2.1.1.104'], KO:K00588
Cucurbita pepo subsp. pepo, 111792776, caffeoyl-CoA O-methyltransferase 5  [EC], ['EC:2.1.1.104'], KO:K00588
Cucurbita pepo subsp. pepo, 111801778, caffeoyl-CoA O-methyltransferase-like isoform X1  [EC], ['EC:2.1.1.104'], KO:K00588
Cucurbita pepo subsp. pepo, 111801779, flavonoid 3',5'-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
