Cucurbita pepo subsp. pepo, 111777486, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Cucurbita pepo subsp. pepo, 111780357, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Cucurbita pepo subsp. pepo, 111781009, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Cucurbita pepo subsp. pepo, 111781011, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Cucurbita pepo subsp. pepo, 111780949, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Cucurbita pepo subsp. pepo, 111780982, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Cucurbita pepo subsp. pepo, 111781012, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Cucurbita pepo subsp. pepo, 111785821, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Cucurbita pepo subsp. pepo, 111782232, phenylalanine ammonia-lyase-like isoform X1  [EC], ['EC:4.3.1.24'], KO:K10775
Cucurbita pepo subsp. pepo, 111782234, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Cucurbita pepo subsp. pepo, 111803746, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Cucurbita pepo subsp. pepo, 111803833, phenylalanine ammonia-lyase isoform X1  [EC], ['EC:4.3.1.24'], KO:K10775
Cucurbita pepo subsp. pepo, 111801921, phenylalanine ammonia-lyase G4-like  [EC], ['EC:4.3.1.24'], KO:K10775
Cucurbita pepo subsp. pepo, 111803837, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Cucurbita pepo subsp. pepo, 111795542, trans-cinnamate 4-monooxygenase  [EC], ['EC:1.14.14.91'], KO:K00487
Cucurbita pepo subsp. pepo, 111805108, cytochrome P450 CYP73A100-like  [EC], ['EC:1.14.14.91'], KO:K00487
Cucurbita pepo subsp. pepo, 111805109, cytochrome P450 CYP73A100-like  [EC], ['EC:1.14.14.91'], KO:K00487
Cucurbita pepo subsp. pepo, 111787467, trans-cinnamate 4-monooxygenase-like  [EC], ['EC:1.14.14.91'], KO:K00487
Cucurbita pepo subsp. pepo, 111784863, trans-cinnamate 4-monooxygenase-like  [EC], ['EC:1.14.14.91'], KO:K00487
Cucurbita pepo subsp. pepo, 111777471, trans-cinnamate 4-monooxygenase-like  [EC], ['EC:1.14.14.91'], KO:K00487
Cucurbita pepo subsp. pepo, 111788609, 4-coumarate--CoA ligase 1-like  [EC], ['EC:6.2.1.12'], KO:K01904
Cucurbita pepo subsp. pepo, 111789218, 4-coumarate--CoA ligase-like 7  [EC], ['EC:6.2.1.12'], KO:K01904
Cucurbita pepo subsp. pepo, 111786342, 4-coumarate--CoA ligase 2-like  [EC], ['EC:6.2.1.12'], KO:K01904
Cucurbita pepo subsp. pepo, 111779352, 4-coumarate--CoA ligase 2-like isoform X1  [EC], ['EC:6.2.1.12'], KO:K01904
Cucurbita pepo subsp. pepo, 111779601, 4-coumarate--CoA ligase 1-like isoform X1  [EC], ['EC:6.2.1.12'], KO:K01904
Cucurbita pepo subsp. pepo, 111790242, 4-coumarate--CoA ligase 1-like isoform X1  [EC], ['EC:6.2.1.12'], KO:K01904
Cucurbita pepo subsp. pepo, 111805816, 4-coumarate--CoA ligase 2-like  [EC], ['EC:6.2.1.12'], KO:K01904
Cucurbita pepo subsp. pepo, 111811409, 4-coumarate--CoA ligase-like 6 isoform X1  [EC], ['EC:6.2.1.12'], KO:K01904
Cucurbita pepo subsp. pepo, 111794745, 4-coumarate--CoA ligase 3  [EC], ['EC:6.2.1.12'], KO:K01904
Cucurbita pepo subsp. pepo, 111793716, 4-coumarate--CoA ligase 1-like isoform X1  [EC], ['EC:6.2.1.12'], KO:K01904
Cucurbita pepo subsp. pepo, 111801697, 4-coumarate--CoA ligase-like 1  [EC], ['EC:6.2.1.12'], KO:K01904
Cucurbita pepo subsp. pepo, 111789746, 4-coumarate--CoA ligase-like 7  [EC], ['EC:6.2.1.12'], KO:K01904
Cucurbita pepo subsp. pepo, 111806513, 4-coumarate--CoA ligase 1-like  [EC], ['EC:6.2.1.12'], KO:K01904
Cucurbita pepo subsp. pepo, 111802471, 4-coumarate--CoA ligase-like 9  [EC], ['EC:6.2.1.12'], KO:K01904
Cucurbita pepo subsp. pepo, 111781205, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Cucurbita pepo subsp. pepo, 111781238, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Cucurbita pepo subsp. pepo, 111778307, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Cucurbita pepo subsp. pepo, 111786155, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Cucurbita pepo subsp. pepo, 111783710, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Cucurbita pepo subsp. pepo, 111806647, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Cucurbita pepo subsp. pepo, 111792678, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Cucurbita pepo subsp. pepo, 111794079, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Cucurbita pepo subsp. pepo, 111803298, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Cucurbita pepo subsp. pepo, 111804300, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Cucurbita pepo subsp. pepo, 111790179, cytochrome P450 98A2  [EC], ['EC:1.14.14.96'], KO:K09754
Cucurbita pepo subsp. pepo, 111789120, caffeoylshikimate esterase  [EC], ['EC:3.1.1.-'], KO:K18368
Cucurbita pepo subsp. pepo, 111791206, caffeoylshikimate esterase-like isoform X1  [EC], ['EC:3.1.1.-'], KO:K18368
Cucurbita pepo subsp. pepo, 111802541, caffeoylshikimate esterase-like  [EC], ['EC:3.1.1.-'], KO:K18368
Cucurbita pepo subsp. pepo, 111794334, caffeoylshikimate esterase  [EC], ['EC:3.1.1.-'], KO:K18368
Cucurbita pepo subsp. pepo, 111799586, caffeoylshikimate esterase-like isoform X1  [EC], ['EC:3.1.1.-'], KO:K18368
Cucurbita pepo subsp. pepo, 111808701, caffeoylshikimate esterase-like  [EC], ['EC:3.1.1.-'], KO:K18368
Cucurbita pepo subsp. pepo, 111811296, caffeoyl-CoA O-methyltransferase 5  [EC], ['EC:2.1.1.104'], KO:K00588
Cucurbita pepo subsp. pepo, 111792776, caffeoyl-CoA O-methyltransferase 5  [EC], ['EC:2.1.1.104'], KO:K00588
Cucurbita pepo subsp. pepo, 111801778, caffeoyl-CoA O-methyltransferase-like isoform X1  [EC], ['EC:2.1.1.104'], KO:K00588
Cucurbita pepo subsp. pepo, 111801779, flavonoid 3',5'-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Cucurbita pepo subsp. pepo, 111787891, cinnamoyl-CoA reductase 2-like  [EC], ['EC:1.2.1.44'], KO:K09753
Cucurbita pepo subsp. pepo, 111787892, cinnamoyl-CoA reductase 2-like  [EC], ['EC:1.2.1.44'], KO:K09753
Cucurbita pepo subsp. pepo, 111784197, cinnamoyl-CoA reductase 2-like  [EC], ['EC:1.2.1.44'], KO:K09753
Cucurbita pepo subsp. pepo, 111790089, cinnamoyl-CoA reductase 2-like  [EC], ['EC:1.2.1.44'], KO:K09753
Cucurbita pepo subsp. pepo, 111791124, cinnamoyl-CoA reductase 2-like  [EC], ['EC:1.2.1.44'], KO:K09753
Cucurbita pepo subsp. pepo, 111807103, cinnamoyl-CoA reductase 1-like  [EC], ['EC:1.2.1.44'], KO:K09753
Cucurbita pepo subsp. pepo, 111790043, cinnamoyl-CoA reductase 2-like  [EC], ['EC:1.2.1.44'], KO:K09753
Cucurbita pepo subsp. pepo, 111779756, aldehyde dehydrogenase family 2 member C4-like  [EC], ['EC:1.2.1.68'], KO:K12355
Cucurbita pepo subsp. pepo, 111793231, aldehyde dehydrogenase family 2 member C4-like  [EC], ['EC:1.2.1.68'], KO:K12355
Cucurbita pepo subsp. pepo, 111793409, cytochrome P450 84A1-like  [EC], ['EC:1.14.-.-'], KO:K09755
Cucurbita pepo subsp. pepo, 111781684, cytochrome P450 84A1-like  [EC], ['EC:1.14.-.-'], KO:K09755
Cucurbita pepo subsp. pepo, 111802251, caffeic acid 3-O-methyltransferase  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Cucurbita pepo subsp. pepo, 111800838, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Cucurbita pepo subsp. pepo, 111800841, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Cucurbita pepo subsp. pepo, 111800840, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Cucurbita pepo subsp. pepo, 111777514, cinnamyl alcohol dehydrogenase 1-like  [EC], ['EC:1.1.1.195'], KO:K00083
Cucurbita pepo subsp. pepo, 111796008, probable cinnamyl alcohol dehydrogenase 1  [EC], ['EC:1.1.1.195'], KO:K00083
Cucurbita pepo subsp. pepo, 111810719, cinnamyl alcohol dehydrogenase 1-like  [EC], ['EC:1.1.1.195'], KO:K00083
Cucurbita pepo subsp. pepo, 111777133, probable mannitol dehydrogenase  [EC], ['EC:1.1.1.195'], KO:K00083
Cucurbita pepo subsp. pepo, 111777134, probable mannitol dehydrogenase  [EC], ['EC:1.1.1.195'], KO:K00083
