Ipomoea nil, 109187876, phenylalanine ammonia-lyase G4-like  [EC], ['EC:4.3.1.24'], KO:K10775
Ipomoea nil, 109148785, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Ipomoea nil, 109148795, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Ipomoea nil, 109148804, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Ipomoea nil, 109148811, phenylalanine ammonia-lyase  [EC], ['EC:4.3.1.24'], KO:K10775
Ipomoea nil, 109181625, phenylalanine ammonia-lyase  [EC], ['EC:4.3.1.24'], KO:K10775
Ipomoea nil, 109192698, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Ipomoea nil, 109146796, cytochrome P450 CYP73A100-like  [EC], ['EC:1.14.14.91'], KO:K00487
Ipomoea nil, 109156362, trans-cinnamate 4-monooxygenase-like  [EC], ['EC:1.14.14.91'], KO:K00487
Ipomoea nil, 109162834, trans-cinnamate 4-monooxygenase  [EC], ['EC:1.14.14.91'], KO:K00487
Ipomoea nil, 109193332, 4-coumarate--CoA ligase 2  [EC], ['EC:6.2.1.12'], KO:K01904
Ipomoea nil, 109189203, 4-coumarate--CoA ligase-like 1  [EC], ['EC:6.2.1.12'], KO:K01904
Ipomoea nil, 109183073, 4-coumarate--CoA ligase 2  [EC], ['EC:6.2.1.12'], KO:K01904
Ipomoea nil, 109183355, 4-coumarate--CoA ligase-like 7  [EC], ['EC:6.2.1.12'], KO:K01904
Ipomoea nil, 109192779, 4-coumarate--CoA ligase-like 7  [EC], ['EC:6.2.1.12'], KO:K01904
Ipomoea nil, 109149529, 4-coumarate--CoA ligase-like 6  [EC], ['EC:6.2.1.12'], KO:K01904
Ipomoea nil, 109163099, 4-coumarate--CoA ligase 2-like  [EC], ['EC:6.2.1.12'], KO:K01904
Ipomoea nil, 109185149, 4-coumarate--CoA ligase-like 6  [EC], ['EC:6.2.1.12'], KO:K01904
Ipomoea nil, 109192439, 4-coumarate--CoA ligase-like 9  [EC], ['EC:6.2.1.12'], KO:K01904
Ipomoea nil, 109158393, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Ipomoea nil, 109192264, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Ipomoea nil, 109178924, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Ipomoea nil, 109178957, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Ipomoea nil, 109166319, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Ipomoea nil, 109178351, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Ipomoea nil, 109178366, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Ipomoea nil, 109175104, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Ipomoea nil, 109175106, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Ipomoea nil, 109175108, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Ipomoea nil, 109175109, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Ipomoea nil, 109157296, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Ipomoea nil, 109156083, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Ipomoea nil, 109182989, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Ipomoea nil, 109182990, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Ipomoea nil, 109182991, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Ipomoea nil, 109182992, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Ipomoea nil, 109152224, salutaridinol 7-O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
