Tripterygium wilfordii, 120013024, chalcone synthase 1  [EC], ['EC:2.3.1.74'], KO:K00660
Tripterygium wilfordii, 120015179, chalcone synthase A-like  [EC], ['EC:2.3.1.74'], KO:K00660
Tripterygium wilfordii, 119997372, chalcone synthase-like  [EC], ['EC:2.3.1.74'], KO:K00660
Tripterygium wilfordii, 119988088, chalcone--flavonone isomerase-like  [EC], ['EC:5.5.1.6'], KO:K01859
Tripterygium wilfordii, 120001234, probable chalcone--flavonone isomerase 3  [EC], ['EC:5.5.1.6'], KO:K01859
Tripterygium wilfordii, 120013418, probable chalcone--flavonone isomerase 3  [EC], ['EC:5.5.1.6'], KO:K01859
Tripterygium wilfordii, 120012699, naringenin,2-oxoglutarate 3-dioxygenase  [EC], ['EC:1.14.11.9'], KO:K00475
Tripterygium wilfordii, 120015517, naringenin,2-oxoglutarate 3-dioxygenase  [EC], ['EC:1.14.11.9'], KO:K00475
Tripterygium wilfordii, 120003005, flavonol synthase/flavanone 3-hydroxylase-like  [EC], ['EC:1.14.20.6'], KO:K05278
Tripterygium wilfordii, 120010136, flavonol synthase/flavanone 3-hydroxylase-like  [EC], ['EC:1.14.20.6'], KO:K05278
Tripterygium wilfordii, 120001790, trans-cinnamate 4-monooxygenase  [EC], ['EC:1.14.14.91'], KO:K00487
Tripterygium wilfordii, 119991267, trans-cinnamate 4-monooxygenase  [EC], ['EC:1.14.14.91'], KO:K00487
Tripterygium wilfordii, 119997446, cytochrome P450 CYP73A100-like  [EC], ['EC:1.14.14.91'], KO:K00487
Tripterygium wilfordii, 119987383, flavonoid 3'-monooxygenase-like  [EC], ['EC:1.14.14.82'], KO:K05280
Tripterygium wilfordii, 119981407, flavonoid 3'-monooxygenase-like  [EC], ['EC:1.14.14.82'], KO:K05280
Tripterygium wilfordii, 120012083, dihydroflavonol 4-reductase-like  [EC], ['EC:1.1.1.219', 'EC:1.1.1.234'], KO:K13082
Tripterygium wilfordii, 119995119, dihydroflavonol 4-reductase-like  [EC], ['EC:1.1.1.219', 'EC:1.1.1.234'], KO:K13082
Tripterygium wilfordii, 120008961, dihydroflavonol 4-reductase-like  [EC], ['EC:1.1.1.219', 'EC:1.1.1.234'], KO:K13082
Tripterygium wilfordii, 120002289, flavonoid 3',5'-hydroxylase 1-like  [EC], ['EC:1.14.14.81'], KO:K13083
Tripterygium wilfordii, 119990945, flavonoid 3',5'-hydroxylase 1-like  [EC], ['EC:1.14.14.81'], KO:K13083
Tripterygium wilfordii, 119991612, flavonoid 3',5'-hydroxylase 1-like  [EC], ['EC:1.14.14.81'], KO:K13083
Tripterygium wilfordii, 119992132, flavonoid 3',5'-hydroxylase 1-like  [EC], ['EC:1.14.14.81'], KO:K13083
Tripterygium wilfordii, 119980654, leucoanthocyanidin dioxygenase-like  [EC], ['EC:1.14.20.4'], KO:K05277
Tripterygium wilfordii, 119986510, leucoanthocyanidin dioxygenase  [EC], ['EC:1.14.20.4'], KO:K05277
Tripterygium wilfordii, 119990111, anthocyanidin reductase ((2S)-flavan-3-ol-forming)-like  [EC], ['EC:1.3.1.77'], KO:K08695
Tripterygium wilfordii, 120005016, anthocyanidin reductase ((2S)-flavan-3-ol-forming)-like  [EC], ['EC:1.3.1.77'], KO:K08695
Tripterygium wilfordii, 120001998, leucoanthocyanidin reductase-like  [EC], ['EC:1.17.1.3'], KO:K13081
Tripterygium wilfordii, 120008990, leucoanthocyanidin reductase-like  [EC], ['EC:1.17.1.3'], KO:K13081
Tripterygium wilfordii, 120001256, flavanone 7-O-glucoside 2''-O-beta-L-rhamnosyltransferase-like  [EC], ['EC:2.4.1.236'], KO:K13080
Tripterygium wilfordii, 119999882, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Tripterygium wilfordii, 120000985, omega-hydroxypalmitate O-feruloyl transferase  [EC], ['EC:2.3.1.133'], KO:K13065
Tripterygium wilfordii, 119991898, spermidine hydroxycinnamoyl transferase  [EC], ['EC:2.3.1.133'], KO:K13065
Tripterygium wilfordii, 119992065, shikimate O-hydroxycinnamoyltransferase-like isoform X1  [EC], ['EC:2.3.1.133'], KO:K13065
Tripterygium wilfordii, 119992702, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Tripterygium wilfordii, 120004947, agmatine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Tripterygium wilfordii, 119993055, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Tripterygium wilfordii, 119996582, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Tripterygium wilfordii, 120007204, stemmadenine O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Tripterygium wilfordii, 120007307, putrescine hydroxycinnamoyltransferase 3-like  [EC], ['EC:2.3.1.133'], KO:K13065
Tripterygium wilfordii, 120007427, stemmadenine O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Tripterygium wilfordii, 120008006, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Tripterygium wilfordii, 119997643, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Tripterygium wilfordii, 119997999, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Tripterygium wilfordii, 120010851, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Tripterygium wilfordii, 119992803, cytochrome P450 98A2  [EC], ['EC:1.14.14.96'], KO:K09754
Tripterygium wilfordii, 119988286, probable caffeoyl-CoA O-methyltransferase At4g26220 isoform X1  [EC], ['EC:2.1.1.104'], KO:K00588
Tripterygium wilfordii, 119990086, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
