Camelina sativa, 104761517, phenylalanine ammonia-lyase 4  [EC], ['EC:4.3.1.24'], KO:K10775
Camelina sativa, 104781181, phenylalanine ammonia-lyase 2-like  [EC], ['EC:4.3.1.24'], KO:K10775
Camelina sativa, 104791591, phenylalanine ammonia-lyase 2  [EC], ['EC:4.3.1.24'], KO:K10775
Camelina sativa, 104782125, phenylalanine ammonia-lyase 1-like  [EC], ['EC:4.3.1.24'], KO:K10775
Camelina sativa, 104792487, phenylalanine ammonia-lyase 1  [EC], ['EC:4.3.1.24'], KO:K10775
Camelina sativa, 104785814, phenylalanine ammonia-lyase 1-like  [EC], ['EC:4.3.1.24'], KO:K10775
Camelina sativa, 104711886, phenylalanine ammonia-lyase 2-like  [EC], ['EC:4.3.1.24'], KO:K10775
Camelina sativa, 104745212, LOW QUALITY PROTEIN: phenylalanine ammonia-lyase 4-like  [EC], ['EC:4.3.1.24'], KO:K10775
Camelina sativa, 104786614, trans-cinnamate 4-monooxygenase  [EC], ['EC:1.14.14.91'], KO:K00487
Camelina sativa, 104700439, trans-cinnamate 4-monooxygenase-like  [EC], ['EC:1.14.14.91'], KO:K00487
Camelina sativa, 104749839, trans-cinnamate 4-monooxygenase  [EC], ['EC:1.14.14.91'], KO:K00487
Camelina sativa, 104766013, 4-coumarate--CoA ligase 4  [EC], ['EC:6.2.1.12'], KO:K01904
Camelina sativa, 104766017, 4-coumarate--CoA ligase 2 isoform X2  [EC], ['EC:6.2.1.12'], KO:K01904
Camelina sativa, 104758483, 4-coumarate--CoA ligase 1  [EC], ['EC:6.2.1.12'], KO:K01904
Camelina sativa, 104707689, 4-coumarate--CoA ligase-like 7  [EC], ['EC:6.2.1.12'], KO:K01904
Camelina sativa, 104723160, 4-coumarate--CoA ligase-like 6  [EC], ['EC:6.2.1.12'], KO:K01904
Camelina sativa, 104737380, 4-coumarate--CoA ligase-like 7  [EC], ['EC:6.2.1.12'], KO:K01904
Camelina sativa, 104746547, 4-coumarate--CoA ligase 4-like  [EC], ['EC:6.2.1.12'], KO:K01904
Camelina sativa, 104746553, 4-coumarate--CoA ligase 2-like  [EC], ['EC:6.2.1.12'], KO:K01904
Camelina sativa, 104750307, 4-coumarate--CoA ligase 3-like  [EC], ['EC:6.2.1.12'], KO:K01904
Camelina sativa, 104752954, 4-coumarate--CoA ligase-like 1  [EC], ['EC:6.2.1.12'], KO:K01904
Camelina sativa, 104703904, 4-coumarate--CoA ligase-like 1  [EC], ['EC:6.2.1.12'], KO:K01904
Camelina sativa, 104716015, 4-coumarate--CoA ligase-like 7  [EC], ['EC:6.2.1.12'], KO:K01904
Camelina sativa, 104714635, 4-coumarate--CoA ligase-like 1  [EC], ['EC:6.2.1.12'], KO:K01904
Camelina sativa, 104786287, 4-coumarate--CoA ligase 4  [EC], ['EC:6.2.1.12'], KO:K01904
Camelina sativa, 104787492, 4-coumarate--CoA ligase 3 isoform X1  [EC], ['EC:6.2.1.12'], KO:K01904
Camelina sativa, 104786311, 4-coumarate--CoA ligase 2  [EC], ['EC:6.2.1.12'], KO:K01904
Camelina sativa, 104744060, 4-coumarate--CoA ligase 1-like  [EC], ['EC:6.2.1.12'], KO:K01904
Camelina sativa, 104778081, 4-coumarate--CoA ligase 1 isoform X2  [EC], ['EC:6.2.1.12'], KO:K01904
Camelina sativa, 104700911, 4-coumarate--CoA ligase 3  [EC], ['EC:6.2.1.12'], KO:K01904
Camelina sativa, 104742683, 4-coumarate--CoA ligase 1-like isoform X1  [EC], ['EC:6.2.1.12'], KO:K01904
Camelina sativa, 104731674, 4-coumarate--CoA ligase-like 6  [EC], ['EC:6.2.1.12'], KO:K01904
Camelina sativa, 104762477, 4-coumarate--CoA ligase-like 9  [EC], ['EC:6.2.1.12'], KO:K01904
Camelina sativa, 104741118, 4-coumarate--CoA ligase-like 9  [EC], ['EC:6.2.1.12'], KO:K01904
Camelina sativa, 104758117, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Camelina sativa, 104758118, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Camelina sativa, 104758120, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Camelina sativa, 104758919, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Camelina sativa, 104767121, spermidine hydroxycinnamoyl transferase  [EC], ['EC:2.3.1.133'], KO:K13065
Camelina sativa, 104761871, shikimate O-hydroxycinnamoyltransferase isoform X1  [EC], ['EC:2.3.1.133'], KO:K13065
Camelina sativa, 104778490, shikimate O-hydroxycinnamoyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Camelina sativa, 104701057, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Camelina sativa, 104777735, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Camelina sativa, 104777737, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Camelina sativa, 104726349, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Camelina sativa, 104747749, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Camelina sativa, 104743072, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Camelina sativa, 104734868, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Camelina sativa, 104782574, cytochrome P450 98A3-like  [EC], ['EC:1.14.14.96'], KO:K09754
Camelina sativa, 104785308, cytochrome P450 98A3-like isoform X1  [EC], ['EC:1.14.14.96'], KO:K09754
Camelina sativa, 104792955, cytochrome P450 98A3  [EC], ['EC:1.14.14.96'], KO:K09754
Camelina sativa, 104783352, caffeoylshikimate esterase-like isoform X1  [EC], ['EC:3.1.1.-'], KO:K18368
Camelina sativa, 104785498, caffeoylshikimate esterase isoform X1  [EC], ['EC:3.1.1.-'], KO:K18368
Camelina sativa, 104758599, caffeoylshikimate esterase  [EC], ['EC:3.1.1.-'], KO:K18368
Camelina sativa, 104758602, caffeoylshikimate esterase-like  [EC], ['EC:3.1.1.-'], KO:K18368
Camelina sativa, 104742779, caffeoylshikimate esterase-like  [EC], ['EC:3.1.1.-'], KO:K18368
Camelina sativa, 104778199, caffeoylshikimate esterase-like  [EC], ['EC:3.1.1.-'], KO:K18368
Camelina sativa, 104778202, caffeoylshikimate esterase  [EC], ['EC:3.1.1.-'], KO:K18368
Camelina sativa, 104699597, caffeoylshikimate esterase-like  [EC], ['EC:3.1.1.-'], KO:K18368
Camelina sativa, 104735635, caffeoylshikimate esterase isoform X1  [EC], ['EC:3.1.1.-'], KO:K18368
Camelina sativa, 104788617, caffeoylshikimate esterase-like isoform X1  [EC], ['EC:3.1.1.-'], KO:K18368
Camelina sativa, 104705898, caffeoylshikimate esterase-like  [EC], ['EC:3.1.1.-'], KO:K18368
Camelina sativa, 104713410, caffeoylshikimate esterase  [EC], ['EC:3.1.1.-'], KO:K18368
Camelina sativa, 104749035, caffeoylshikimate esterase  [EC], ['EC:3.1.1.-'], KO:K18368
Camelina sativa, 104751638, caffeoylshikimate esterase  [EC], ['EC:3.1.1.-'], KO:K18368
Camelina sativa, 104769870, caffeoylshikimate esterase  [EC], ['EC:3.1.1.-'], KO:K18368
Camelina sativa, 104781395, caffeoylshikimate esterase-like  [EC], ['EC:3.1.1.-'], KO:K18368
Camelina sativa, 104782393, caffeoylshikimate esterase isoform X1  [EC], ['EC:3.1.1.-'], KO:K18368
Camelina sativa, 104784535, caffeoylshikimate esterase-like  [EC], ['EC:3.1.1.-'], KO:K18368
Camelina sativa, 104791804, caffeoylshikimate esterase-like  [EC], ['EC:3.1.1.-'], KO:K18368
Camelina sativa, 104792768, caffeoylshikimate esterase-like isoform X1  [EC], ['EC:3.1.1.-'], KO:K18368
Camelina sativa, 104793753, caffeoylshikimate esterase-like  [EC], ['EC:3.1.1.-'], KO:K18368
Camelina sativa, 104702525, caffeoylshikimate esterase-like  [EC], ['EC:3.1.1.-'], KO:K18368
Camelina sativa, 104712145, caffeoylshikimate esterase-like  [EC], ['EC:3.1.1.-'], KO:K18368
Camelina sativa, 104792090, putative caffeoyl-CoA O-methyltransferase At1g67980  [EC], ['EC:2.1.1.104'], KO:K00588
Camelina sativa, 109124437, caffeoyl-CoA O-methyltransferase 1-like  [EC], ['EC:2.1.1.104'], KO:K00588
Camelina sativa, 104708559, putative caffeoyl-CoA O-methyltransferase At1g67980  [EC], ['EC:2.1.1.104'], KO:K00588
Camelina sativa, 104717625, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Camelina sativa, 104721404, caffeoyl-CoA O-methyltransferase 1  [EC], ['EC:2.1.1.104'], KO:K00588
Camelina sativa, 104730787, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Camelina sativa, 104741299, putative caffeoyl-CoA O-methyltransferase At1g67980 isoform X1  [EC], ['EC:2.1.1.104'], KO:K00588
Camelina sativa, 104776732, putative caffeoyl-CoA O-methyltransferase At1g67980  [EC], ['EC:2.1.1.104'], KO:K00588
Camelina sativa, 104750625, tapetum-specific methyltransferase 1-like  [EC], ['EC:2.1.1.104'], KO:K00588
Camelina sativa, 104722333, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Camelina sativa, 104729834, caffeoyl-CoA O-methyltransferase 1  [EC], ['EC:2.1.1.104'], KO:K00588
Camelina sativa, 104756994, putative caffeoyl-CoA O-methyltransferase At1g67980  [EC], ['EC:2.1.1.104'], KO:K00588
