Camellia sinensis, 114310199, cytochrome P450 81E8-like  [EC], ['EC:1.14.14.90', 'EC:1.14.14.89'], KO:K13260
Camellia sinensis, 114286449, cytochrome P450 81E8-like  [EC], ['EC:1.14.14.90', 'EC:1.14.14.89'], KO:K13260
Camellia sinensis, 114266005, isoflavone 3'-hydroxylase-like  [EC], ['EC:1.14.14.90', 'EC:1.14.14.89'], KO:K13260
Camellia sinensis, 114266006, isoflavone 3'-hydroxylase-like  [EC], ['EC:1.14.14.90', 'EC:1.14.14.89'], KO:K13260
Camellia sinensis, 114297578, cytochrome P450 81E8-like  [EC], ['EC:1.14.14.90', 'EC:1.14.14.89'], KO:K13260
Camellia sinensis, 114297592, cytochrome P450 81E8-like  [EC], ['EC:1.14.14.90', 'EC:1.14.14.89'], KO:K13260
Camellia sinensis, 114256462, cytochrome P450 81E8-like  [EC], ['EC:1.14.14.90', 'EC:1.14.14.89'], KO:K13260
Camellia sinensis, 114258440, cytochrome P450 81D11-like  [EC], ['EC:1.14.14.90', 'EC:1.14.14.89'], KO:K13260
Camellia sinensis, 114258443, cytochrome P450 81E8-like  [EC], ['EC:1.14.14.90', 'EC:1.14.14.89'], KO:K13260
Camellia sinensis, 114258460, cytochrome P450 81E8-like  [EC], ['EC:1.14.14.90', 'EC:1.14.14.89'], KO:K13260
Camellia sinensis, 114278468, cytochrome P450 81E8-like  [EC], ['EC:1.14.14.90', 'EC:1.14.14.89'], KO:K13260
Camellia sinensis, 114278477, cytochrome P450 81E8-like  [EC], ['EC:1.14.14.90', 'EC:1.14.14.89'], KO:K13260
Camellia sinensis, 114299362, cytochrome P450 81E8-like  [EC], ['EC:1.14.14.90', 'EC:1.14.14.89'], KO:K13260
Camellia sinensis, 114300533, isoflavone 3'-hydroxylase-like  [EC], ['EC:1.14.14.90', 'EC:1.14.14.89'], KO:K13260
Camellia sinensis, 114322163, licodione synthase-like  [EC], ['EC:1.14.19.76'], KO:K23179
Camellia sinensis, 114307649, licodione synthase-like  [EC], ['EC:1.14.19.76'], KO:K23179
Camellia sinensis, 114286595, licodione synthase-like  [EC], ['EC:1.14.19.76'], KO:K23179
Camellia sinensis, 114296673, licodione synthase-like  [EC], ['EC:1.14.19.76'], KO:K23179
