Raphanus sativus, 108847407, chalcone synthase 3-like  [EC], ['EC:2.3.1.74'], KO:K00660
Raphanus sativus, 108847017, chalcone synthase 3-like  [EC], ['EC:2.3.1.74'], KO:K00660
Raphanus sativus, 108814337, chalcone synthase 3-like  [EC], ['EC:2.3.1.74'], KO:K00660
Raphanus sativus, 108818381, chalcone synthase 3  [EC], ['EC:2.3.1.74'], KO:K00660
Raphanus sativus, 108843267, chalcone synthase  [EC], ['EC:2.3.1.74'], KO:K00660
Raphanus sativus, 108833356, chalcone synthase-like  [EC], ['EC:2.3.1.74'], KO:K00660
Raphanus sativus, 108830048, chalcone--flavonone isomerase-like  [EC], ['EC:5.5.1.6'], KO:K01859
Raphanus sativus, 108816078, chalcone--flavonone isomerase-like  [EC], ['EC:5.5.1.6'], KO:K01859
Raphanus sativus, 108814129, probable chalcone--flavonone isomerase 3  [EC], ['EC:5.5.1.6'], KO:K01859
Raphanus sativus, 108814137, probable chalcone--flavonone isomerase 3  [EC], ['EC:5.5.1.6'], KO:K01859
Raphanus sativus, 108862091, chalcone--flavonone isomerase isoform X1  [EC], ['EC:5.5.1.6'], KO:K01859
Raphanus sativus, 108852668, naringenin,2-oxoglutarate 3-dioxygenase-like  [EC], ['EC:1.14.11.9'], KO:K00475
Raphanus sativus, 108805892, naringenin,2-oxoglutarate 3-dioxygenase  [EC], ['EC:1.14.11.9'], KO:K00475
Raphanus sativus, 108812047, flavonol synthase/flavanone 3-hydroxylase-like  [EC], ['EC:1.14.20.6'], KO:K05278
Raphanus sativus, 108814290, flavonol synthase/flavanone 3-hydroxylase  [EC], ['EC:1.14.20.6'], KO:K05278
Raphanus sativus, 108856337, flavonol synthase 3-like isoform X1  [EC], ['EC:1.14.20.6'], KO:K05278
Raphanus sativus, 108856338, probable flavonol synthase 6  [EC], ['EC:1.14.20.6'], KO:K05278
Raphanus sativus, 108859840, flavonol synthase 3  [EC], ['EC:1.14.20.6'], KO:K05278
Raphanus sativus, 108861252, LOW QUALITY PROTEIN: putative inactive flavonol synthase 2  [EC], ['EC:1.14.20.6'], KO:K05278
Raphanus sativus, 108806153, flavonol synthase 3-like  [EC], ['EC:1.14.20.6'], KO:K05278
Raphanus sativus, 108825420, flavonol synthase/flavanone 3-hydroxylase-like  [EC], ['EC:1.14.20.6'], KO:K05278
Raphanus sativus, 108849675, trans-cinnamate 4-monooxygenase-like  [EC], ['EC:1.14.14.91'], KO:K00487
Raphanus sativus, 108848885, trans-cinnamate 4-monooxygenase-like  [EC], ['EC:1.14.14.91'], KO:K00487
Raphanus sativus, 108812700, trans-cinnamate 4-monooxygenase  [EC], ['EC:1.14.14.91'], KO:K00487
Raphanus sativus, 108847879, trans-cinnamate 4-monooxygenase-like  [EC], ['EC:1.14.14.91'], KO:K00487
Raphanus sativus, 108814778, flavonoid 3'-monooxygenase  [EC], ['EC:1.14.14.82'], KO:K05280
Raphanus sativus, 108826061, dihydroflavonol-4-reductase  [EC], ['EC:1.1.1.219', 'EC:1.1.1.234'], KO:K13082
Raphanus sativus, 108843686, leucoanthocyanidin dioxygenase  [EC], ['EC:1.14.20.4'], KO:K05277
Raphanus sativus, 108848981, leucoanthocyanidin dioxygenase-like  [EC], ['EC:1.14.20.4'], KO:K05277
Raphanus sativus, 108810876, anthocyanidin reductase-like  [EC], ['EC:1.3.1.77'], KO:K08695
Raphanus sativus, 108826445, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Raphanus sativus, 108826500, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Raphanus sativus, 108847369, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Raphanus sativus, 108847370, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Raphanus sativus, 108812355, shikimate O-hydroxycinnamoyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Raphanus sativus, 108859971, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Raphanus sativus, 108857959, cytochrome P450 98A3-like  [EC], ['EC:1.14.14.96'], KO:K09754
Raphanus sativus, 108858042, cytochrome P450 98A3-like  [EC], ['EC:1.14.14.96'], KO:K09754
Raphanus sativus, 108848401, cytochrome P450 98A3-like  [EC], ['EC:1.14.14.96'], KO:K09754
Raphanus sativus, 108847330, cytochrome P450 98A3  [EC], ['EC:1.14.14.96'], KO:K09754
Raphanus sativus, 108860679, cytochrome P450 98A3-like  [EC], ['EC:1.14.14.96'], KO:K09754
Raphanus sativus, 108819811, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Raphanus sativus, 108822083, putative caffeoyl-CoA O-methyltransferase At1g67980 isoform X1  [EC], ['EC:2.1.1.104'], KO:K00588
Raphanus sativus, 108821914, caffeoyl-CoA O-methyltransferase 1-like  [EC], ['EC:2.1.1.104'], KO:K00588
Raphanus sativus, 108820088, putative caffeoyl-CoA O-methyltransferase At1g67980  [EC], ['EC:2.1.1.104'], KO:K00588
Raphanus sativus, 108819073, putative caffeoyl-CoA O-methyltransferase At1g67980 isoform X1  [EC], ['EC:2.1.1.104'], KO:K00588
Raphanus sativus, 108819091, putative caffeoyl-CoA O-methyltransferase At1g67980  [EC], ['EC:2.1.1.104'], KO:K00588
Raphanus sativus, 108816183, caffeoyl-CoA O-methyltransferase 1-like  [EC], ['EC:2.1.1.104'], KO:K00588
Raphanus sativus, 108837709, putative caffeoyl-CoA O-methyltransferase At1g67980  [EC], ['EC:2.1.1.104'], KO:K00588
Raphanus sativus, 108849060, caffeoyl-CoA O-methyltransferase 1  [EC], ['EC:2.1.1.104'], KO:K00588
Raphanus sativus, 108832450, putative caffeoyl-CoA O-methyltransferase At1g67980  [EC], ['EC:2.1.1.104'], KO:K00588
