Benincasa hispida, 120071314, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Benincasa hispida, 120072681, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Benincasa hispida, 120072682, phenylalanine ammonia-lyase  [EC], ['EC:4.3.1.24'], KO:K10775
Benincasa hispida, 120072683, phenylalanine ammonia-lyase class 1-like  [EC], ['EC:4.3.1.24'], KO:K10775
Benincasa hispida, 120073092, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Benincasa hispida, 120073093, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Benincasa hispida, 120073360, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Benincasa hispida, 120074265, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Benincasa hispida, 120074610, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Benincasa hispida, 120074945, phenylalanine ammonia-lyase G4-like  [EC], ['EC:4.3.1.24'], KO:K10775
Benincasa hispida, 120088009, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Benincasa hispida, 120079060, cytochrome P450 CYP73A100-like  [EC], ['EC:1.14.14.91'], KO:K00487
Benincasa hispida, 120079601, cytochrome P450 CYP73A100-like  [EC], ['EC:1.14.14.91'], KO:K00487
Benincasa hispida, 120080215, cytochrome P450 CYP73A100-like  [EC], ['EC:1.14.14.91'], KO:K00487
Benincasa hispida, 120083555, trans-cinnamate 4-monooxygenase-like  [EC], ['EC:1.14.14.91'], KO:K00487
Benincasa hispida, 120088389, trans-cinnamate 4-monooxygenase  [EC], ['EC:1.14.14.91'], KO:K00487
Benincasa hispida, 120078524, 4-coumarate--CoA ligase-like 6  [EC], ['EC:6.2.1.12'], KO:K01904
Benincasa hispida, 120090749, 4-coumarate--CoA ligase 1-like  [EC], ['EC:6.2.1.12'], KO:K01904
Benincasa hispida, 120080379, 4-coumarate--CoA ligase 2-like  [EC], ['EC:6.2.1.12'], KO:K01904
Benincasa hispida, 120091777, 4-coumarate--CoA ligase-like 7 isoform X1  [EC], ['EC:6.2.1.12'], KO:K01904
Benincasa hispida, 120081959, 4-coumarate--CoA ligase-like 1  [EC], ['EC:6.2.1.12'], KO:K01904
Benincasa hispida, 120070821, 4-coumarate--CoA ligase 1-like  [EC], ['EC:6.2.1.12'], KO:K01904
Benincasa hispida, 120082987, 4-coumarate--CoA ligase-like 9  [EC], ['EC:6.2.1.12'], KO:K01904
Benincasa hispida, 120082988, 4-coumarate--CoA ligase-like 9  [EC], ['EC:6.2.1.12'], KO:K01904
Benincasa hispida, 120083754, 4-coumarate--CoA ligase-like 7  [EC], ['EC:6.2.1.12'], KO:K01904
Benincasa hispida, 120085203, 4-coumarate--CoA ligase 1-like  [EC], ['EC:6.2.1.12'], KO:K01904
Benincasa hispida, 120085310, 4-coumarate--CoA ligase 2-like  [EC], ['EC:6.2.1.12'], KO:K01904
Benincasa hispida, 120088377, 4-coumarate--CoA ligase 3 isoform X1  [EC], ['EC:6.2.1.12'], KO:K01904
